date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2014-07-23,03:10.13,miⓝty,jump_puni_a4a,WR,MapRecord,,-00:52.55,07:09.03,false,11961,76561198050815941,STEAM_0:1:45275106
2014-10-08,02:52.46,Not Freddy Fazbe,jump_puni_a4a,WR,MapRecord,,-00:17.67,01:14.90,false,22226,,
2014-11-19,02:22.12,sinnn,jump_puni_a4a,WR,MapRecord,,-00:30.34,01:49.40,false,31603,76561198067226764,[U:1:106961036]
2015-06-12,02:12.65,Bobby Johnson,jump_puni_a4a,WR,MapRecord,,-00:09.46,00:54.46,false,105799,76561198018656606,[U:1:58390878]
2015-07-17,02:00.95,Soup,jump_puni_a4a,WR,MapRecord,,-00:06.76,01:18.63,false,116454,76561198029285343,[U:1:69019615]
2018-07-22,01:32.62,Steve,jump_puni_a4a,WR,MapRun,03:25.67,+01:53.05,,true,714221,76561198063901478,[U:1:103635750]
2018-07-23,01:30.39,newjuls,jump_puni_a4a,WR,MapRecord,,-00:02.23,00:08.14,false,714767,,
2019-05-28,01:27.60,vice,jump_puni_a4a,WR,MapRecord,,-00:02.79,00:14.85,false,972978,76561198366368448,[U:1:406102720]
2019-07-18,01:24.01,newjuls,jump_puni_a4a,WR,MapRecord,,-00:03.58,00:05.20,false,1012765,76561198396018338,[U:1:435752610]
2020-05-23,01:23.99,Zike1017 -tt -tt,jump_puni_a4a,WR,MapRecord,,-00:00.01,00:00.63,false,1257355,,
2020-12-23,01:22.89,santa denier,jump_puni_a4a,WR,MapRun,08:59.04,+07:36.15,,true,1456395,76561198046155437,[U:1:85889709]
2024-05-15,01:19.24,newjuls,jump_puni_a4a,WR,IRC,,-00:03.64,,false,2859915,,
