date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2018-12-05,03:59.87,dad's 'nads,jump_qodu_rc1,WR,IRC,,-00:35.39,,false,833292,,
2018-12-05,03:02.15,katz,jump_qodu_rc1,WR,MapRecord,,-00:03.54,00:03.54,false,833555,,
2018-12-05,02:54.35,kapbpbpppbbbbper,jump_qodu_rc1,WR,MapRecord,,-00:07.79,02:46.08,false,833773,76561198058846478,[U:1:98580750]
2018-12-06,02:50.26,hanukkater,jump_qodu_rc1,WR,MapRecord,,-00:04.09,00:04.82,false,833936,76561198222006144,[U:1:261740416]
2018-12-07,02:45.52,vice,jump_qodu_rc1,WR,MapRecord,,-00:04.73,00:05.61,false,834997,76561198366368448,[U:1:406102720]
2018-12-19,02:44.93,vice,jump_qodu_rc1,WR,IRC,,-00:00.58,,false,845049,,
2019-05-18,02:44.36,chiyo,jump_qodu_rc1,WR,MapRecord,,-00:00.57,00:02.10,false,965608,76561198046582124,[U:1:86316396]
2019-05-19,02:28.06,vice,jump_qodu_rc1,WR,MapRecord,,-00:14.17,00:14.17,false,966090,76561198366368448,[U:1:406102720]
2021-12-30,02:24.09,kツter,jump_qodu_rc1,WR,IRC,,-00:03.98,,false,1811697,,
2025-08-10,02:24.08,cander,jump_qodu_rc1,WR,MapRun,05:19.54,+02:55.46,,true,3444469,76561198318722879,[U:1:358457151]
