date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2020-04-04,09:08.25,Luke.,jump_rabbit_final,WR,IRCSet,,,,false,1215169,,,
2020-04-04,07:12.42,Mattp,jump_rabbit_final,WR,IRC,,-01:55.82,,false,1215297,,,
2020-04-04,09:08.25,Luke.,jump_rabbit_final,WR,IRCSet,,,,false,1215297,,,
2020-04-04,06:15.71,Tom -tt,jump_rabbit_final,WR,IRC,,-00:56.70,,false,1215323,,,
2020-04-04,07:12.42,Mattp,jump_rabbit_final,WR,IRC,,-01:55.82,,false,1215323,76561198035204545,[U:1:74938817],
2020-04-04,09:08.25,Luke.,jump_rabbit_final,WR,IRCSet,,,,false,1215323,,,
2020-04-04,07:12.42,Mattp,jump_rabbit_final,WR,IRC,,-01:55.82,,false,1215329,,,
2020-04-04,09:08.25,Luke.,jump_rabbit_final,WR,IRCSet,,,,false,1215329,,,
2020-04-04,06:15.71,Tom -tt,jump_rabbit_final,WR,MapRecord,,-00:56.70,06:22.06,false,1215359,,,
2020-04-04,07:12.42,Mattp,jump_rabbit_final,WR,IRC,,-01:55.82,,false,1215359,76561198035204545,[U:1:74938817],
2020-04-04,07:12.42,Boshy,jump_rabbit_final,WR,MapRun,08:19.24,+01:06.82,,true,1215359,76561198046601398,[U:1:86335670],
2020-04-04,07:12.42,Fluffie,jump_rabbit_final,WR,MapRun,11:35.38,+04:22.96,,true,1215359,76561198028114870,[U:1:67849142],
2020-04-04,07:12.42,Robin inda Hood,jump_rabbit_final,WR,MapRun,28:26.24,+21:13.82,,true,1215359,76561198020766438,[U:1:60500710],
2020-04-04,07:12.42,Tom,jump_rabbit_final,WR,MapRun,12:37.78,+05:25.36,,true,1215359,76561198207580561,[U:1:247314833],
2020-04-04,07:12.42,uwu?,jump_rabbit_final,WR,MapRun,19:51.56,+12:39.14,,true,1215359,76561198155993760,[U:1:195728032],
2020-04-04,09:08.25,Luke.,jump_rabbit_final,WR,IRCSet,,,,false,1215359,76561198098414676,[U:1:138148948],
2020-04-04,07:12.42,Mattp,jump_rabbit_final,WR,MapRecord,,-01:55.82,,false,1215363,76561198035204545,[U:1:74938817],
2020-04-04,09:08.25,Luke.,jump_rabbit_final,WR,FirstRecord,,,,false,1215363,76561198098414676,[U:1:138148948],
2020-04-04,06:15.71,Tom -tt,jump_rabbit_final,WR,IRC,,-00:56.70,,false,1215386,,,
2020-04-04,06:15.71,Tom -tt,jump_rabbit_final,WR,IRC,,-00:56.70,,false,1215481,,,
2020-04-05,06:15.71,Tom -tt,jump_rabbit_final,WR,IRC,,-00:56.70,,false,1215514,,,
2020-04-05,06:15.71,Tom -tt,jump_rabbit_final,WR,IRC,,-00:56.70,,false,1215537,,,
2020-04-05,06:15.71,Tom -tt,jump_rabbit_final,WR,IRC,,-00:56.70,,false,1215563,,,
2020-04-05,06:15.71,Tom -tt,jump_rabbit_final,WR,IRC,,-00:56.70,,false,1215573,,,
