date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2021-05-21,08:19.36,Skye -rng,jump_radiix,WR,IRCSet,,,,false,1593905,76561197988619397,[U:1:28353669],
2021-05-21,04:21.97,Waldo,jump_radiix,WR,IRC,,-03:57.39,,false,1593995,,,
2021-05-21,08:19.36,Skye -rng,jump_radiix,WR,IRCSet,,,,false,1593995,,,
2021-05-21,08:19.36,Skye -rng,jump_radiix,WR,IRCSet,,,,false,1593999,,,
2021-05-21,04:21.97,Waldo,jump_radiix,WR,IRC,,-03:57.39,,false,1594004,,,
2021-05-21,08:19.36,Skye -rng,jump_radiix,WR,IRCSet,,,,false,1594004,,,
2021-05-21,04:21.97,Waldo,jump_radiix,WR,IRC,,-03:57.39,,false,1594008,,,
2021-05-21,08:19.36,Skye -rng,jump_radiix,WR,IRCSet,,,,false,1594008,,,
2021-05-21,04:21.97,Waldo,jump_radiix,WR,IRC,,-03:57.39,,false,1594013,76561198020256631,[U:1:59990903],
2021-05-21,08:19.36,Skye -rng,jump_radiix,WR,IRCSet,,,,false,1594013,,,
2021-05-21,04:21.97,Waldo,jump_radiix,WR,IRC,,-03:57.39,,false,1594016,76561198020256631,[U:1:59990903],
2021-05-21,08:19.36,Skye -rng,jump_radiix,WR,IRCSet,,,,false,1594016,,,
2021-05-21,02:56.20,phancy,jump_radiix,WR,IRC,,-00:16.18,,false,1594018,,,
2021-05-21,04:21.97,Waldo,jump_radiix,WR,IRC,,-03:57.39,,false,1594018,76561198020256631,[U:1:59990903],
2021-05-21,08:19.36,Skye -rng,jump_radiix,WR,IRCSet,,,,false,1594018,,,
2021-05-21,04:21.97,Waldo,jump_radiix,WR,IRC,,-03:57.39,,false,1594020,,,
2021-05-21,08:19.36,Skye -rng,jump_radiix,WR,IRCSet,,,,false,1594020,,,
2021-05-21,00:15.67,Skye -rng,jump_radiix,WR,Bonus 1,,-00:00.15,00:00.15,false,1594023,76561197988619397,[U:1:28353669],
2021-05-21,00:15.82,Skye -rng,jump_radiix,WR,Bonus 1,,-00:05.44,00:05.44,false,1594023,76561197988619397,[U:1:28353669],
2021-05-21,00:21.27,Skye -rng,jump_radiix,WR,Bonus 1,,-00:24.15,00:24.15,false,1594023,76561197988619397,[U:1:28353669],
2021-05-21,00:45.42,Skye -rng,jump_radiix,WR,Bonus 1 First,,,,false,1594023,76561197988619397,[U:1:28353669],
2021-05-21,08:19.36,Skye -rng,jump_radiix,WR,FirstRecord,,,,false,1594023,76561197988619397,[U:1:28353669],
2021-05-21,04:21.97,Waldo,jump_radiix,WR,IRC,,-03:57.39,,false,1594031,,,
2021-05-21,00:15.28,Waldo,jump_radiix,WR,Bonus 1,,,,false,1594033,,,
2021-05-21,04:21.97,Waldo,jump_radiix,WR,IRC,,-03:57.39,,false,1594033,,,
2021-05-21,08:19.36,Skye -rng,jump_radiix,WR,Compact,,,,false,1594033,,,
2021-05-21,04:21.97,Waldo,jump_radiix,WR,MapRecord,,-03:57.39,,false,1594036,76561198020256631,[U:1:59990903],
2021-05-21,04:21.97,Waldo,jump_radiix,WR,IRC,,-03:57.39,,false,1594038,76561198020256631,[U:1:59990903],
2021-05-21,00:14.95,Skye -rng,jump_radiix,WR,Bonus 1,,-00:00.22,00:00.22,false,1594095,76561197988619397,[U:1:28353669],
2021-05-21,00:15.18,Skye -rng,jump_radiix,WR,Bonus 1,,-00:00.06,00:00.06,false,1594095,76561197988619397,[U:1:28353669],
2021-05-22,02:56.20,phancy,jump_radiix,WR,IRC,,-00:16.18,,false,1594123,,,
2021-05-22,02:56.20,phancy,jump_radiix,WR,IRC,,-00:16.18,,false,1594137,,,
2021-05-22,02:56.20,phancy,jump_radiix,WR,IRC,,-00:16.18,,false,1594156,,,
2021-05-22,02:56.20,phancy,jump_radiix,WR,IRC,,-00:16.18,,false,1594179,,,
2021-05-22,02:56.20,phancy,jump_radiix,WR,MapRecord,,-00:16.18,01:56.79,false,1594195,76561198116189732,[U:1:155924004],
2021-05-22,00:11.76,song,jump_radiix,WR,Bonus 1,,,,false,1594373,76561198210286877,[U:1:250021149],
2021-05-22,00:11.76,song,jump_radiix,WR,Bonus 1,,-00:00.67,00:00.67,false,1594373,76561198210286877,[U:1:250021149],
2021-05-22,00:12.43,song,jump_radiix,WR,Bonus 1,,-00:01.75,00:01.75,false,1594373,76561198210286877,[U:1:250021149],
2021-05-22,00:14.19,song,jump_radiix,WR,Bonus 1,,-00:00.66,00:00.66,false,1594373,76561198210286877,[U:1:250021149],
2021-05-22,00:14.85,song,jump_radiix,WR,Bonus 1,,-00:00.10,00:00.49,false,1594373,76561198210286877,[U:1:250021149],
2021-05-22,00:14.95,Skye -rng,jump_radiix,WR,Bonus 1,,,,false,1594373,,,
2021-05-22,02:52.86,kἃἃἃter,jump_radiix,WR,MapRecord,,-00:03.34,02:49.81,false,1594373,76561198222006144,[U:1:261740416],
2021-05-22,02:52.86,kἃἃἃter,jump_radiix,WR,Compact,,,,false,1594373,76561198222006144,[U:1:261740416],
2021-05-22,02:56.20,phancy,jump_radiix,WR,Compact,,,,false,1594373,,,
2021-05-22,02:52.86,kἃἃἃter,jump_radiix,WR,IRC,,-00:03.34,,false,1594405,,,
2021-05-22,02:52.86,kἃἃἃter,jump_radiix,WR,IRC,,-00:03.34,,false,1594422,,,
2021-05-22,02:39.57,e,jump_radiix,WR,IRC,,-00:02.46,,false,1594479,,,
2021-05-22,02:42.03,e,jump_radiix,WR,IRC,,-00:09.40,,false,1594479,,,
2021-05-22,02:51.43,e,jump_radiix,WR,IRC,,-00:01.42,,false,1594479,,,
2021-05-22,02:39.57,e,jump_radiix,WR,IRC,,-00:02.46,,false,1594493,,,
2021-05-22,02:42.03,e,jump_radiix,WR,IRC,,-00:09.40,,false,1594493,,,
2021-05-22,02:51.43,e,jump_radiix,WR,IRC,,-00:01.42,,false,1594493,,,
2021-05-22,02:51.43,e,jump_radiix,WR,IRC,,-00:01.42,,false,1594515,,,
2021-05-22,02:39.57,e,jump_radiix,WR,MapRecord,,-00:02.46,00:02.46,false,1594548,76561198222006144,[U:1:261740416],
2021-05-22,02:42.03,e,jump_radiix,WR,MapRecord,,-00:09.40,00:09.40,false,1594548,76561198222006144,[U:1:261740416],
2021-05-22,02:51.43,e,jump_radiix,WR,MapRecord,,-00:01.42,00:01.42,false,1594548,76561198222006144,[U:1:261740416],
2021-05-22,02:39.57,e,jump_radiix,WR,IRC,,-00:02.46,,false,1594560,,,
2021-05-22,02:42.03,e,jump_radiix,WR,IRC,,-00:09.40,,false,1594560,,,
2021-05-26,02:38.43,Matty,jump_radiix,WR,MapRecord,,-00:01.14,00:24.60,false,1598407,76561198035204545,[U:1:74938817],
2021-06-10,02:37.05,phancy,jump_radiix,WR,IRC,,-00:01.38,,false,1610061,,,
2021-06-10,02:37.05,phancy,jump_radiix,WR,MapRecord,,-00:01.38,00:10.39,false,1610070,76561198116189732,[U:1:155924004],
2021-06-15,02:36.42,Matty,jump_radiix,WR,IRC,,-00:00.63,,false,1613759,,,
2021-06-15,02:36.42,Matty,jump_radiix,WR,IRC,,-00:00.63,,false,1613819,,,
2021-06-15,02:36.42,Matty,jump_radiix,WR,MapRecord,,-00:00.63,00:02.01,false,1613909,76561198035204545,[U:1:74938817],
2021-07-30,02:32.65,phancy,jump_radiix,WR,IRC,,-00:03.76,,false,1652234,,,
2021-07-30,02:32.65,phancy,jump_radiix,WR,MapRecord,,-00:03.76,00:04.39,false,1652270,76561198116189732,[U:1:155924004],
2022-12-10,02:31.66,Matty,jump_radiix,WR,MapRecord,,-00:00.99,00:03.57,false,2142987,76561198035204545,[U:1:74938817],
2023-11-30,02:20.11,phancy,jump_radiix,WR,MapRecord,,-00:11.55,00:12.06,false,2615857,76561198116189732,[U:1:155924004],
2024-06-24,02:20.11,phancy,jump_radiix,WR,Compact,,,,false,2919664,,,
2024-09-26,02:19.08,HARDSTYLEMUZZBOS,jump_radiix,WR,IRC,,-00:01.03,,false,3056918,,,
2024-09-26,02:19.08,HARDSTYLEMUZZBOS,jump_radiix,WR,IRC,,-00:01.03,,false,3056955,,,
2024-09-26,02:19.08,HARDSTYLEMUZZBOS,jump_radiix,WR,IRC,,-00:01.03,,false,3057210,,,
2024-09-26,02:19.08,HARDSTYLEMUZZBOS,jump_radiix,WR,IRC,,-00:01.03,,false,3057208,,,
2024-09-26,02:19.08,HARDSTYLEMUZZBOS,jump_radiix,WR,MapRecord,,-00:01.03,00:06.60,false,3057099,,,
2024-09-26,02:19.08,HARDSTYLEMUZZBOS,jump_radiix,WR,IRC,,-00:01.03,,false,3057239,,,
2024-09-26,02:19.08,HARDSTYLEMUZZBOS,jump_radiix,WR,IRC,,-00:01.03,,false,3057227,,,
2024-09-26,02:19.08,HARDSTYLEMUZZBOS,jump_radiix,WR,IRC,,-00:01.03,,false,3057219,,,
2024-09-26,02:19.08,HARDSTYLEMUZZBOS,jump_radiix,WR,IRC,,-00:01.03,,false,3057226,,,
2024-09-26,02:19.08,HARDSTYLEMUZZBOS,jump_radiix,WR,IRC,,-00:01.03,,false,3057167,,,
2024-09-26,02:19.08,HARDSTYLEMUZZBOS,jump_radiix,WR,IRC,,-00:01.03,,false,3057212,,,
