date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2021-05-21,03:58.14,Cant Do This,jump_radiix,WR,IRC,,-00:10.41,,false,1593995,,,
2021-05-21,10:29.50,Cant Do This,jump_radiix,WR,IRCSet,,,,false,1593995,,,
2021-05-21,10:29.50,Cant Do This,jump_radiix,WR,IRCSet,,,,false,1594004,,,
2021-05-21,10:29.50,Cant Do This,jump_radiix,WR,IRCSet,,,,false,1594008,,,
2021-05-21,03:58.14,Cant Do This,jump_radiix,WR,IRC,,-00:10.41,,false,1594013,,,
2021-05-21,10:29.50,Cant Do This,jump_radiix,WR,IRCSet,,,,false,1594013,,,
2021-05-21,10:29.50,Cant Do This,jump_radiix,WR,IRCSet,,,,false,1594016,,,
2021-05-21,03:58.14,Cant Do This,jump_radiix,WR,IRC,,-00:10.41,,false,1594018,,,
2021-05-21,10:29.50,Cant Do This,jump_radiix,WR,IRCSet,,,,false,1594018,,,
2021-05-21,03:58.14,Cant Do This,jump_radiix,WR,IRC,,-00:10.41,,false,1594020,76561198343592483,[U:1:383326755],
2021-05-21,10:29.50,Cant Do This,jump_radiix,WR,IRCSet,,,,false,1594020,76561198343592483,[U:1:383326755],
2021-05-21,00:18.60,Skye -rng,jump_radiix,WR,Bonus 1,,-00:00.07,00:00.07,false,1594023,76561197988619397,[U:1:28353669],
2021-05-21,00:18.67,Skye -rng,jump_radiix,WR,Bonus 1,,-00:00.76,00:00.76,false,1594023,76561197988619397,[U:1:28353669],
2021-05-21,00:19.44,Skye -rng,jump_radiix,WR,Bonus 1,,-00:00.12,00:00.12,false,1594023,76561197988619397,[U:1:28353669],
2021-05-21,00:19.56,Skye -rng,jump_radiix,WR,Bonus 1,,-00:00.03,00:00.03,false,1594023,76561197988619397,[U:1:28353669],
2021-05-21,00:19.59,Skye -rng,jump_radiix,WR,Bonus 1,,-00:00.09,00:00.09,false,1594023,76561197988619397,[U:1:28353669],
2021-05-21,00:19.68,Skye -rng,jump_radiix,WR,Bonus 1,,-00:00.52,,false,1594023,76561197988619397,[U:1:28353669],
2021-05-21,00:29.59,Fishy,jump_radiix,WR,Bonus 1 First,,,,false,1594023,76561198358578061,[U:1:398312333],
2021-05-21,10:29.50,Cant Do This,jump_radiix,WR,IRCSet,,,,false,1594023,,,
2021-05-21,03:58.14,Cant Do This,jump_radiix,WR,MapRecord,,-00:10.41,00:11.16,false,1594031,76561198343592483,[U:1:383326755],
2021-05-21,03:58.14,ronv45,jump_radiix,WR,MapRun,14:00.16,+10:02.02,,true,1594031,76561198023181047,[U:1:62915319],
2021-05-21,04:08.55,Cant Do This,jump_radiix,WR,MapRun,04:09.30,+00:00.75,00:03.99,true,1594031,76561198343592483,[U:1:383326755],
2021-05-21,04:13.29,Comma,jump_radiix,WR,MapRun,21:56.65,+17:43.36,,true,1594031,76561198173573055,[U:1:213307327],
2021-05-21,04:50.69,Udo2700,jump_radiix,WR,MapRun,16:11.82,+11:21.13,,true,1594031,76561198979680671,[U:1:1019414943],
2021-05-21,10:29.50,Cant Do This,jump_radiix,WR,FirstRecord,,,,false,1594031,76561198343592483,[U:1:383326755],
2021-05-21,10:29.51,arcade,jump_radiix,WR,MapRun,10:48.39,+00:18.88,,true,1594031,76561198047636129,[U:1:87370401],
2021-05-21,03:58.14,Cant Do This,jump_radiix,WR,IRC,,-00:10.41,,false,1594033,,,
2021-05-21,03:58.14,Charon,jump_radiix,WR,MapRun,16:13.96,+12:15.82,,true,1594033,76561198061714753,[U:1:101449025],
2021-05-21,03:58.14,Rns,jump_radiix,WR,MapRun,13:43.71,+09:45.57,,true,1594033,76561198038777445,[U:1:78511717],
2021-05-21,03:58.14,drk,jump_radiix,WR,MapRun,16:34.45,+12:36.31,,true,1594033,76561198072399195,[U:1:112133467],
2021-05-21,03:58.14,nevos,jump_radiix,WR,MapRun,14:16.42,+10:18.28,,true,1594033,76561198133103832,[U:1:172838104],
2021-05-21,03:58.14,qkeitoe,jump_radiix,WR,MapRun,31:40.32,+27:42.18,,true,1594033,76561198974495826,[U:1:1014230098],
2021-05-21,03:58.14,sekki's sekki,jump_radiix,WR,MapRun,19:13.75,+15:15.61,,true,1594033,76561198147221145,[U:1:186955417],
2021-05-21,04:08.55,Hoody,jump_radiix,WR,MapRun,18:43.32,+14:34.77,,true,1594033,76561198032145894,[U:1:71880166],
2021-05-21,04:13.29,ddavid9,jump_radiix,WR,MapRun,15:29.04,+11:15.75,,true,1594033,76561198098074486,[U:1:137808758],
2021-05-21,04:13.29,mp,jump_radiix,WR,MapRun,18:05.89,+13:52.60,,true,1594033,76561198067831006,[U:1:107565278],
2021-05-21,04:50.68,roblan11,jump_radiix,WR,MapRun,17:37.48,+12:46.80,,true,1594033,76561198066839258,[U:1:106573530],
2021-05-21,05:03.44,Dlauck,jump_radiix,WR,MapRun,18:19.89,+13:16.45,,true,1594033,76561198086660302,[U:1:126394574],
2021-05-21,05:03.44,wrath,jump_radiix,WR,MapRun,13:02.70,+07:59.26,,true,1594033,76561198102462417,[U:1:142196689],
2021-05-21,05:34.18,im stuck in a dy,jump_radiix,WR,MapRun,10:49.42,+05:15.24,,true,1594033,,,
2021-05-21,05:34.19,sgt Bytheway,jump_radiix,WR,MapRun,09:43.23,+04:09.04,,true,1594033,76561198094169965,[U:1:133904237],
2021-05-21,06:45.12,+46 ondkaja,jump_radiix,WR,MapRun,10:38.95,+03:53.83,,true,1594033,76561198010123351,[U:1:49857623],
2021-05-21,06:45.12,speedyll,jump_radiix,WR,MapRun,19:40.36,+12:55.24,,true,1594033,76561198207307879,[U:1:247042151],
2021-05-21,10:29.50,Cant Do This,jump_radiix,WR,IRCSet,,,,false,1594033,,,
2021-05-21,10:29.50,♫Delirious♫,jump_radiix,WR,MapRun,11:33.79,+01:04.29,,true,1594033,76561198057735172,[U:1:97469444],
2021-05-21,10:29.51,SweZombie,jump_radiix,WR,MapRun,11:04.44,+00:34.93,,true,1594033,76561198849893773,[U:1:889628045],
2021-05-21,10:29.51,maxxy,jump_radiix,WR,MapRun,10:41.64,+00:12.13,,true,1594033,76561198083235528,[U:1:122969800],
2021-05-21,05:03.44,Zen,jump_radiix,WR,MapRun,18:22.35,+13:18.91,,true,1594036,76561198152759309,[U:1:192493581],
