date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2014-06-25,00:06.92,guyyst,jump_rebound_v3,WR,Bonus 1,record,zone_record,,-00:03.85,,8763,76561198041343262,STEAM_0:0:40538767,
2014-06-25,02:15.71,guyyst,jump_rebound_v3,WR,Map,record,map_record,,-00:13.92,00:25.19,8763,76561198041343262,STEAM_0:0:40538767,
2014-11-01,00:04.24,Ltfx,jump_rebound_v3,WR,Bonus 1,record,zone_record,,-00:01.14,,27762,76561198051610309,[U:1:91344581],
2015-03-19,02:07.19,HeliX :],jump_rebound_v3,WR,Map,record,map_record,,-00:08.51,00:22.43,72601,76561197971599263,[U:1:11333535],
2015-06-11,01:43.01,HLX,jump_rebound_v3,WR,Map,record,map_record,,-00:24.18,00:24.18,105148,76561197971599263,[U:1:11333535],
2015-07-17,00:05.10,PORKIE,jump_rebound_v3,WR,Bonus 2,record,zone_record,,-00:00.17,,116391,76561198054239403,[U:1:93973675],
2015-07-17,00:03.83,drifta | tipofth,jump_rebound_v3,WR,Bonus 1,record,zone_record,,-00:00.07,,116391,,,
2018-06-19,00:04.60,Chief,jump_rebound_v3,WR,Bonus 2,record,zone_record,,-00:00.66,00:00.66,682431,76561198122579111,[U:1:162313383],
2018-09-27,01:34.51,kaptain,jump_rebound_v3,WR,Map,record,map_record,,-00:06.62,00:09.55,773774,76561198033727092,[U:1:73461364],
2019-06-11,00:03.16,bernt,jump_rebound_v3,WR,Bonus 1,command,wr_command,,,,,,,
2019-08-25,00:03.07,Madeline,jump_rebound_v3,WR,Bonus 1,record,zone_record,,-00:00.08,00:03.17,1043192,76561198046601398,[U:1:86335670],
2019-08-25,00:04.59,Madeline,jump_rebound_v3,WR,Bonus 2,record,zone_record,,-00:00.01,00:00.04,1043192,76561198046601398,[U:1:86335670],
2020-08-05,01:33.97,bruhhaps,jump_rebound_v3,WR,Map,record,map_record,,-00:00.53,00:45.10,1318804,76561198066947056,[U:1:106681328],
2020-08-23,00:03.13,shakez,jump_rebound_v3,WR,Bonus 3,record,zone_record,,-00:00.02,00:00.08,1334117,76561198312076035,[U:1:351810307],
2020-08-23,00:02.87,Boshy,jump_rebound_v3,WR,Bonus 3,record,zone_record,,-00:00.13,00:00.25,1334365,76561198046601398,[U:1:86335670],
2021-03-10,00:03.99,sgt Bytheway,jump_rebound_v3,WR,Bonus 2,record,zone_record,,-00:01.18,00:01.18,1532112,76561198094169965,[U:1:133904237],
2021-05-30,00:02.92,DenDro,jump_rebound_v3,WR,Bonus 1,record,zone_record,,-00:00.24,00:04.02,1601538,76561198126091800,[U:1:165826072],
2021-06-25,01:33.90,Betteroffx -mora,jump_rebound_v3,WR,Map,record,map_record,,-00:00.08,00:01.00,1622008,,,
2021-11-25,01:28.95,Betteroffx,jump_rebound_v3,WR,Map,record,map_record,,-00:04.95,00:04.95,1778050,76561198111359203,[U:1:151093475],
2021-11-27,01:26.59,Betteroffx,jump_rebound_v3,WR,Map,record,map_record,,-00:02.35,00:02.35,1780026,76561198111359203,[U:1:151093475],
2022-08-17,01:24.57,riot,jump_rebound_v3,WR,Map,record,map_record,,-00:02.02,00:18.84,2028399,76561198065169685,[U:1:104903957],
2022-12-21,00:02.91,nibs,jump_rebound_v3,WR,Bonus 1,record,zone_record,,-00:00.01,00:00.33,2153406,76561198035282173,[U:1:75016445],
2023-11-30,01:24.21,WJ,jump_rebound_v3,WR,Map,record,map_record,,-00:00.36,00:24.09,2615554,76561198108844256,[U:1:148578528],
2024-10-16,00:02.94,Waldo,jump_rebound_v3,WR,Bonus 3,record,zone_record,,-00:00.13,00:00.13,3086185,76561198020256631,[U:1:59990903],
2024-10-16,00:02.92,vash,jump_rebound_v3,WR,Bonus 3,record,zone_record,,-00:00.01,00:00.18,3086185,76561198377607948,[U:1:417342220],
2024-10-16,00:02.85,Waldo,jump_rebound_v3,WR,Bonus 3,record,zone_record,,-00:00.09,00:00.09,3086185,76561198020256631,[U:1:59990903],
2024-10-16,00:02.82,vash,jump_rebound_v3,WR,Bonus 3,record,zone_record,,-00:00.03,00:00.06,3086456,76561198377607948,[U:1:417342220],
2025-01-07,01:20.91,riotbz,jump_rebound_v3,WR,Map,announcement,irc,,-00:03.30,,,,,
2025-01-16,01:16.96,riotbz,jump_rebound_v3,WR,Map,announcement,irc,,-00:03.94,,,,,
2025-01-17,01:14.47,riotbz,jump_rebound_v3,WR,Map,record,map_record,,-00:02.49,00:02.49,3222936,76561198065169685,[U:1:104903957],
2025-10-10,00:02.08,nikita@gosuslugi,jump_rebound_v3,WR,Bonus 1,record,zone_record,,-00:00.88,00:00.88,3527918,,,
