date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2017-12-03,01:57.90,Larry,jump_recall,WR,MapRun,03:22.70,+01:24.80,,true,516913,76561198060570011,[U:1:100304283],
2018-11-17,01:52.59,topkek,jump_recall,WR,IRC,,-00:05.30,,false,818299,,,
2018-11-17,01:52.59,topkek,jump_recall,WR,MapRecord,,-00:05.30,00:06.29,false,818320,76561198070783552,[U:1:110517824],
2018-11-17,01:57.90,gancho,jump_recall,WR,Compact,,,,false,818320,,,
2018-11-17,01:52.59,topkek,jump_recall,WR,IRC,,-00:05.30,,false,818366,,,
2019-02-03,01:50.56,Starkie,jump_recall,WR,MapRun,03:50.00,+01:59.44,,true,883819,,,
2022-02-17,01:49.60,cander,jump_recall,WR,MapRecord,,-00:00.96,00:08.76,false,1860813,76561198318722879,[U:1:358457151],
2022-02-17,01:49.60,cander,jump_recall,WR,Compact,,,,false,1860813,76561198318722879,[U:1:358457151],
2023-12-15,01:47.89,Luffin,jump_recall,WR,MapRecord,,-00:01.71,00:05.41,false,2638010,76561198094197569,[U:1:133931841],
2024-05-02,01:45.60,cander,jump_recall,WR,IRC,,-00:02.29,,false,2841797,,,
2024-05-02,01:45.60,cander,jump_recall,WR,IRC,,-00:02.29,,false,2841786,,,
2024-05-02,01:45.60,cander,jump_recall,WR,IRC,,-00:02.29,,false,2841823,,,
2024-05-02,01:45.60,cander,jump_recall,WR,IRC,,-00:02.29,,false,2841949,,,
2024-05-02,01:45.60,cander,jump_recall,WR,MapRecord,,-00:02.29,00:03.96,false,2841888,76561198318722879,[U:1:358457151],
2024-05-02,01:45.60,cander,jump_recall,WR,IRC,,-00:02.29,,false,2841941,,,
2024-05-02,01:45.60,cander,jump_recall,WR,IRC,,-00:02.29,,false,2841899,,,
2024-05-02,01:45.60,cander,jump_recall,WR,IRC,,-00:02.29,,false,2841870,,,
2024-05-02,01:45.60,cander,jump_recall,WR,IRC,,-00:02.29,,false,2841947,,,
2024-05-02,01:45.60,cander,jump_recall,WR,IRC,,-00:02.29,,false,2841955,,,
2024-05-02,01:45.60,cander,jump_recall,WR,IRC,,-00:02.29,,false,2841914,,,
2024-05-02,01:45.60,cander,jump_recall,WR,IRC,,-00:02.29,,false,2841946,,,
2024-05-02,01:45.60,cander,jump_recall,WR,IRC,,-00:02.29,,false,2841966,,,
2024-05-02,01:45.60,cander,jump_recall,WR,IRC,,-00:02.29,,false,2841973,,,
2024-05-02,01:45.60,cander,jump_recall,WR,IRC,,-00:02.29,,false,2841969,,,
2024-05-02,01:45.60,cander,jump_recall,WR,IRC,,-00:02.29,,false,2841921,,,
2024-05-08,01:45.60,cander,jump_recall,WR,Compact,,,,false,2851000,,,
2024-07-10,01:45.60,cander,jump_recall,WR,Compact,,,,false,2942634,76561198318722879,[U:1:358457151],
2024-09-24,01:45.60,cander,jump_recall,WR,Compact,,,,false,3054352,,,
