date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2022-01-01,01:44.59,Waldo,jump_relicta_rc1,WR,Map,record,first_record,,,,1813259,76561198020256631,[U:1:59990903],
2022-01-01,01:40.47,crazy -rng,jump_relicta_rc1,WR,Map,record,map_record,,-00:19.47,00:19.47,1813270,76561198059437813,[U:1:99172085],
2022-01-01,01:37.00,leffunny,jump_relicta_rc1,WR,Map,record,map_record,,-00:03.46,00:15.36,1813281,76561198963005416,[U:1:1002739688],
2022-01-01,01:29.73,leffunny,jump_relicta_rc1,WR,Map,record,map_record,,-00:07.27,00:07.27,1813281,76561198963005416,[U:1:1002739688],
2022-01-01,01:28.23,leffunny,jump_relicta_rc1,WR,Map,record,map_record,,-00:01.50,00:01.50,1813281,76561198963005416,[U:1:1002739688],
2022-01-01,01:25.08,leffunny,jump_relicta_rc1,WR,Map,record,map_record,,-00:03.15,00:03.15,1813281,76561198963005416,[U:1:1002739688],
2022-01-01,01:22.95,leffunny,jump_relicta_rc1,WR,Map,record,map_record,,-00:02.13,00:02.13,1813281,76561198963005416,[U:1:1002739688],
2022-01-01,01:19.38,leffunny,jump_relicta_rc1,WR,Map,record,map_record,,-00:03.57,00:03.57,1813281,76561198963005416,[U:1:1002739688],
2022-01-01,01:18.90,leffunny,jump_relicta_rc1,WR,Map,record,map_record,,-00:00.48,00:00.48,1813281,76561198963005416,[U:1:1002739688],
2022-01-01,01:16.51,Waldo,jump_relicta_rc1,WR,Map,record,map_record,,-00:08.80,00:08.80,1813281,76561198020256631,[U:1:59990903],
2022-01-01,01:14.07,leffunny,jump_relicta_rc1,WR,Map,record,map_record,,-00:02.44,00:04.83,1813281,76561198963005416,[U:1:1002739688],
2022-01-01,01:13.72,Charlie,jump_relicta_rc1,WR,Map,record,map_record,,-00:01.50,00:01.50,1813303,76561197961895147,[U:1:1629419],
2022-01-01,01:12.87,Charlie,jump_relicta_rc1,WR,Map,record,map_record,,-00:00.85,00:00.85,1813303,76561197961895147,[U:1:1629419],
2022-01-01,01:12.66,cander,jump_relicta_rc1,WR,Map,record,map_record,,-00:00.21,00:00.61,1813337,76561198318722879,[U:1:358457151],
2022-01-01,01:09.69,cander,jump_relicta_rc1,WR,Map,record,map_record,,-00:02.97,00:02.97,1813337,76561198318722879,[U:1:358457151],
2022-01-01,01:07.90,cander,jump_relicta_rc1,WR,Map,record,map_record,,-00:01.78,00:01.78,1813337,76561198318722879,[U:1:358457151],
2022-01-07,01:06.45,vice,jump_relicta_rc1,WR,Map,record,map_record,,-00:01.45,00:04.56,1819673,76561198366368448,[U:1:406102720],
