date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2018-01-17,03:02.35,Boshy,jump_renard,WR,Compact,,,,false,554926,,,
2018-01-17,03:02.35,yeye,jump_renard,WR,MapRun,14:06.38,+11:04.03,,true,554926,76561198120630343,[U:1:160364615],
2018-04-02,00:03.23,Boshy,jump_renard,WR,Bonus 3,,,,false,614750,76561198046601398,[U:1:86335670],
2018-04-02,00:50.28,newjuls,jump_renard,WR,Course 4,,-00:00.21,00:00.82,false,614750,76561198396018338,[U:1:435752610],
2018-04-02,02:57.22,newjuls,jump_renard,WR,MapRecord,,-00:05.12,00:06.00,false,614750,76561198396018338,[U:1:435752610],
2018-04-02,03:02.35,Boshy,jump_renard,WR,Compact,,,,false,614750,76561198046601398,[U:1:86335670],
2018-04-02,03:02.35,Boshy,jump_renard,WR,Compact,,,,false,614750,76561198046601398,[U:1:86335670],
2018-04-02,03:02.35,Boshy,jump_renard,WR,Compact,,,,false,614750,76561198046601398,[U:1:86335670],
2018-04-02,03:02.35,Boshy,jump_renard,WR,Compact,,,,false,614750,76561198046601398,[U:1:86335670],
2018-06-26,00:31.02,vice | bg5.tf,jump_renard,WR,Course 3,,-00:01.33,00:01.33,false,689400,76561198366368448,[U:1:406102720],
2018-06-26,00:32.35,vice | bg5.tf,jump_renard,WR,Course 3,,-00:00.09,00:00.12,false,689400,76561198366368448,[U:1:406102720],
2018-08-07,02:57.22,newjuls -ttdark,jump_renard,WR,Compact,,,,false,728408,,,
2018-09-16,00:02.79,vice,jump_renard,WR,Bonus 3,,-00:00.44,00:00.89,false,763919,76561198366368448,[U:1:406102720],
2018-09-16,00:06.17,vice,jump_renard,WR,Bonus 2,,-00:00.07,00:00.19,false,763919,76561198366368448,[U:1:406102720],
2018-09-16,02:57.22,newjuls,jump_renard,WR,Compact,,,,false,763919,,,
2018-12-05,02:56.34,hanukkater,jump_renard,WR,MapRecord,,-00:00.88,00:06.88,false,833057,76561198222006144,[U:1:261740416],
2018-12-05,02:57.22,newjuls,jump_renard,WR,Compact,,,,false,833057,,,
2018-12-05,02:57.22,newjuls,jump_renard,WR,Compact,,,,false,833057,,,
2019-08-23,00:32.45,vice,jump_renard,WR,Course 2,,-00:00.30,00:01.44,false,1040888,76561198366368448,[U:1:406102720],
2019-09-09,00:31.13,mima,jump_renard,WR,Course 2,,-00:00.91,00:00.91,false,1054020,,,
2019-09-09,00:32.05,mima,jump_renard,WR,Course 2,,-00:00.40,00:00.70,false,1054020,,,
2019-09-17,00:00.93,song,jump_renard,WR,Bonus 1,,-00:00.00,00:00.02,false,1060051,76561198210286877,[U:1:250021149],
2019-09-30,00:00.91,song,jump_renard,WR,Bonus 1,,-00:00.02,00:00.02,false,1069952,76561198210286877,[U:1:250021149],
2019-10-03,00:00.91,song,jump_renard,WR,Bonus 1,,,,false,1072190,,,
2019-10-03,00:30.66,knicks fan,jump_renard,WR,Course 1,,-00:00.05,00:00.05,false,1072190,76561198222006144,[U:1:261740416],
2019-11-30,00:02.98,vice,jump_renard,WR,Bonus 3,,-00:00.01,00:00.99,false,1113593,76561198366368448,[U:1:406102720],
2019-11-30,00:02.65,foxgirl,jump_renard,WR,Bonus 3,,-00:00.32,00:00.34,false,1113735,76561198046601398,[U:1:86335670],
2019-12-11,00:00.89,cander ุ ุ,jump_renard,WR,Bonus 1,,-00:00.01,00:00.07,false,1121708,,,
2020-02-02,00:06.04,super song,jump_renard,WR,Bonus 2,,-00:00.13,00:00.22,false,1163911,76561198210286877,[U:1:250021149],
2020-04-14,00:00.87,cander,jump_renard,WR,Bonus 1,,-00:00.02,00:00.02,false,1224665,76561198318722879,[U:1:358457151],
2020-04-14,00:46.18,hurb,jump_renard,WR,Course 4,,-00:03.58,00:06.85,false,1224665,76561198366368448,[U:1:406102720],
2020-04-14,02:56.34,pi,jump_renard,WR,Compact,,,,false,1224665,,,
2020-04-22,00:00.87,cander,jump_renard,WR,Bonus 1,,-00:00.01,00:00.04,false,1231590,76561198318722879,[U:1:358457151],
2020-05-30,02:48.94,bes9,jump_renard,WR,MapRecord,,-00:07.39,00:13.33,false,1262791,76561198366368448,[U:1:406102720],
2020-05-30,02:56.34,kater,jump_renard,WR,Compact,,,,false,1262791,,,
2020-05-30,02:56.34,kater,jump_renard,WR,Compact,,,,false,1262791,,,
2020-05-30,02:48.94,bes9,jump_renard,WR,IRC,,-00:07.39,,false,1262792,,,
2020-06-04,00:29.86,song,jump_renard,WR,Course 1,,-00:00.79,00:01.24,false,1266931,76561198210286877,[U:1:250021149],
2020-07-07,00:31.00,song,jump_renard,WR,Course 2,,-00:00.13,00:01.68,false,1294237,76561198210286877,[U:1:250021149],
2020-10-21,00:05.95,cander,jump_renard,WR,Bonus 2,,-00:00.09,00:00.13,false,1393678,76561198318722879,[U:1:358457151],
2020-10-21,00:05.91,song,jump_renard,WR,Bonus 2,,-00:00.04,00:00.07,false,1394117,76561198210286877,[U:1:250021149],
2020-10-22,00:05.77,roberto,jump_renard,WR,Bonus 2,,-00:00.13,00:00.16,false,1394966,76561198070882254,[U:1:110616526],
2020-10-26,00:00.87,mois,jump_renard,WR,Bonus 1,,,,false,1398836,76561198081447195,[U:1:121181467],
2020-10-26,00:05.38,song,jump_renard,WR,Bonus 2,,-00:00.10,00:00.12,false,1398836,76561198210286877,[U:1:250021149],
2020-11-10,00:29.79,cander,jump_renard,WR,Course 3,,-00:00.15,00:01.14,false,1413923,76561198318722879,[U:1:358457151],
2021-02-19,00:02.46,Kratos,jump_renard,WR,Bonus 3,,-00:00.04,00:00.04,false,1513531,76561198930334128,[U:1:970068400],
2021-07-06,00:05.47,song,jump_renard,WR,Bonus 2,,-00:00.01,00:00.03,false,1630918,76561198210286877,[U:1:250021149],
2022-05-18,00:30.36,cander,jump_renard,WR,Course 2,,-00:00.78,00:01.24,false,1951903,76561198318722879,[U:1:358457151],
2022-05-18,00:45.99,cander,jump_renard,WR,Course 4,,-00:00.20,00:01.38,false,1951903,76561198318722879,[U:1:358457151],
2023-11-21,00:29.79,cander,jump_renard,WR,Course 3,,,,false,2600986,,,
2023-11-21,00:30.01,Matty,jump_renard,WR,Course 1,,-00:00.65,00:01.83,false,2600986,76561198035204545,[U:1:74938817],
2023-11-21,00:30.36,cander,jump_renard,WR,Course 2,,,,false,2600986,,,
2023-11-21,00:30.66,:kater:,jump_renard,WR,Course 1,,,,false,2600986,,,
2023-11-21,00:45.99,cander,jump_renard,WR,Course 4,,,,false,2600986,,,
2023-11-21,02:41.83,Matty,jump_renard,WR,MapRecord,,-00:07.11,00:09.27,false,2600986,76561198035204545,[U:1:74938817],
2023-11-21,02:48.95,vice,jump_renard,WR,Compact,,,,false,2600986,,,
2024-04-11,02:41.83,Matty,jump_renard,WR,Compact,,,,false,2811814,,,
