date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2022-10-28,04:58.68,Exile,jump_repente2,WR,Map,record,first_record,,,,2099766,76561198046776282,[U:1:86510554],
2022-10-28,01:51.78,CRAZY,jump_repente2,WR,Map,record,map_record,,-03:06.90,,2099778,76561198059437813,[U:1:99172085],
2022-10-28,01:36.51,unknown,jump_repente2,WR,Map,observed,wr_split,,,,,,,
2022-10-28,01:28.72,unknown,jump_repente2,WR,Map,observed,wr_split,,,,,,,
2022-10-28,01:09.39,z D,jump_repente2,WR,Map,observed,wr_split,,,,,76561198304312775,[U:1:344047047],
2022-10-28,00:55.77,cander,jump_repente2,WR,Map,record,map_record,,-00:10.42,,2099829,76561198318722879,[U:1:358457151],
2022-10-28,00:55.68,luffin,jump_repente2,WR,Map,record,map_record,,-00:00.09,00:00.31,2100085,76561198094197569,[U:1:133931841],
2022-10-28,00:54.94,cander,jump_repente2,WR,Map,record,map_record,,-00:00.73,00:00.82,2100247,76561198318722879,[U:1:358457151],
2022-10-28,00:54.85,luffin,jump_repente2,WR,Map,record,map_record,,-00:00.09,00:00.82,2100085,76561198094197569,[U:1:133931841],
2022-10-29,00:53.71,cakeos,jump_repente2,WR,Map,record,map_record,,-00:01.14,00:01.14,2100733,76561198930334128,[U:1:970068400],
2022-10-29,00:53.19,cakeos,jump_repente2,WR,Map,record,map_record,,-00:00.52,00:00.52,2100733,76561198930334128,[U:1:970068400],
2022-10-29,00:52.90,cakeos,jump_repente2,WR,Map,record,map_record,,-00:00.28,00:00.28,2100733,76561198930334128,[U:1:970068400],
2022-10-29,00:52.50,cakeos,jump_repente2,WR,Map,record,map_record,,-00:00.40,00:00.40,2100733,76561198930334128,[U:1:970068400],
2022-10-29,00:52.20,cakeos,jump_repente2,WR,Map,record,map_record,,-00:00.30,00:00.30,2100733,76561198930334128,[U:1:970068400],
