date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2022-05-22,21:26.25,yeye,jump_reverentia_rc2,WR,Map,record,first_record,,,,1954290,76561198120630343,[U:1:160364615],
2022-05-22,08:17.37,hool,jump_reverentia_rc2,WR,Map,record,first_record,,,,1954391,76561198090809881,[U:1:130544153],
2022-05-22,06:08.07,hool,jump_reverentia_rc2,WR,Map,record,map_record,,-02:09.30,02:09.30,1954391,76561198090809881,[U:1:130544153],
2022-05-22,03:09.33,hool,jump_reverentia_rc2,WR,Map,record,map_record,,-02:58.74,02:58.74,1954391,76561198090809881,[U:1:130544153],
2022-05-22,02:27.16,I Deaf & Blind,jump_reverentia_rc2,WR,Map,record,map_record,,-00:42.16,03:42.45,1954442,76561198126091800,[U:1:165826072],
2022-05-22,01:44.73,I Deaf & Blind,jump_reverentia_rc2,WR,Map,record,map_record,,-00:42.43,00:42.43,1954442,76561198126091800,[U:1:165826072],
2022-05-23,01:37.95,soven,jump_reverentia_rc2,WR,Map,record,map_record,,-00:06.78,00:26.07,1955305,76561198133103832,[U:1:172838104],
2022-05-25,01:35.41,IzzyHoP -tt,jump_reverentia_rc2,WR,Map,record,map_record,,-00:02.53,00:06.85,1956818,76561197995927883,[U:1:35662155],
2022-05-30,01:26.97,Bibleman,jump_reverentia_rc2,WR,Map,record,map_record,,-00:08.44,00:17.74,1961057,76561198169456578,[U:1:209190850],
2023-01-29,01:26.40,spidda,jump_reverentia_rc2,WR,Map,record,map_record,,-00:13.66,00:13.66,2197503,76561198057436685,[U:1:97170957],
2023-02-06,01:25.21,twitch.tv/dax_tf,jump_reverentia_rc2,WR,Map,record,map_record,,-00:01.18,15:11.04,2205938,,,
2023-02-08,01:24.31,dax.,jump_reverentia_rc2,WR,Map,record,map_record,,-00:00.90,00:00.90,2207984,76561198321885643,[U:1:361619915],
2023-02-13,01:23.22,Gordon Freestyle,jump_reverentia_rc2,WR,Map,record,map_record,,-00:01.09,00:03.75,2213127,76561198169456578,[U:1:209190850],
2023-02-13,01:22.84,Gordon Freestyle,jump_reverentia_rc2,WR,Map,record,map_record,,-00:00.37,00:00.37,2213186,76561198169456578,[U:1:209190850],
2023-06-16,01:19.86,Gordon Freestyle,jump_reverentia_rc2,WR,Map,record,map_record,,-00:02.98,00:02.98,2367651,76561198169456578,[U:1:209190850],
2024-04-12,01:18.94,diazepam-maxxer,jump_reverentia_rc2,WR,Map,record,map_record,,-00:00.91,00:00.91,2813283,76561198169456578,[U:1:209190850],
2024-04-22,01:18.91,rev!4,jump_reverentia_rc2,WR,Map,announcement,irc,,-00:00.03,,,,,
2024-07-22,01:18.24,Bibleman,jump_reverentia_rc2,WR,Map,announcement,irc,,-00:00.70,,,,,
2024-07-22,01:17.61,Bibleman,jump_reverentia_rc2,WR,Map,announcement,irc,,-00:00.63,,,,,
2024-07-22,01:17.07,Bibleman,jump_reverentia_rc2,WR,Map,announcement,irc,,-00:00.54,,,,,
2024-08-17,01:16.69,rev!4,jump_reverentia_rc2,WR,Map,announcement,irc,,-00:00.37,,,,,
2024-10-29,01:15.15,Bibleman,jump_reverentia_rc2,WR,Map,record,map_record,,-00:01.54,00:01.92,3105158,76561198169456578,[U:1:209190850],
2024-12-14,01:15.03,Jay,jump_reverentia_rc2,WR,Map,record,map_record,,-00:00.12,00:00.33,3173397,76561198148815032,[U:1:188549304],
2024-12-15,01:14.98,Jay,jump_reverentia_rc2,WR,Map,record,map_record,,-00:00.04,00:00.04,3174501,76561198148815032,[U:1:188549304],
2024-12-15,01:14.73,Jay,jump_reverentia_rc2,WR,Map,record,map_record,,-00:00.25,00:00.25,3174501,76561198148815032,[U:1:188549304],
2024-12-15,01:14.26,rev!4,jump_reverentia_rc2,WR,Map,record,map_record,,-00:00.46,00:01.62,3174501,76561198101061668,[U:1:140795940],
2024-12-15,01:14.05,rev!4,jump_reverentia_rc2,WR,Map,record,map_record,,-00:00.21,00:00.21,3174501,76561198101061668,[U:1:140795940],
2024-12-30,01:13.51,rev!4,jump_reverentia_rc2,WR,Map,record,map_record,,-00:00.54,00:00.54,3196255,76561198101061668,[U:1:140795940],
2025-04-14,01:13.50,Jay,jump_reverentia_rc2,WR,Map,announcement,irc,,-00:00.02,,,,,
2025-04-20,01:12.70,Jay,jump_reverentia_rc2,WR,Map,record,map_record,,-00:00.80,00:00.80,3284979,76561198148815032,[U:1:188549304],
2025-08-05,01:12.46,nikita@gosuslugi,jump_reverentia_rc2,WR,Map,record,map_record,,-00:00.63,00:00.63,3437110,,,
