date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2014-07-23,00:17.81,miⓝty,jump_rnc_a1,WR,Bonus 1,,-00:00.34,00:02.05,false,11964,76561198050815941,STEAM_0:1:45275106,
2014-08-22,10:48.70,LessThanThree,jump_rnc_a1,WR,Course 2,,-08:24.07,08:24.07,false,17172,76561198066563951,[U:1:106298223],
2014-08-22,15:11.53,LessThanThree,jump_rnc_a1,WR,MapRecord,,-10:29.57,13:54.85,false,17172,76561198066563951,[U:1:106298223],
2014-08-22,19:12.78,LessThanThree,jump_rnc_a1,WR,Course 2,,-02:33.14,12:14.41,false,17172,76561198066563951,[U:1:106298223],
2014-08-23,15:11.53,LessThanThree,jump_rnc_a1,WR,Compact,,,,false,17568,,,
2014-08-31,02:42.22,guyyst,jump_rnc_a1,WR,Course 1,,-00:19.18,00:24.22,false,19339,76561198041343262,[U:1:81077534],
2014-08-31,03:01.40,LessThanThree,jump_rnc_a1,WR,Course 1,,-00:02.02,00:59.94,false,19339,76561198066563951,[U:1:106298223],
2014-08-31,06:47.29,guyyst,jump_rnc_a1,WR,Course 2,,-04:01.41,14:58.63,false,19339,76561198041343262,[U:1:81077534],
2014-08-31,00:07.49,guyyst,jump_rnc_a1,WR,Bonus 1,,-00:10.02,,false,19400,76561198041343262,[U:1:81077534],
2014-08-31,00:13.47,guyyst,jump_rnc_a1,WR,Bonus 2 First,,,,false,19400,76561198041343262,[U:1:81077534],
2014-08-31,13:25.37,guyyst,jump_rnc_a1,WR,MapRecord,,-01:46.15,12:15.73,false,19400,76561198041343262,[U:1:81077534],
2014-11-18,00:06.41,jondy,jump_rnc_a1,WR,Bonus 1,,-00:01.07,00:02.67,false,31463,76561198055778722,[U:1:95512994],
2014-11-18,13:25.37,guyyst,jump_rnc_a1,WR,Compact,,,,false,31463,,,
2015-01-03,00:06.40,LessThanThree,jump_rnc_a1,WR,Bonus 1,,-00:00.01,00:00.18,false,44593,76561198066563951,[U:1:106298223],
2015-01-03,00:12.97,LessThanThree,jump_rnc_a1,WR,Bonus 2,,-00:00.19,,false,44593,76561198066563951,[U:1:106298223],
2015-01-03,02:26.07,LessThanThree,jump_rnc_a1,WR,Course 1,,-00:16.15,00:17.71,false,44593,76561198066563951,[U:1:106298223],
2015-01-03,05:14.02,LessThanThree,jump_rnc_a1,WR,Course 2,,-01:26.32,01:26.32,false,44593,76561198066563951,[U:1:106298223],
2015-01-03,06:40.34,LessThanThree,jump_rnc_a1,WR,Course 2,,-00:06.94,02:27.79,false,44593,76561198066563951,[U:1:106298223],
2015-01-03,13:17.27,LessThanThree,jump_rnc_a1,WR,MapRecord,,-00:08.10,01:54.25,false,44593,76561198066563951,[U:1:106298223],
2015-02-11,10:16.25,jdizzle,jump_rnc_a1,WR,MapRecord,,-03:01.01,10:23.86,false,60188,76561198055778722,[U:1:95512994],
2015-03-03,10:16.25,JoNdEeZy,jump_rnc_a1,WR,Compact,,,,false,66888,76561198055778722,[U:1:95512994],
2015-03-03,10:16.25,JoNdEeZy,jump_rnc_a1,WR,Compact,,,,false,66888,76561198055778722,[U:1:95512994],
2015-03-03,10:16.25,JoNdEeZy,jump_rnc_a1,WR,Ranked,,,,true,66888,76561198055778722,[U:1:95512994],
2015-03-03,10:16.26,Superchuck,jump_rnc_a1,WR,MapRun,13:46.07,+03:29.81,16:15.98,true,66888,76561198064467753,[U:1:104202025],
2015-03-03,10:16.26,Superchuck,jump_rnc_a1,WR,MapRun,30:02.05,+19:45.79,,true,66888,76561198064467753,[U:1:104202025],
2015-03-03,10:16.26,obeebz,jump_rnc_a1,WR,MapRun,1:03:35.73,+53:19.47,,true,66888,76561198059596652,[U:1:99330924],
2015-03-21,10:16.26,Gauge,jump_rnc_a1,WR,MapRun,1:09:25.00,+59:08.74,,true,73383,76561197998802876,[U:1:38537148],
2015-08-09,02:19.38,obz,jump_rnc_a1,WR,Course 1,,-00:00.58,00:00.58,false,126203,76561198059596652,[U:1:99330924],
2015-08-09,08:13.51,obz,jump_rnc_a1,WR,MapRecord,,-02:02.74,04:54.31,false,126203,76561198059596652,[U:1:99330924],
