date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2015-02-21,00:02.55,Top Cake A banjo,jump_rope_final,WR,Bonus 1,,-00:00.06,00:00.14,false,63546,76561198070783552,[U:1:110517824],
2015-02-21,00:02.69,Top Cake A banjo,jump_rope_final,WR,Bonus 2,,-00:00.16,,false,63546,76561198070783552,[U:1:110517824],
2015-02-21,00:05.55,879m,jump_rope_final,WR,Bonus 1,,-00:03.70,00:08.79,false,63546,76561198043793220,[U:1:83527492],
2015-02-21,00:08.30,guv,jump_rope_final,WR,Bonus 2 First,,,,false,63546,76561197960321092,[U:1:55364],
2015-02-21,00:09.26,guv,jump_rope_final,WR,Bonus 1 First,,,,false,63546,76561197960321092,[U:1:55364],
2015-02-21,02:12.08,879m,jump_rope_final,WR,MapRecord,,-01:39.99,01:39.99,false,63546,76561198043793220,[U:1:83527492],
2015-02-21,03:52.08,879m,jump_rope_final,WR,FirstRecord,,,,false,63546,76561198043793220,[U:1:83527492],
2015-02-21,03:52.08,Codie,jump_rope_final,WR,MapRun,04:27.61,+00:35.53,,true,63546,76561198149832229,[U:1:189566501],
2015-02-21,00:02.66,Bobby Johnson,jump_rope_final,WR,Bonus 2,,-00:00.03,00:00.40,false,63654,76561198018656606,[U:1:58390878],
2015-02-21,02:05.14,Bobby Johnson,jump_rope_final,WR,MapRecord,,-00:00.76,00:09.79,false,63654,76561198018656606,[U:1:58390878],
2015-02-21,02:05.90,Kucinoブッバ,jump_rope_final,WR,MapRecord,,-00:06.17,02:57.37,false,63654,76561198045405184,[U:1:85139456],
2015-02-21,02:05.91,*hisses at sunli,jump_rope_final,WR,MapRun,03:49.78,+01:43.87,00:55.20,true,63654,,,
2015-02-21,02:05.91,*hisses at sunli,jump_rope_final,WR,MapRun,04:44.98,+02:39.07,03:21.91,true,63654,,,
2015-02-21,02:05.91,*hisses at sunli,jump_rope_final,WR,MapRun,08:06.89,+06:00.98,,true,63654,,,
2015-02-21,02:05.91,Bobby Johnson,jump_rope_final,WR,MapRun,02:14.93,+00:09.02,00:05.19,true,63654,76561198018656606,[U:1:58390878],
