date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2020-07-21,00:02.42,Kratos,jump_ruelee_a6,WR,Bonus 2,record,zone_first,,,,1306729,76561198930334128,[U:1:970068400],
2020-07-21,00:02.38,Kratos,jump_ruelee_a6,WR,Bonus 2,record,zone_record,,-00:00.04,00:00.04,1306729,76561198930334128,[U:1:970068400],
2020-07-21,00:02.00,Kratos,jump_ruelee_a6,WR,Bonus 2,record,zone_record,,-00:00.37,00:00.37,1306729,76561198930334128,[U:1:970068400],
2020-07-21,00:01.95,Kratos,jump_ruelee_a6,WR,Bonus 2,record,zone_record,,-00:00.05,00:00.05,1306729,76561198930334128,[U:1:970068400],
2020-07-21,00:13.25,Kratos,jump_ruelee_a6,WR,Bonus 1,record,zone_first,,,,1306729,76561198930334128,[U:1:970068400],
2020-07-21,00:01.79,Kratos,jump_ruelee_a6,WR,Bonus 2,record,zone_record,,-00:00.15,00:00.15,1306729,76561198930334128,[U:1:970068400],
2020-07-21,00:10.51,Kratos,jump_ruelee_a6,WR,Bonus 1,record,zone_record,,-00:02.74,00:02.74,1306729,76561198930334128,[U:1:970068400],
2020-07-21,03:31.70,Luke.,jump_ruelee_a6,WR,Map,record,map_record,,-03:23.00,,1306729,76561198098414676,[U:1:138148948],
2020-07-21,00:04.93,Luke.,jump_ruelee_a6,WR,Bonus 1,record,zone_record,,-00:07.28,00:07.28,1306729,76561198098414676,[U:1:138148948],
2020-07-21,00:01.78,Luke.,jump_ruelee_a6,WR,Bonus 2,record,zone_record,,-00:00.25,00:00.25,1306729,76561198098414676,[U:1:138148948],
2020-07-21,00:01.75,Luke.,jump_ruelee_a6,WR,Bonus 2,record,zone_record,,-00:00.03,00:00.03,1306729,76561198098414676,[U:1:138148948],
2020-07-22,00:01.74,Waldo,jump_ruelee_a6,WR,Bonus 2,record,zone_record,,-00:00.04,00:00.04,1306837,76561198020256631,[U:1:59990903],
2020-07-22,00:01.67,Waldo,jump_ruelee_a6,WR,Bonus 2,record,zone_record,,-00:00.06,00:00.06,1306837,76561198020256631,[U:1:59990903],
2020-07-22,00:01.57,vice,jump_ruelee_a6,WR,Bonus 2,record,zone_record,,-00:00.10,00:00.20,1306850,76561198366368448,[U:1:406102720],
2020-07-22,00:04.15,vice,jump_ruelee_a6,WR,Bonus 1,record,zone_record,,-00:00.78,00:00.79,1306850,76561198366368448,[U:1:406102720],
2020-07-22,00:03.69,cander,jump_ruelee_a6,WR,Bonus 1,record,zone_record,,-00:00.46,,1306850,76561198318722879,[U:1:358457151],
2020-07-22,00:01.47,cander,jump_ruelee_a6,WR,Bonus 2,record,zone_record,,-00:00.10,,1306850,76561198318722879,[U:1:358457151],
