date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2020-07-21,00:07.94,Luke.,jump_ruelee_a6,WR,Bonus 2,record,zone_record,,-00:08.73,,1306729,76561198098414676,[U:1:138148948],
2020-07-21,00:04.04,Luke.,jump_ruelee_a6,WR,Bonus 2,record,zone_record,,-00:03.90,00:03.90,1306729,76561198098414676,[U:1:138148948],
2020-07-22,00:03.87,RueLee ♥,jump_ruelee_a6,WR,Bonus 2,record,zone_record,,-00:00.17,00:12.81,1306817,76561198248800010,[U:1:288534282],
2020-07-22,24:12.01,♫Delirious♫,jump_ruelee_a6,WR,Map,record,first_record,,,,1306817,76561198057735172,[U:1:97469444],
2020-07-22,06:09.42,♫Delirious♫,jump_ruelee_a6,WR,Bonus 1,record,zone_first,,,,1306817,76561198057735172,[U:1:97469444],
2020-07-22,00:03.69,RueLee ♥,jump_ruelee_a6,WR,Bonus 2,record,zone_record,,-00:00.17,00:00.17,1306817,76561198248800010,[U:1:288534282],
2020-07-22,19:37.84,tev -bh | JMC,jump_ruelee_a6,WR,Map,record,map_record,,-04:34.16,,1306837,76561198057243054,[U:1:96977326],
2020-07-22,09:47.54,tev -bh | JMC,jump_ruelee_a6,WR,Map,record,map_record,,-09:50.29,09:50.29,1306837,76561198057243054,[U:1:96977326],
2020-07-22,01:00.41,tev -bh | JMC,jump_ruelee_a6,WR,Bonus 1,record,zone_record,,-05:09.00,,1306837,76561198057243054,[U:1:96977326],
2020-07-22,08:01.96,RueLee ♥,jump_ruelee_a6,WR,Map,record,map_record,,-01:45.58,,1306855,76561198248800010,[U:1:288534282],
2020-07-22,00:15.28,RueLee ♥,jump_ruelee_a6,WR,Bonus 1,record,zone_record,,-00:45.13,,1306855,76561198248800010,[U:1:288534282],
2020-07-22,00:14.05,tomato tom,jump_ruelee_a6,WR,Bonus 1,record,zone_record,,-00:01.22,,1306855,76561198120374593,[U:1:160108865],
2020-07-22,04:28.27,RueLee ♥,jump_ruelee_a6,WR,Map,record,map_record,,-03:33.69,03:33.69,1306855,76561198248800010,[U:1:288534282],
2020-07-22,00:03.67,RueLee ♥,jump_ruelee_a6,WR,Bonus 2,record,zone_record,,-00:00.01,00:00.01,1306855,76561198248800010,[U:1:288534282],
2020-07-22,00:03.64,RueLee ♥,jump_ruelee_a6,WR,Bonus 2,record,zone_record,,-00:00.03,00:00.03,1306855,76561198248800010,[U:1:288534282],
2020-07-22,00:14.02,maxxy,jump_ruelee_a6,WR,Bonus 1,record,zone_record,,-00:00.02,,1307162,76561198083235528,[U:1:122969800],
2020-07-22,04:12.52,CrackuhJax,jump_ruelee_a6,WR,Map,record,map_record,,-00:15.75,01:01.32,1307436,76561198066650704,[U:1:106384976],
2020-07-23,00:12.46,Suprema Jero ϡ,jump_ruelee_a6,WR,Bonus 1,record,zone_record,,-00:01.56,,1307913,76561198052746777,[U:1:92481049],
2020-07-23,00:11.92,Ww! Darkknio™,jump_ruelee_a6,WR,Bonus 1,record,zone_record,,-00:03.06,00:03.06,1307913,76561198063242136,[U:1:102976408],
2020-07-23,00:11.07,Ww! Darkknio™,jump_ruelee_a6,WR,Bonus 1,record,zone_record,,-00:00.85,00:00.85,1307913,76561198063242136,[U:1:102976408],
2020-07-23,00:03.10,ondkaja,jump_ruelee_a6,WR,Bonus 2,record,zone_record,,-00:00.53,,1307913,76561198010123351,[U:1:49857623],
2020-07-24,03:42.33,riot,jump_ruelee_a6,WR,Map,record,map_record,,-00:30.19,01:26.39,1308492,76561198065169685,[U:1:104903957],
2020-07-26,03:29.25,fibu,jump_ruelee_a6,WR,Map,record,map_record,,-00:16.27,00:16.27,1310500,76561198060274494,[U:1:100008766],
2020-07-27,03:20.71,President Kanye,jump_ruelee_a6,WR,Map,record,map_record,,-00:08.53,01:08.65,1311440,,,
2020-07-28,00:03.00,cander,jump_ruelee_a6,WR,Bonus 2,record,zone_record,,-00:00.10,00:01.07,1311980,76561198318722879,[U:1:358457151],
2020-07-29,03:02.39,twitch.tv/boshyt,jump_ruelee_a6,WR,Map,record,map_record,,-00:18.32,00:45.43,1313106,,,
2020-07-29,02:34.06,twitch.tv/boshyt,jump_ruelee_a6,WR,Map,record,map_record,,-00:28.32,00:28.32,1313154,,,
2020-08-03,00:02.95,Truth,jump_ruelee_a6,WR,Bonus 2,record,zone_record,,-00:00.04,00:00.09,1316948,76561198204104197,[U:1:243838469],
2020-08-16,00:10.91,Lonely,jump_ruelee_a6,WR,Bonus 1,record,zone_record,,-00:00.15,00:00.40,1327274,76561198204104197,[U:1:243838469],
2020-08-17,00:10.78,Lonely,jump_ruelee_a6,WR,Bonus 1,record,zone_record,,-00:00.13,00:00.13,1328425,76561198204104197,[U:1:243838469],
2020-08-20,00:10.66,Lonely,jump_ruelee_a6,WR,Bonus 1,record,zone_record,,-00:00.11,00:00.11,1331454,76561198204104197,[U:1:243838469],
2020-10-01,00:02.94,song,jump_ruelee_a6,WR,Bonus 2,record,zone_record,,-00:00.01,00:00.18,1374508,76561198210286877,[U:1:250021149],
2020-10-01,00:02.92,Lonely,jump_ruelee_a6,WR,Bonus 2,record,zone_record,,-00:00.01,00:00.02,1374721,76561198204104197,[U:1:243838469],
2020-10-25,00:02.89,Lonely,jump_ruelee_a6,WR,Bonus 2,record,zone_record,,-00:00.03,00:00.03,1397785,76561198204104197,[U:1:243838469],
2020-11-16,00:02.85,Lonely,jump_ruelee_a6,WR,Bonus 2,record,zone_record,,-00:00.04,00:00.04,1419776,76561198204104197,[U:1:243838469],
2021-03-30,00:10.57,twitch.tv/ruelee,jump_ruelee_a6,WR,Bonus 1,record,zone_record,,-00:00.22,00:00.33,1550850,,,
2021-05-03,00:10.45,song,jump_ruelee_a6,WR,Bonus 1,record,zone_record,,-00:00.12,00:01.53,1579485,76561198210286877,[U:1:250021149],
2021-08-17,00:10.41,twitch.tv/ruelee,jump_ruelee_a6,WR,Bonus 1,record,zone_record,,-00:00.04,00:00.07,1673038,,,
2021-08-26,00:02.76,cander,jump_ruelee_a6,WR,Bonus 2,record,zone_record,,-00:00.09,00:00.24,1684084,76561198318722879,[U:1:358457151],
2021-08-26,00:02.62,cander,jump_ruelee_a6,WR,Bonus 2,record,zone_record,,-00:00.13,00:00.13,1684084,76561198318722879,[U:1:358457151],
2022-01-01,00:10.23,RueLee ♥,jump_ruelee_a6,WR,Bonus 1,record,zone_record,,-00:00.18,00:00.18,1814004,76561198248800010,[U:1:288534282],
2022-02-03,00:10.21,pevkele -bbc,jump_ruelee_a6,WR,Bonus 1,record,zone_record,,-00:00.01,00:00.03,1843980,76561198201985399,[U:1:241719671],
2022-02-03,00:10.12,pevkele -bbc,jump_ruelee_a6,WR,Bonus 1,record,zone_record,,-00:00.09,00:00.09,1843980,76561198201985399,[U:1:241719671],
2022-02-03,00:09.97,pevkele -bbc,jump_ruelee_a6,WR,Bonus 1,record,zone_record,,-00:00.15,00:00.15,1843980,76561198201985399,[U:1:241719671],
2023-05-26,02:32.59,Helmi.,jump_ruelee_a6,WR,Map,record,map_record,,-00:02.11,00:02.49,2335761,76561198201985399,[U:1:241719671],
