date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2019-12-28,03:49.23,Aventador,jump_rutabaga_rc2,WR,Map,record,first_record,,,,1134840,76561198254280928,[U:1:294015200],
2019-12-28,02:46.63,maxxy,jump_rutabaga_rc2,WR,Map,record,map_record,,-01:02.59,,1134840,76561198083235528,[U:1:122969800],
2019-12-28,02:23.20,Morni,jump_rutabaga_rc2,WR,Map,record,map_record,,-00:23.43,,1134840,76561198055224113,[U:1:94958385],
2019-12-28,02:02.83,Gebobus -tt,jump_rutabaga_rc2,WR,Map,record,map_record,,-00:11.67,00:26.74,1134840,76561198044263100,[U:1:83997372],
2019-12-28,01:52.83,maxxy,jump_rutabaga_rc2,WR,Map,record,map_record,,-00:10.00,00:23.95,1134840,76561198083235528,[U:1:122969800],
2019-12-28,01:45.85,when the,jump_rutabaga_rc2,WR,Map,record,map_record,,-00:15.52,00:15.52,1134840,76561198076611413,[U:1:116345685],
2019-12-28,01:43.60,osplo -cg,jump_rutabaga_rc2,WR,Map,record,map_record,,-00:49.90,00:49.90,1135013,76561198047229461,[U:1:86963733],
2019-12-28,01:41.11,tomato tom,jump_rutabaga_rc2,WR,Map,record,map_record,,-00:02.48,00:07.00,1135135,76561198120374593,[U:1:160108865],
2019-12-28,01:38.71,tomato tom,jump_rutabaga_rc2,WR,Map,record,map_record,,-00:02.39,00:02.39,1135135,76561198120374593,[U:1:160108865],
2019-12-28,01:30.90,tomato tom,jump_rutabaga_rc2,WR,Map,record,map_record,,-00:07.81,00:07.81,1135135,76561198120374593,[U:1:160108865],
2019-12-28,01:30.40,tomato tom,jump_rutabaga_rc2,WR,Map,record,map_record,,-00:00.49,00:00.49,1135135,76561198120374593,[U:1:160108865],
2019-12-28,01:28.38,resistance is ne,jump_rutabaga_rc2,WR,Map,record,map_record,,-00:07.69,00:07.69,1135135,,,
2019-12-28,01:25.00,resistance is ne,jump_rutabaga_rc2,WR,Map,record,map_record,,-00:03.37,00:03.37,1135135,,,
2019-12-28,01:22.93,tomato tom,jump_rutabaga_rc2,WR,Map,record,map_record,,-00:02.07,00:07.46,1135135,76561198120374593,[U:1:160108865],
2019-12-28,01:21.93,resistance is ne,jump_rutabaga_rc2,WR,Map,record,map_record,,-00:03.07,00:03.07,1135135,,,
2019-12-28,01:21.82,resistance is ne,jump_rutabaga_rc2,WR,Map,record,map_record,,-00:00.10,00:00.10,1135135,,,
2019-12-28,01:17.97,resistance is ne,jump_rutabaga_rc2,WR,Map,record,map_record,,-00:03.85,00:03.85,1135135,,,
2019-12-28,01:17.17,resistance is ne,jump_rutabaga_rc2,WR,Map,record,map_record,,-00:00.79,00:00.79,1135135,,,
2019-12-29,01:16.54,resistance is ne,jump_rutabaga_rc2,WR,Map,record,map_record,,-00:00.62,00:00.62,1135625,,,
2019-12-29,01:15.30,resistance is ne,jump_rutabaga_rc2,WR,Map,record,map_record,,-00:01.24,00:01.24,1135625,,,
2019-12-29,01:11.77,resistance is ne,jump_rutabaga_rc2,WR,Map,record,map_record,,-00:03.52,00:03.52,1135625,,,
2019-12-29,01:07.60,resistance is ne,jump_rutabaga_rc2,WR,Map,record,map_record,,-00:04.16,00:04.16,1135625,,,
2019-12-30,00:10.82,lwearg,jump_rutabaga_rc2,WR,Bonus 1,record,zone_record,,-00:05.11,00:05.11,1136090,76561198152618680,[U:1:192352952],
2019-12-30,00:04.00,lwearg,jump_rutabaga_rc2,WR,Bonus 2,record,zone_record,,-00:01.64,00:01.64,1136090,76561198152618680,[U:1:192352952],
2019-12-30,00:10.15,lwearg,jump_rutabaga_rc2,WR,Bonus 1,record,zone_record,,-00:00.67,00:00.67,1136090,76561198152618680,[U:1:192352952],
2019-12-30,00:08.62,lwearg,jump_rutabaga_rc2,WR,Bonus 1,record,zone_record,,-00:01.53,00:01.53,1136090,76561198152618680,[U:1:192352952],
2019-12-30,00:03.65,Waldo,jump_rutabaga_rc2,WR,Bonus 2,record,zone_record,,-00:00.52,00:00.52,1136090,76561198020256631,[U:1:59990903],
2019-12-30,00:03.62,Waldo,jump_rutabaga_rc2,WR,Bonus 2,record,zone_record,,-00:00.02,00:00.02,1136090,76561198020256631,[U:1:59990903],
2019-12-30,00:03.22,Waldo,jump_rutabaga_rc2,WR,Bonus 2,record,zone_record,,-00:00.40,00:00.40,1136090,76561198020256631,[U:1:59990903],
2019-12-30,00:03.17,Waldo,jump_rutabaga_rc2,WR,Bonus 2,record,zone_record,,-00:00.04,00:00.04,1136090,76561198020256631,[U:1:59990903],
2019-12-30,00:03.07,Waldo,jump_rutabaga_rc2,WR,Bonus 2,record,zone_record,,-00:00.10,00:00.10,1136090,76561198020256631,[U:1:59990903],
2019-12-30,00:03.01,Waldo,jump_rutabaga_rc2,WR,Bonus 2,record,zone_record,,-00:00.05,00:00.05,1136090,76561198020256631,[U:1:59990903],
2019-12-30,00:03.00,Waldo,jump_rutabaga_rc2,WR,Bonus 2,record,zone_record,,-00:00.01,00:00.01,1136090,76561198020256631,[U:1:59990903],
2019-12-30,00:02.95,Waldo,jump_rutabaga_rc2,WR,Bonus 2,record,zone_record,,-00:00.04,00:00.04,1136090,76561198020256631,[U:1:59990903],
2019-12-30,00:02.94,Waldo,jump_rutabaga_rc2,WR,Bonus 2,record,zone_record,,-00:00.00,00:00.00,1136090,76561198020256631,[U:1:59990903],
2019-12-30,00:02.93,Waldo,jump_rutabaga_rc2,WR,Bonus 2,record,zone_record,,-00:00.00,00:00.00,1136090,76561198020256631,[U:1:59990903],
2019-12-30,00:02.89,Waldo,jump_rutabaga_rc2,WR,Bonus 2,record,zone_record,,-00:00.04,00:00.04,1136090,76561198020256631,[U:1:59990903],
