date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2014-08-26,1:17:40.69,garythegoat ente...,jump_rvr_b1,WR,Compact,,,,false,18199,,,
2014-08-26,32:22.67,seras -mm,jump_rvr_b1,WR,Course 2,,-19:31.50,52:01.68,false,18199,76561198070882254,[U:1:110616526],
2014-08-26,51:39.01,seras -mm,jump_rvr_b1,WR,MapRecord,,-26:01.67,1:00:11.58,false,18199,76561198070882254,[U:1:110616526],
2014-08-27,12:02.96,cody,jump_rvr_b1,WR,Course 1,,-03:09.43,04:04.32,false,18426,76561198078488228,[U:1:118222500],
2014-08-27,26:21.87,cody,jump_rvr_b1,WR,Course 2,,-06:00.80,08:46.75,false,18426,76561198078488228,[U:1:118222500],
2014-08-27,38:30.49,cody,jump_rvr_b1,WR,MapRecord,,-13:08.51,13:25.15,false,18426,76561198078488228,[U:1:118222500],
2015-05-06,23:06.27,879m,jump_rvr_b1,WR,Course 2,,-03:15.32,03:15.32,false,90201,76561198043793220,[U:1:83527492],
2015-05-06,36:14.65,879m,jump_rvr_b1,WR,MapRecord,,-02:15.84,03:03.08,false,90201,76561198043793220,[U:1:83527492],
2015-05-06,38:30.49,twitch.tv/codyyo,jump_rvr_b1,WR,Compact,,,,false,90201,,,
2018-04-20,05:55.33,bog boy,jump_rvr_b1,WR,Course 1,,-00:30.22,00:30.22,false,628935,76561198043793220,[U:1:83527492],
2018-04-20,06:25.55,bog boy,jump_rvr_b1,WR,Course 1,,,,false,628935,76561198043793220,[U:1:83527492],
2018-04-20,06:25.55,bog boy,jump_rvr_b1,WR,Course 1,,-00:08.49,00:08.49,false,628935,76561198043793220,[U:1:83527492],
2018-04-20,07:43.13,newjuls,jump_rvr_b1,WR,Course 2,,,,false,628935,76561198396018338,[U:1:435752610],
2018-04-20,14:53.34,bog boy,jump_rvr_b1,WR,MapRecord,,-00:41.61,00:41.61,false,628935,76561198043793220,[U:1:83527492],
2018-04-20,15:34.96,bog boy,jump_rvr_b1,WR,Compact,,,,false,628935,76561198043793220,[U:1:83527492],
2018-04-20,15:34.96,bog boy,jump_rvr_b1,WR,Compact,,,,false,628935,76561198043793220,[U:1:83527492],
2018-04-20,15:34.96,bog boy,jump_rvr_b1,WR,Compact,,,,false,628935,76561198043793220,[U:1:83527492],
2018-04-20,15:34.96,bog boy,jump_rvr_b1,WR,Compact,,,,false,628935,76561198043793220,[U:1:83527492],
2018-04-20,15:34.96,bog boy,jump_rvr_b1,WR,Compact,,,,false,628935,76561198043793220,[U:1:83527492],
2018-04-20,15:34.96,bog boy,jump_rvr_b1,WR,Compact,,,,false,628935,76561198043793220,[U:1:83527492],
2018-04-20,15:34.96,bog boy,jump_rvr_b1,WR,Compact,,,,false,628935,76561198043793220,[U:1:83527492],
2018-04-20,15:34.96,bog boy,jump_rvr_b1,WR,Compact,,,,false,628935,76561198043793220,[U:1:83527492],
2018-04-20,15:34.97,bog boy,jump_rvr_b1,WR,MapRun,18:51.19,+03:16.22,,true,628935,76561198043793220,[U:1:83527492],
2018-04-20,15:34.97,bog boy,jump_rvr_b1,WR,MapRun,21:54.49,+06:19.52,,true,628935,76561198043793220,[U:1:83527492],
2018-04-20,15:34.97,bog boy,jump_rvr_b1,WR,MapRun,25:08.76,+09:33.79,,true,628935,76561198043793220,[U:1:83527492],
2018-04-20,15:34.97,newjuls,jump_rvr_b1,WR,MapRun,31:07.63,+15:32.66,,true,628935,76561198396018338,[U:1:435752610],
2018-04-20,14:53.34,bog boy,jump_rvr_b1,WR,IRC,,-00:41.61,,false,628994,,,
2018-05-25,14:53.34,879m | bg5.tf,jump_rvr_b1,WR,Ranked,,,,true,659246,,,
2018-12-09,05:35.23,newjuls,jump_rvr_b1,WR,Course 1,,-00:20.09,01:25.48,false,836972,76561198396018338,[U:1:435752610],
2018-12-09,07:36.56,Zike1017 ツ -tt,jump_rvr_b1,WR,Course 2,,,,false,836972,,,
2018-12-09,14:24.25,newjuls,jump_rvr_b1,WR,MapRecord,,-00:29.09,02:33.40,false,836972,76561198396018338,[U:1:435752610],
2018-12-09,14:53.34,879m,jump_rvr_b1,WR,Compact,,,,false,836972,,,
2019-01-18,00:04.57,kater :>,jump_rvr_b1,WR,Bonus 3,,-00:00.13,00:00.16,false,869818,76561198222006144,[U:1:261740416],
2019-01-18,00:05.32,kater :>,jump_rvr_b1,WR,Bonus 4,,-00:00.03,00:00.09,false,869818,76561198222006144,[U:1:261740416],
2019-04-04,00:04.37,Soup -tt,jump_rvr_b1,WR,Bonus 3,,-00:00.19,00:00.32,false,931472,76561198029285343,[U:1:69019615],
2019-04-04,00:05.25,Soup -tt,jump_rvr_b1,WR,Bonus 4,,-00:00.07,00:00.11,false,931472,76561198029285343,[U:1:69019615],
2019-04-09,00:05.12,Soup -tt,jump_rvr_b1,WR,Bonus 4,,-00:00.08,00:00.08,false,935471,76561198029285343,[U:1:69019615],
2019-07-25,14:24.26,newjuls,jump_rvr_b1,WR,MapRun,15:22.91,+00:58.65,,true,1018315,76561198396018338,[U:1:435752610],
2019-08-24,00:04.80,vice,jump_rvr_b1,WR,Bonus 7,,-00:00.01,00:00.01,false,1041713,76561198366368448,[U:1:406102720],
2019-08-24,00:04.81,vice,jump_rvr_b1,WR,Bonus 7,,-00:00.01,00:00.02,false,1041713,76561198366368448,[U:1:406102720],
2019-08-24,00:04.68,vice,jump_rvr_b1,WR,Bonus 7,,-00:00.11,00:00.11,false,1041881,76561198366368448,[U:1:406102720],
2019-08-24,05:35.23,newjuls,jump_rvr_b1,WR,Course 1,,,,false,1041881,,,
2019-08-24,07:25.96,newjuls,jump_rvr_b1,WR,Course 2,,,,false,1041881,,,
2019-09-24,00:05.11,ุ,jump_rvr_b1,WR,Bonus 4,,-00:00.01,00:00.05,false,1065585,76561198222006144,[U:1:261740416],
2019-09-24,14:24.25,newjuls,jump_rvr_b1,WR,Ranked,,,,true,1065585,,,
2019-09-24,14:24.26,bow e3,jump_rvr_b1,WR,MapRun,2:54:39.70,+2:40:15.44,,true,1065585,76561198299748784,[U:1:339483056],
2019-09-26,00:04.76,song,jump_rvr_b1,WR,Bonus 7,,-00:00.03,00:00.08,false,1066811,76561198210286877,[U:1:250021149],
2019-09-26,00:04.80,Alolan Raichu,jump_rvr_b1,WR,Bonus 7,,,,false,1066811,,,
2019-09-26,14:24.25,m onkey,jump_rvr_b1,WR,Ranked,,,,true,1066811,,,
2019-09-26,14:24.25,m onkey,jump_rvr_b1,WR,Ranked,,,,true,1066811,,,
2019-12-29,00:05.04,super song -cg,jump_rvr_b1,WR,Bonus 4,,-00:00.07,00:00.34,false,1135363,76561198210286877,[U:1:250021149],
2020-01-19,14:24.25,newjuls,jump_rvr_b1,WR,Compact,,,,false,1153016,,,
2020-01-23,14:24.25,newjuls,jump_rvr_b1,WR,Ranked,,,,true,1156105,,,
2020-01-23,14:24.26,omega,jump_rvr_b1,WR,MapRun,1:15:41.04,+1:01:16.78,,true,1156105,76561198370281030,[U:1:410015302],
2020-03-09,00:04.27,song,jump_rvr_b1,WR,Bonus 7,,-00:00.25,00:00.25,false,1192298,76561198210286877,[U:1:250021149],
2020-03-09,00:04.53,song,jump_rvr_b1,WR,Bonus 7,,-00:00.01,00:00.10,false,1192298,76561198210286877,[U:1:250021149],
2020-03-09,00:04.68,song,jump_rvr_b1,WR,Bonus 7,,-00:00.01,00:00.08,false,1192298,76561198210286877,[U:1:250021149],
2020-03-18,14:24.26,Daelin,jump_rvr_b1,WR,MapRun,1:17:35.41,+1:03:11.15,,true,1200037,76561198083131259,[U:1:122865531],
2020-03-18,14:24.26,tsurupeta youjo,jump_rvr_b1,WR,MapRun,33:57.19,+19:32.93,20:29.11,true,1200037,76561198024042625,[U:1:63776897],
2020-04-12,13:54.97,879m,jump_rvr_b1,WR,MapRecord,,-00:29.28,00:58.37,false,1222839,76561198043793220,[U:1:83527492],
2020-04-20,05:33.70,879m,jump_rvr_b1,WR,Course 1,,-00:01.53,00:14.37,false,1229415,76561198043793220,[U:1:83527492],
