date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2021-05-11,05:04.40,unknown,jump_sampi_rc5,WR,Map,observed,wr_split,,,,,,,
2021-05-11,04:54.07,droptop,jump_sampi_rc5,WR,Map,record,map_record,,-00:10.32,00:47.01,1586298,76561198066947056,[U:1:106681328],
2021-05-13,04:52.90,nevos,jump_sampi_rc5,WR,Map,record,map_record,,-00:01.17,00:11.49,1587871,76561198133103832,[U:1:172838104],
2021-06-10,04:37.95,DillerMcFiller,jump_sampi_rc5,WR,Map,announcement,irc,,-00:14.95,,,76561198040963460,[U:1:80697732],
2023-02-26,04:24.54,bunny.,jump_sampi_rc5,WR,Map,record,map_record,,-00:13.41,00:16.42,2225444,76561198201985399,[U:1:241719671],
2025-05-16,04:14.78,do you still bel,jump_sampi_rc5,WR,Map,announcement,irc,,-00:09.76,,,,,
2025-05-16,04:12.74,do you still bel,jump_sampi_rc5,WR,Map,announcement,irc,,-00:02.04,,,,,
2025-05-16,04:07.62,do you still bel,jump_sampi_rc5,WR,Map,announcement,irc,,-00:05.12,,,,,
2025-05-17,04:05.68,do you still bel,jump_sampi_rc5,WR,Map,announcement,irc,,-00:01.94,,,,,
2025-05-18,04:05.32,vice,jump_sampi_rc5,WR,Map,record,map_record,,-00:00.36,00:17.44,3323433,76561198366368448,[U:1:406102720],
2025-05-18,04:01.89,do you still bel,jump_sampi_rc5,WR,Map,announcement,irc,,-00:03.44,,,,,
2025-05-18,04:00.68,do you still bel,jump_sampi_rc5,WR,Map,announcement,irc,,-00:01.22,,,,,
2025-05-18,03:57.16,do you still bel,jump_sampi_rc5,WR,Map,announcement,irc,,-00:03.51,,,,,
