date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2020-12-12,02:13.90,Conny,jump_sauciix_v4,WR,IRCSet,,,,false,1444952,,,
2020-12-12,01:54.67,frothy daddy,jump_sauciix_v4,WR,MapRun,11:44.29,+09:49.62,,true,1445124,76561198027444409,[U:1:67178681],
2020-12-12,01:54.67,i cant believe i,jump_sauciix_v4,WR,MapRun,04:59.59,+03:04.92,,true,1445124,,,
2020-12-12,01:54.68,shrug ツ,jump_sauciix_v4,WR,MapRun,03:10.02,+01:15.34,,true,1445124,76561198079365986,[U:1:119100258],
2020-12-12,02:13.90,Conny,jump_sauciix_v4,WR,IRCSet,,,,false,1445124,,,
2020-12-12,02:13.91,sleepy,jump_sauciix_v4,WR,MapRun,02:18.93,+00:05.02,,true,1445124,76561198083816511,[U:1:123550783],
2020-12-12,02:13.90,Conny,jump_sauciix_v4,WR,IRCSet,,,,false,1445127,,,
2020-12-12,02:13.90,Conny,jump_sauciix_v4,WR,FirstRecord,,,,false,1445128,76561198844013652,[U:1:883747924],
2020-12-12,02:13.90,Conny,jump_sauciix_v4,WR,IRCSet,,,,false,1445130,,,
2020-12-12,02:13.90,Conny,jump_sauciix_v4,WR,IRCSet,,,,false,1445131,76561198844013652,[U:1:883747924],
2020-12-12,02:13.90,Conny,jump_sauciix_v4,WR,IRCSet,,,,false,1445132,,,
2020-12-13,01:13.33,vice,jump_sauciix_v4,WR,IRC,,-00:04.05,,false,1445143,,,
2020-12-13,01:20.08,Twink 182,jump_sauciix_v4,WR,IRC,,-00:05.20,,false,1445143,,,
2020-12-13,01:25.29,J,jump_sauciix_v4,WR,IRC,,-00:03.27,,false,1445143,76561198095639158,[U:1:135373430],
2020-12-13,01:28.56,J,jump_sauciix_v4,WR,IRC,,-00:01.77,,false,1445143,76561198095639158,[U:1:135373430],
2020-12-13,01:30.33,J,jump_sauciix_v4,WR,IRC,,-00:01.71,,false,1445143,76561198095639158,[U:1:135373430],
2020-12-13,01:30.33,J,jump_sauciix_v4,WR,IRC,,-00:01.71,,false,1445155,,,
2020-12-13,01:25.29,J,jump_sauciix_v4,WR,IRC,,-00:03.27,,false,1445171,,,
2020-12-13,01:28.56,J,jump_sauciix_v4,WR,IRC,,-00:01.77,,false,1445171,,,
2020-12-13,01:30.33,J,jump_sauciix_v4,WR,IRC,,-00:01.71,,false,1445171,,,
2020-12-13,00:26.89,mois,jump_sauciix_v4,WR,Bonus 1,,-00:01.35,,false,1445195,76561198081447195,[U:1:121181467],
2020-12-13,00:28.24,Kratos,jump_sauciix_v4,WR,Bonus 1,,-00:04.99,,false,1445195,76561198930334128,[U:1:970068400],
2020-12-13,01:11.01,cander,jump_sauciix_v4,WR,IRC,,-00:00.76,,false,1445195,,,
2020-12-13,01:11.01,MEGAWOP,jump_sauciix_v4,WR,MapRun,01:46.09,+00:35.08,,true,1445195,76561198045778439,[U:1:85512711],
2020-12-13,01:11.01,ggpa,jump_sauciix_v4,WR,MapRun,02:12.54,+01:01.53,,true,1445195,76561198058846478,[U:1:98580750],
2020-12-13,01:11.01,hekinhekhek,jump_sauciix_v4,WR,MapRun,02:44.98,+01:33.97,,true,1445195,76561198135271947,[U:1:175006219],
2020-12-13,01:11.77,cander,jump_sauciix_v4,WR,IRC,,-00:01.33,,false,1445195,,,
2020-12-13,01:13.11,cander,jump_sauciix_v4,WR,Compact,,,,false,1445195,,,
2020-12-13,01:13.11,cander,jump_sauciix_v4,WR,IRC,,-00:00.22,,false,1445195,,,
2020-12-13,01:13.11,xblade,jump_sauciix_v4,WR,MapRun,08:52.72,+07:39.61,,true,1445195,76561198023325655,[U:1:63059927],
2020-12-13,01:13.33,vice,jump_sauciix_v4,WR,IRC,,-00:04.05,,false,1445195,,,
2020-12-13,01:13.33,3gud5mi,jump_sauciix_v4,WR,MapRun,03:24.97,+02:11.64,,true,1445195,76561198273087357,[U:1:312821629],
2020-12-13,01:13.33,DaBoyDame,jump_sauciix_v4,WR,MapRun,03:09.94,+01:56.61,,true,1445195,76561198875174541,[U:1:914908813],
2020-12-13,01:13.33,Dougie Boi,jump_sauciix_v4,WR,MapRun,04:36.10,+03:22.77,,true,1445195,76561198963857433,[U:1:1003591705],
2020-12-13,01:13.33,Matty,jump_sauciix_v4,WR,MapRun,02:31.60,+01:18.27,,true,1445195,76561198035204545,[U:1:74938817],
2020-12-13,01:13.33,Pureblue,jump_sauciix_v4,WR,MapRun,09:07.78,+07:54.45,,true,1445195,76561198045648351,[U:1:85382623],
2020-12-13,01:13.33,idke,jump_sauciix_v4,WR,MapRun,04:11.14,+02:57.81,,true,1445195,76561198095524721,[U:1:135258993],
2020-12-13,01:13.33,ozfortress skaz,jump_sauciix_v4,WR,MapRun,06:20.11,+05:06.78,,true,1445195,76561198061316177,[U:1:101050449],
2020-12-13,01:13.33,pastorale,jump_sauciix_v4,WR,MapRun,02:39.52,+01:26.19,,true,1445195,76561198025210343,[U:1:64944615],
2020-12-13,01:13.34,:D,jump_sauciix_v4,WR,MapRun,03:39.66,+02:26.32,,true,1445195,76561198063456488,[U:1:103190760],
2020-12-13,01:13.34,CrownTiger,jump_sauciix_v4,WR,MapRun,02:48.21,+01:34.87,,true,1445195,76561198037151024,[U:1:76885296],
2020-12-13,01:13.34,Kingstripes,jump_sauciix_v4,WR,MapRun,02:18.87,+01:05.53,,true,1445195,76561198010999831,[U:1:50734103],
2020-12-13,01:13.34,ʕ•ᴥ•ʔ,jump_sauciix_v4,WR,MapRun,02:39.18,+01:25.84,,true,1445195,76561199030081320,[U:1:1069815592],
2020-12-13,01:17.38,doc,jump_sauciix_v4,WR,MapRun,04:38.32,+03:20.94,,true,1445195,76561198055313748,[U:1:95048020],
2020-12-13,01:17.38,fedorable,jump_sauciix_v4,WR,MapRun,01:37.69,+00:20.31,00:07.53,true,1445195,76561198045462965,[U:1:85197237],
2020-12-13,01:17.38,fedorable,jump_sauciix_v4,WR,MapRun,01:45.22,+00:27.84,,true,1445195,76561198045462965,[U:1:85197237],
2020-12-13,01:20.08,Twink 182,jump_sauciix_v4,WR,MapRecord,,-00:05.20,00:05.22,false,1445195,76561198090088613,[U:1:129822885],
2020-12-13,01:20.08,alt,jump_sauciix_v4,WR,MapRun,02:39.34,+01:19.26,,true,1445195,76561198073437085,[U:1:113171357],
2020-12-13,01:20.09,nah fuck u,jump_sauciix_v4,WR,MapRun,01:50.07,+00:29.98,,true,1445195,76561198123256243,[U:1:162990515],
2020-12-13,01:25.29,J,jump_sauciix_v4,WR,Compact,,,,false,1445195,,,
2020-12-13,01:25.29,J,jump_sauciix_v4,WR,IRC,,-00:03.27,,false,1445195,,,
2020-12-13,01:25.29,J,jump_sauciix_v4,WR,Ranked,,,,true,1445195,,,
2020-12-13,01:25.29,Luke.,jump_sauciix_v4,WR,MapRun,01:33.79,+00:08.50,,true,1445195,76561198098414676,[U:1:138148948],
2020-12-13,01:25.29,Twink 182,jump_sauciix_v4,WR,MapRun,01:26.76,+00:01.47,,true,1445195,76561198090088613,[U:1:129822885],
2020-12-13,01:25.29,Twink 182,jump_sauciix_v4,WR,MapRun,01:57.88,+00:32.59,,true,1445195,76561198090088613,[U:1:129822885],
2020-12-13,01:25.29,ixam,jump_sauciix_v4,WR,MapRun,02:31.62,+01:06.33,,true,1445195,76561198082109328,[U:1:121843600],
2020-12-13,01:25.29,ᗪㄩ乇ㄥ 爪,jump_sauciix_v4,WR,MapRun,09:31.65,+08:06.36,,true,1445195,,,
2020-12-13,01:28.56,J,jump_sauciix_v4,WR,IRC,,-00:01.77,,false,1445195,,,
2020-12-13,01:30.33,J,jump_sauciix_v4,WR,IRC,,-00:01.71,,false,1445195,,,
2020-12-13,01:32.04,Elandi!! cheese,jump_sauciix_v4,WR,MapRun,02:00.78,+00:28.74,,true,1445195,,,
2020-12-13,01:32.04,Redrum,jump_sauciix_v4,WR,MapRun,01:46.93,+00:14.89,00:10.77,true,1445195,76561198260814764,[U:1:300549036],
2020-12-13,01:32.04,mois,jump_sauciix_v4,WR,MapRun,02:18.33,+00:46.29,,true,1445195,76561198081447195,[U:1:121181467],
2020-12-13,01:32.04,sol,jump_sauciix_v4,WR,MapRun,02:34.56,+01:02.52,,true,1445195,76561198063048001,[U:1:102782273],
2020-12-13,01:32.74,Diabolical,jump_sauciix_v4,WR,MapRun,03:12.13,+01:39.39,,true,1445195,76561198053794949,[U:1:93529221],
2020-12-13,01:32.74,Redrum,jump_sauciix_v4,WR,MapRun,01:57.70,+00:24.96,,true,1445195,76561198260814764,[U:1:300549036],
