date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2014-08-20,01:16.52,guyyst,jump_sexydev_v3,WR,MapRecord,,-00:04.18,00:04.18,false,16856,76561198041343262,STEAM_0:0:40538767,
2014-08-20,01:20.71,guyyst,jump_sexydev_v3,WR,MapRecord,,-00:01.49,03:21.75,false,16856,76561198041343262,STEAM_0:0:40538767,
2015-04-04,01:16.52,oldman,jump_sexydev_v3,WR,MapRun,02:34.91,+01:18.39,,true,79236,76561198102762678,[U:1:142496950],
2015-04-04,01:16.53,boogey,jump_sexydev_v3,WR,MapRun,03:13.48,+01:56.95,,true,79236,76561197971329416,[U:1:11063688],
2015-04-04,01:16.53,cL,jump_sexydev_v3,WR,MapRun,12:45.13,+11:28.60,,true,79236,76561197978861629,[U:1:18595901],
2015-04-25,01:15.72,XORA,jump_sexydev_v3,WR,MapRecord,,-00:00.80,00:02.47,false,86465,76561198053067670,[U:1:92801942],
2015-08-22,01:15.36,guyyst | tipofth,jump_sexydev_v3,WR,IRC,,-00:00.35,,false,131608,,,
2015-08-22,01:15.36,guyyst | tipofth,jump_sexydev_v3,WR,MapRecord,,-00:00.35,00:01.15,false,131614,,,
2015-08-22,01:15.72,Aurora,jump_sexydev_v3,WR,Compact,,,,false,131614,,,
2015-08-22,01:15.72,LessThanThree |,jump_sexydev_v3,WR,MapRun,01:26.09,+00:10.37,00:17.43,true,131614,,,
2015-08-22,01:15.72,LessThanThree |,jump_sexydev_v3,WR,MapRun,01:27.76,+00:12.04,,true,131614,,,
2015-08-22,01:15.72,LessThanThree |,jump_sexydev_v3,WR,MapRun,01:31.04,+00:15.32,,true,131614,,,
2015-08-22,01:15.72,LessThanThree |,jump_sexydev_v3,WR,MapRun,01:33.55,+00:17.83,,true,131614,,,
2015-08-22,01:15.72,LessThanThree |,jump_sexydev_v3,WR,MapRun,01:43.66,+00:27.94,,true,131614,,,
2015-08-22,01:15.72,LessThanThree |,jump_sexydev_v3,WR,MapRun,01:59.44,+00:43.72,,true,131614,,,
2015-08-22,01:15.72,LessThanThree |,jump_sexydev_v3,WR,MapRun,03:32.76,+02:17.04,,true,131614,,,
2015-08-22,01:15.72,Zaxx,jump_sexydev_v3,WR,MapRun,15:34.51,+14:18.79,,true,131614,76561197974385221,[U:1:14119493],
2015-08-22,01:15.72,drif,jump_sexydev_v3,WR,MapRun,12:39.43,+11:23.71,,true,131614,76561198077555267,[U:1:117289539],
2015-08-22,01:15.72,fuckin pjers,jump_sexydev_v3,WR,MapRun,13:08.70,+11:52.98,,true,131614,76561198094652091,[U:1:134386363],
2015-08-22,01:15.72,guyyst | tipofth,jump_sexydev_v3,WR,MapRun,01:29.36,+00:13.64,,true,131614,,,
2015-08-22,01:15.72,guyyst | tipofth,jump_sexydev_v3,WR,MapRun,01:40.88,+00:25.16,,true,131614,,,
2015-08-22,01:15.72,panpan,jump_sexydev_v3,WR,MapRun,16:03.94,+14:48.22,,true,131614,76561198000369215,[U:1:40103487],
2015-08-22,01:15.72,plerfs,jump_sexydev_v3,WR,MapRun,09:20.80,+08:05.08,,true,131614,76561198044062359,[U:1:83796631],
2015-08-22,01:15.72,porkie,jump_sexydev_v3,WR,MapRun,03:38.60,+02:22.88,,true,131614,76561198054239403,[U:1:93973675],
2015-08-22,01:15.72,|M.R.S| TiLoM,jump_sexydev_v3,WR,MapRun,12:24.59,+11:08.87,,true,131614,76561198160964111,[U:1:200698383],
2018-12-22,01:10.45,kidder,jump_sexydev_v3,WR,Compact,,,,false,847344,,,
2018-12-22,01:10.45,Jorge,jump_sexydev_v3,WR,MapRun,04:05.51,+02:55.06,05:40.26,true,847344,76561198101198779,[U:1:140933051],
2018-12-22,01:10.45,zigzati,jump_sexydev_v3,WR,MapRun,01:19.42,+00:08.97,00:15.56,true,847344,76561198094483399,[U:1:134217671],
2018-12-22,01:10.45,zigzati,jump_sexydev_v3,WR,MapRun,01:34.99,+00:24.54,00:27.59,true,847344,76561198094483399,[U:1:134217671],
2018-12-22,01:10.45,zigzati,jump_sexydev_v3,WR,MapRun,03:31.51,+02:21.06,,true,847344,76561198094483399,[U:1:134217671],
2018-12-22,01:10.46,Jorge,jump_sexydev_v3,WR,MapRun,09:45.78,+08:35.32,,true,847344,76561198101198779,[U:1:140933051],
2018-12-22,01:10.46,zigzati,jump_sexydev_v3,WR,MapRun,01:49.83,+00:39.37,,true,847344,76561198094483399,[U:1:134217671],
2018-12-22,01:10.46,zigzati,jump_sexydev_v3,WR,MapRun,02:02.59,+00:52.13,,true,847344,76561198094483399,[U:1:134217671],
2018-12-22,01:10.46,zigzati,jump_sexydev_v3,WR,MapRun,03:01.86,+01:51.40,,true,847344,76561198094483399,[U:1:134217671],
2019-08-19,01:10.46,go to hell.,jump_sexydev_v3,WR,MapRun,01:57.39,+00:46.93,,true,1038286,76561198073843879,[U:1:113578151],
2020-05-31,01:10.45,7^ุ,jump_sexydev_v3,WR,MapRun,07:44.06,+06:33.61,,true,1263579,76561198318722879,[U:1:358457151],
