date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2019-09-24,03:06.99,vice,jump_sfw_final_zip,WR,Map,observed,wr_split,,,,,,,
2019-09-24,00:01.04,vice,jump_sfw_final_zip,WR,Bonus 2,record,zone_record,,-00:00.01,00:00.01,1065465,76561198366368448,[U:1:406102720],
2019-09-24,03:06.98,vice,jump_sfw_final_zip,WR,Map,command,wr_command,,,,,76561198366368448,[U:1:406102720],
2020-02-11,00:01.03,cander -cg ุ,jump_sfw_final_zip,WR,Bonus 2,record,zone_record,,-00:00.01,00:00.06,1170776,,,
2020-02-11,00:01.01,cander -cg ุ,jump_sfw_final_zip,WR,Bonus 2,record,zone_record,,-00:00.01,00:00.01,1170776,,,
2020-02-11,00:00.98,cander -cg ุ,jump_sfw_final_zip,WR,Bonus 2,record,zone_record,,-00:00.03,00:00.03,1170776,,,
2020-10-03,00:42.26,cander,jump_sfw_final_zip,WR,Course 1,record,zone_record,,-00:00.85,00:01.71,1376753,76561198318722879,[U:1:358457151],
2020-10-03,00:25.58,cander,jump_sfw_final_zip,WR,Course 2,record,zone_record,,-00:00.85,00:01.41,1376753,76561198318722879,[U:1:358457151],
2020-10-03,00:41.90,vice,jump_sfw_final_zip,WR,Course 1,record,zone_record,,-00:00.36,00:01.21,1376753,76561198366368448,[U:1:406102720],
2020-10-04,00:41.77,cander,jump_sfw_final_zip,WR,Course 1,record,zone_record,,-00:00.13,00:00.49,1377666,76561198318722879,[U:1:358457151],
2020-10-04,00:41.54,cander,jump_sfw_final_zip,WR,Course 1,record,zone_record,,-00:00.22,00:00.22,1377666,76561198318722879,[U:1:358457151],
2020-10-04,00:25.28,cander,jump_sfw_final_zip,WR,Course 2,record,zone_record,,-00:00.30,00:00.30,1377666,76561198318722879,[U:1:358457151],
2021-05-21,00:25.24,enola,jump_sfw_final_zip,WR,Course 2,record,zone_record,,-00:00.04,00:00.24,1593833,76561198366368448,[U:1:406102720],
2023-02-17,01:29.49,salsaa,jump_sfw_final_zip,WR,Course 3,record,zone_record,,-00:01.71,00:07.02,2217240,76561198149627108,[U:1:189361380],
2023-02-17,00:00.87,Kratos,jump_sfw_final_zip,WR,Bonus 1,record,zone_record,,-00:00.01,00:00.01,2217240,76561198930334128,[U:1:970068400],
