date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2020-03-17,03:25.93,MONOPOLY WINNER,jump_sfw_final_zip,WR,Map,command,wr_command,,,,,,,
2020-10-03,00:47.97,doo.doo.busta.fa,jump_sfw_final_zip,WR,Course 1,command,wr_command,,,,,,,
2020-10-04,00:47.72,budget kidder,jump_sfw_final_zip,WR,Course 1,record,zone_record,,-00:00.24,00:00.53,1377666,76561198126091800,[U:1:165826072],
2021-03-06,00:25.86,Boshy,jump_sfw_final_zip,WR,Course 2,command,wr_command,,,,,,,
2021-03-06,00:25.48,mr gato,jump_sfw_final_zip,WR,Course 2,record,zone_record,,-00:00.37,00:00.93,1527777,76561198126091800,[U:1:165826072],
2021-05-30,00:01.29,DenDro,jump_sfw_final_zip,WR,Bonus 1,record,zone_record,,-00:00.02,00:00.03,1601442,76561198126091800,[U:1:165826072],
2023-01-19,00:05.29,harbelspine,jump_sfw_final_zip,WR,Bonus 2,record,zone_record,,-00:00.43,00:00.43,2186229,76561198103997611,[U:1:143731883],
2023-02-17,00:01.27,feliser,jump_sfw_final_zip,WR,Bonus 1,record,zone_record,,-00:00.01,00:00.01,2217240,76561198084336096,[U:1:124070368],
2023-02-18,00:01.26,Cygnus -rng,jump_sfw_final_zip,WR,Bonus 1,record,zone_record,,-00:00.01,00:00.03,2217821,76561198178042934,[U:1:217777206],
2023-03-20,00:25.11,Waldo,jump_sfw_final_zip,WR,Course 2,record,zone_record,,-00:00.28,00:00.28,2246025,76561198020256631,[U:1:59990903],
2023-06-04,03:22.18,tripbwai,jump_sfw_final_zip,WR,Map,record,map_record,,-00:03.75,00:30.36,2347975,76561198109904512,[U:1:149638784],
2023-06-04,00:47.53,tripbwai,jump_sfw_final_zip,WR,Course 1,record,zone_record,,-00:00.19,00:00.21,2347975,76561198109904512,[U:1:149638784],
2023-06-04,00:47.22,tripbwai,jump_sfw_final_zip,WR,Course 1,record,zone_record,,-00:00.31,00:00.31,2347975,76561198109904512,[U:1:149638784],
2023-06-04,03:08.61,tripbwai,jump_sfw_final_zip,WR,Map,record,map_record,,-00:13.57,00:13.57,2347975,76561198109904512,[U:1:149638784],
2023-06-04,01:32.41,tripbwai,jump_sfw_final_zip,WR,Course 3,record,zone_record,,-00:02.52,00:03.97,2347975,76561198109904512,[U:1:149638784],
2023-06-04,00:25.02,tripbwai,jump_sfw_final_zip,WR,Course 2,record,zone_record,,-00:00.09,00:00.27,2347975,76561198109904512,[U:1:149638784],
2023-06-05,00:24.81,Salty,jump_sfw_final_zip,WR,Course 2,record,zone_record,,-00:00.21,00:00.28,2350281,76561198070497462,[U:1:110231734],
2023-09-10,00:24.30,tripbwai,jump_sfw_final_zip,WR,Course 2,record,zone_record,,-00:00.51,00:00.72,2495234,76561198109904512,[U:1:149638784],
2023-10-01,00:46.96,DenDro,jump_sfw_final_zip,WR,Course 1,record,zone_record,,-00:00.25,00:00.76,2526079,76561198126091800,[U:1:165826072],
2023-10-01,00:23.91,DenDro,jump_sfw_final_zip,WR,Course 2,record,zone_record,,-00:00.39,00:01.57,2526079,76561198126091800,[U:1:165826072],
2024-10-17,00:04.42,asp,jump_sfw_final_zip,WR,Bonus 2,record,zone_record,,-00:01.26,00:01.26,3087822,76561198972493160,[U:1:1012227432],
2024-10-17,00:04.30,asp,jump_sfw_final_zip,WR,Bonus 2,record,zone_record,,-00:00.12,00:00.12,3087822,76561198972493160,[U:1:1012227432],
2024-10-17,00:03.67,asp,jump_sfw_final_zip,WR,Bonus 2,record,zone_record,,-00:00.63,00:00.63,3087822,76561198972493160,[U:1:1012227432],
2024-10-17,00:03.28,asp,jump_sfw_final_zip,WR,Bonus 2,record,zone_record,,-00:00.39,00:00.39,3087822,76561198972493160,[U:1:1012227432],
2024-10-17,00:03.15,asp,jump_sfw_final_zip,WR,Bonus 2,record,zone_record,,-00:00.13,00:00.13,3088342,76561198972493160,[U:1:1012227432],
