date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2023-01-09,00:40.63,Exile,jump_shapes_rc2,WR,IRCSet,,,,false,2174691,,,
2023-01-09,00:40.63,Exile,jump_shapes_rc2,WR,FirstRecord,,,,false,2174699,76561198046776282,[U:1:86510554],
2023-01-09,00:40.63,Exile,jump_shapes_rc2,WR,Course 1 First,,,,false,2174699,76561198046776282,[U:1:86510554],
2023-01-10,00:09.73,Exile,jump_shapes_rc2,WR,Course 1 First,,,,false,2175563,76561198046776282,[U:1:86510554],
2023-01-10,02:17.34,Waldo,jump_shapes_rc2,WR,IRC,,-00:55.38,,false,2175587,76561198020256631,[U:1:59990903],
2023-01-10,03:12.72,crayola consumer,jump_shapes_rc2,WR,IRC,,-00:55.17,,false,2175587,,,
2023-01-10,04:07.89,crayola consumer,jump_shapes_rc2,WR,IRCSet,,,,false,2175587,,,
2023-01-10,02:17.34,Waldo,jump_shapes_rc2,WR,IRC,,-00:55.38,,false,2175607,,,
2023-01-10,02:48.97,MEGAWOP,jump_shapes_rc2,WR,Bonus 1 First,,,,false,2175607,76561198045778439,[U:1:85512711],
2023-01-10,03:12.72,crayola consumer,jump_shapes_rc2,WR,IRC,,-00:55.17,,false,2175607,76561198149627108,[U:1:189361380],
2023-01-10,04:07.89,crayola consumer,jump_shapes_rc2,WR,IRCSet,,,,false,2175607,76561198149627108,[U:1:189361380],
2023-01-10,00:53.92,crayola consumer,jump_shapes_rc2,WR,Course 1,,-00:01.32,00:01.32,false,2175609,76561198149627108,[U:1:189361380],
2023-01-10,00:55.24,crayola consumer,jump_shapes_rc2,WR,Course 1,,-00:02.85,00:02.85,false,2175609,76561198149627108,[U:1:189361380],
2023-01-10,00:58.09,crayola consumer,jump_shapes_rc2,WR,Course 1,,-00:03.70,00:03.70,false,2175609,76561198149627108,[U:1:189361380],
2023-01-10,01:01.80,crayola consumer,jump_shapes_rc2,WR,Course 1,,-00:10.29,00:10.29,false,2175609,76561198149627108,[U:1:189361380],
2023-01-10,01:12.09,crayola consumer,jump_shapes_rc2,WR,Course 1,,-00:11.31,00:11.31,false,2175609,76561198149627108,[U:1:189361380],
