date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2023-01-09,04:58.92,Exile,jump_shapes_rc2,WR,Bonus 1,record,zone_first,,,,2174628,76561198046776282,[U:1:86510554],
2023-01-10,04:11.32,Salty,jump_shapes_rc2,WR,Map,record,first_record,,,,2175607,76561198070497462,[U:1:110231734],
2023-01-10,01:37.08,Salty,jump_shapes_rc2,WR,Course 1,record,zone_first,,,,2175607,76561198070497462,[U:1:110231734],
2023-01-10,02:08.16,Salty,jump_shapes_rc2,WR,Course 2,record,zone_first,,,,2175607,76561198070497462,[U:1:110231734],
2023-01-10,02:34.35,unknown,jump_shapes_rc2,WR,Map,observed,wr_split,,,,,,,
2023-01-10,02:29.17,unknown,jump_shapes_rc2,WR,Map,observed,wr_split,,,,,,,
2023-01-10,01:46.36,"so there i was,",jump_shapes_rc2,WR,Bonus 1,command,wr_command,,,,,,,
2023-01-10,02:26.75,unknown,jump_shapes_rc2,WR,Map,observed,wr_split,,,,,,,
2023-01-10,02:19.86,unknown,jump_shapes_rc2,WR,Map,observed,wr_split,,,,,,,
2023-01-10,02:16.05,unknown,jump_shapes_rc2,WR,Map,observed,wr_split,,,,,,,
2023-01-10,02:07.26,Salty,jump_shapes_rc2,WR,Map,command,wr_command,,,,,76561198070497462,[U:1:110231734],
2023-01-10,02:04.81,unknown,jump_shapes_rc2,WR,Map,observed,wr_split,,,,,,,
2023-01-10,02:07.48,deluxeuser,jump_shapes_rc2,WR,Course 2,record,zone_record,,-00:00.67,,2175609,76561198417147943,[U:1:456882215],
2023-01-10,01:04.23,bunny.,jump_shapes_rc2,WR,Course 2,record,zone_record,,-00:04.71,00:06.40,2176336,76561198201985399,[U:1:241719671],
2023-01-10,02:03.97,bunny.,jump_shapes_rc2,WR,Map,record,map_record,,-00:00.84,00:06.30,2176336,76561198201985399,[U:1:241719671],
2023-01-12,01:57.15,Salty,jump_shapes_rc2,WR,Map,record,map_record,,-00:06.18,00:07.66,2178771,76561198070497462,[U:1:110231734],
2023-01-13,00:48.39,tomato tom,jump_shapes_rc2,WR,Course 1,record,zone_record,,-00:00.10,00:00.22,2179190,76561198120374593,[U:1:160108865],
2023-01-13,00:48.28,tomato tom,jump_shapes_rc2,WR,Course 1,record,zone_record,,-00:00.10,00:00.10,2179190,76561198120374593,[U:1:160108865],
2023-01-13,00:48.19,tomato tom,jump_shapes_rc2,WR,Course 1,record,zone_record,,-00:00.09,00:00.09,2179190,76561198120374593,[U:1:160108865],
2023-01-14,00:47.94,tomato tom,jump_shapes_rc2,WR,Course 1,record,zone_record,,-00:00.25,00:00.25,2180371,76561198120374593,[U:1:160108865],
2023-01-14,01:03.21,bunny.,jump_shapes_rc2,WR,Course 2,record,zone_record,,-00:01.02,00:01.02,2180614,76561198201985399,[U:1:241719671],
2023-01-14,01:01.24,bunny.,jump_shapes_rc2,WR,Course 2,record,zone_record,,-00:01.96,00:01.96,2180614,76561198201985399,[U:1:241719671],
2023-01-14,01:55.12,bunny.,jump_shapes_rc2,WR,Map,record,map_record,,-00:02.02,00:07.00,2180614,76561198201985399,[U:1:241719671],
2023-01-15,00:47.38,rev!4,jump_shapes_rc2,WR,Course 1,record,zone_record,,-00:00.55,00:01.69,2181841,76561198101061668,[U:1:140795940],
2023-01-18,01:54.60,rev!4,jump_shapes_rc2,WR,Map,announcement,irc,,-00:00.52,,,76561198101061668,[U:1:140795940],
2023-01-18,00:46.96,rev!4,jump_shapes_rc2,WR,Course 1,record,zone_record,,-00:00.42,00:00.42,2185539,76561198101061668,[U:1:140795940],
2023-01-22,01:00.94,rev!4,jump_shapes_rc2,WR,Course 2,record,zone_record,,-00:00.30,00:02.73,2189751,76561198101061668,[U:1:140795940],
2023-01-22,01:00.64,bunny.,jump_shapes_rc2,WR,Course 2,record,zone_record,,-00:00.30,00:00.60,2189799,76561198201985399,[U:1:241719671],
2023-01-23,00:59.43,rev!4,jump_shapes_rc2,WR,Course 2,record,zone_record,,-00:01.21,00:01.51,2190698,76561198101061668,[U:1:140795940],
2023-01-23,01:38.86,rev!4,jump_shapes_rc2,WR,Bonus 1,record,zone_record,,-00:00.04,00:00.84,2190944,76561198101061668,[U:1:140795940],
2023-01-23,01:52.44,rev!4,jump_shapes_rc2,WR,Map,record,map_record,,-00:02.16,00:02.16,2190944,76561198101061668,[U:1:140795940],
2023-01-24,01:38.59,Salty,jump_shapes_rc2,WR,Bonus 1,record,zone_record,,-00:00.27,00:00.31,2191691,76561198070497462,[U:1:110231734],
2023-01-24,01:38.47,Salty,jump_shapes_rc2,WR,Bonus 1,record,zone_record,,-00:00.12,00:00.12,2191691,76561198070497462,[U:1:110231734],
2023-01-24,01:37.23,Salty,jump_shapes_rc2,WR,Bonus 1,record,zone_record,,-00:01.24,00:01.24,2191691,76561198070497462,[U:1:110231734],
2023-01-24,01:37.14,rev!4,jump_shapes_rc2,WR,Bonus 1,record,zone_record,,-00:00.09,00:01.17,2192180,76561198101061668,[U:1:140795940],
2023-01-25,01:32.67,rev!4,jump_shapes_rc2,WR,Bonus 1,record,zone_record,,-00:01.78,00:04.47,2192926,76561198101061668,[U:1:140795940],
2023-09-13,00:59.11,Helmi. -CC,jump_shapes_rc2,WR,Course 2,record,zone_record,,-00:00.31,00:01.14,2499764,76561198201985399,[U:1:241719671],
2023-09-24,00:46.42,0,jump_shapes_rc2,WR,Course 1,record,zone_record,,-00:00.54,00:00.91,2516104,76561198041796560,[U:1:81530832],
2023-09-30,00:46.36,rev!⚜,jump_shapes_rc2,WR,Course 1,record,zone_record,,-00:00.06,00:00.60,2524065,76561198101061668,[U:1:140795940],
2023-10-02,00:56.68,0,jump_shapes_rc2,WR,Course 2,record,zone_record,,-00:02.43,00:02.56,2527856,76561198041796560,[U:1:81530832],
2025-08-26,01:51.26,unknown,jump_shapes_rc2,WR,Map,observed,wr_split,,,,,,,
2025-08-26,01:49.35,rev!4,jump_shapes_rc2,WR,Map,record,map_record,,-00:01.90,00:03.09,3467205,76561198101061668,[U:1:140795940],
2025-08-26,00:45.06,rev!4,jump_shapes_rc2,WR,Course 1,record,zone_record,,-00:00.64,00:00.86,3467205,76561198101061668,[U:1:140795940],
2025-08-26,00:56.07,rev!4,jump_shapes_rc2,WR,Course 2,record,zone_record,,-00:00.46,00:01.84,3467205,76561198101061668,[U:1:140795940],
2025-12-08,01:31.05,52-,jump_shapes_rc2,WR,Bonus 1,command,rank_command,,,,,,,
