date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2014-07-06,01:28.43,Seras,jump_sharp_b3,WR,Course 2,,-00:04.35,00:10.52,false,9650,76561198070882254,STEAM_0:0:55308263,
2014-07-06,02:21.01,Seras,jump_sharp_b3,WR,MapRecord,,-00:23.07,00:45.45,false,9650,76561198070882254,STEAM_0:0:55308263,
2014-07-10,02:16.21,cody,jump_sharp_b3,WR,IRC,,-00:04.79,,false,10233,,,
2014-07-10,00:03.87,cody,jump_sharp_b3,WR,Bonus 2,,-00:00.48,00:00.63,false,10235,76561198078488228,STEAM_0:0:59111250,
2014-07-10,00:13.82,cody,jump_sharp_b3,WR,Bonus 1,,-00:07.12,00:07.12,false,10235,76561198078488228,STEAM_0:0:59111250,
2014-07-10,00:20.95,cody,jump_sharp_b3,WR,Bonus 1,,-00:16.41,,false,10235,76561198078488228,STEAM_0:0:59111250,
2014-07-10,00:26.86,cody,jump_sharp_b3,WR,Course 1,,-00:00.58,00:00.58,false,10235,76561198078488228,STEAM_0:0:59111250,
2014-07-10,00:27.45,cody,jump_sharp_b3,WR,Course 1,,-00:00.84,00:00.84,false,10235,76561198078488228,STEAM_0:0:59111250,
2014-07-10,00:28.30,cody,jump_sharp_b3,WR,Course 1,,-00:01.23,00:01.23,false,10235,76561198078488228,STEAM_0:0:59111250,
2014-07-10,00:29.54,cody,jump_sharp_b3,WR,Course 1,,-00:01.04,00:01.04,false,10235,76561198078488228,STEAM_0:0:59111250,
2014-07-10,00:30.58,cody,jump_sharp_b3,WR,Course 1,,-00:01.60,00:16.09,false,10235,76561198078488228,STEAM_0:0:59111250,
2014-07-10,01:07.63,cody,jump_sharp_b3,WR,Course 2,,-00:12.65,00:12.65,false,10235,76561198078488228,STEAM_0:0:59111250,
2014-07-10,01:20.29,cody,jump_sharp_b3,WR,Course 2,,-00:08.14,00:23.74,false,10235,76561198078488228,STEAM_0:0:59111250,
2014-07-10,01:39.17,cody,jump_sharp_b3,WR,MapRecord,,-00:37.04,00:37.04,false,10235,76561198078488228,STEAM_0:0:59111250,
2014-07-10,02:16.21,cody,jump_sharp_b3,WR,MapRecord,,-00:04.79,00:17.41,false,10235,76561198078488228,STEAM_0:0:59111250,
2014-11-22,01:03.42,:3 bubo,jump_sharp_b3,WR,Course 2,,-00:03.01,00:03.01,false,32185,76561197993416444,[U:1:33150716],
2014-11-22,01:06.44,:3 bubo,jump_sharp_b3,WR,Course 2,,-00:01.19,00:16.85,false,32185,76561197993416444,[U:1:33150716],
2014-11-22,01:38.52,:3 bubo,jump_sharp_b3,WR,MapRecord,,-00:00.65,00:04.72,false,32185,76561197993416444,[U:1:33150716],
2014-12-16,01:01.73,ztn,jump_sharp_b3,WR,Course 2,,-00:01.68,00:06.35,false,37198,76561198045405184,[U:1:85139456],
2014-12-16,01:34.01,ztn,jump_sharp_b3,WR,MapRecord,,-00:04.50,00:07.12,false,37198,76561198045405184,[U:1:85139456],
2014-12-16,01:38.52,honey cracker @,jump_sharp_b3,WR,Compact,,,,false,37198,,,
2014-12-16,01:38.52,honey cracker @,jump_sharp_b3,WR,Compact,,,,false,37198,,,
2017-11-15,00:25.46,Lyle,jump_sharp_b3,WR,Course 1,,-00:00.21,00:00.49,false,503407,76561198035787281,[U:1:75521553],
2017-11-15,01:19.96,Lyle,jump_sharp_b3,WR,MapRun,01:45.89,+00:25.93,,true,503407,76561198035787281,[U:1:75521553],
2018-01-25,01:17.65,gonk,jump_sharp_b3,WR,IRC,,-00:02.30,,false,560590,,,
2018-01-25,00:25.14,gonk,jump_sharp_b3,WR,Course 1,,-00:00.11,00:00.11,false,560632,76561198396018338,[U:1:435752610],
2018-01-25,00:25.25,gonk,jump_sharp_b3,WR,Course 1,,-00:00.20,00:00.40,false,560632,76561198396018338,[U:1:435752610],
2018-01-25,00:44.45,gonk,jump_sharp_b3,WR,Course 2,,-00:00.61,00:01.60,false,560632,76561198396018338,[U:1:435752610],
2018-01-25,01:17.65,gonk,jump_sharp_b3,WR,MapRecord,,-00:02.30,00:02.92,false,560632,76561198396018338,[U:1:435752610],
2018-01-25,01:19.95,colon,jump_sharp_b3,WR,Compact,,,,false,560632,,,
2018-09-21,01:14.65,newjuls,jump_sharp_b3,WR,IRC,,-00:02.99,,false,767874,76561198396018338,[U:1:435752610],
2018-09-21,00:22.69,newjuls,jump_sharp_b3,WR,Course 1,,-00:00.18,00:00.18,false,767896,76561198396018338,[U:1:435752610],
2018-09-21,00:22.87,newjuls,jump_sharp_b3,WR,Course 1,,-00:00.10,00:00.10,false,767896,76561198396018338,[U:1:435752610],
2018-09-21,00:22.98,newjuls,jump_sharp_b3,WR,Course 1,,-00:00.38,00:00.38,false,767896,76561198396018338,[U:1:435752610],
2018-09-21,00:23.37,newjuls,jump_sharp_b3,WR,Course 1,,-00:00.10,00:00.10,false,767896,76561198396018338,[U:1:435752610],
2018-09-21,00:23.47,newjuls,jump_sharp_b3,WR,Course 1,,-00:00.25,00:00.25,false,767896,76561198396018338,[U:1:435752610],
2018-09-21,00:23.72,newjuls,jump_sharp_b3,WR,Course 1,,-00:00.40,00:00.40,false,767896,76561198396018338,[U:1:435752610],
2018-09-21,01:12.07,i_hate_scoot,jump_sharp_b3,WR,MapRecord,,-00:02.57,00:02.57,false,767896,76561198396018338,[U:1:435752610],
2018-09-21,01:14.65,newjuls,jump_sharp_b3,WR,MapRecord,,-00:02.99,00:02.99,false,767896,76561198396018338,[U:1:435752610],
2018-09-21,01:17.65,newjuls,jump_sharp_b3,WR,Compact,,,,false,767896,76561198396018338,[U:1:435752610],
2018-09-21,01:17.65,newjuls,jump_sharp_b3,WR,Compact,,,,false,767896,76561198396018338,[U:1:435752610],
2018-09-21,01:12.07,i_hate_scoot,jump_sharp_b3,WR,IRC,,-00:02.57,,false,767960,,,
2019-03-05,00:02.50,shakez,jump_sharp_b3,WR,Bonus 2,,-00:00.00,00:00.01,false,908025,76561198312076035,[U:1:351810307],
2019-04-18,01:10.30,twitch.tv/vicetf,jump_sharp_b3,WR,MapRecord,,-00:01.77,00:01.83,false,942615,,,
2019-06-01,01:10.05,newjuls,jump_sharp_b3,WR,IRC,,-00:00.25,,false,976443,,,
2019-06-02,01:10.05,newjuls,jump_sharp_b3,WR,IRC,,-00:00.25,,false,976497,,,
2019-06-02,01:10.05,newjuls,jump_sharp_b3,WR,MapRecord,,-00:00.25,00:01.99,false,976502,76561198396018338,[U:1:435752610],
2019-06-05,00:39.94,ITS BATHTIME BOY,jump_sharp_b3,WR,Course 2,,-00:01.95,00:02.29,false,978847,,,
2019-06-05,01:08.91,ITS BATHTIME BOY,jump_sharp_b3,WR,MapRecord,,-00:01.13,00:01.39,false,978847,,,
2019-06-21,00:22.69,newjuls,jump_sharp_b3,WR,Course 1,,,,false,991366,,,
2019-07-03,00:06.79,newjuls,jump_sharp_b3,WR,Bonus 1,,-00:00.02,00:00.43,false,1000941,76561198396018338,[U:1:435752610],
2019-07-03,00:06.82,foxeline,jump_sharp_b3,WR,Bonus 1,,,,false,1000941,,,
2019-07-03,00:22.69,newjuls,jump_sharp_b3,WR,Course 1,,,,false,1000941,76561198396018338,[U:1:435752610],
2019-07-03,00:22.69,newjuls,jump_sharp_b3,WR,Course 1,,,,false,1000941,76561198396018338,[U:1:435752610],
2019-07-03,00:22.69,newjuls,jump_sharp_b3,WR,Course 1,,,,false,1000941,76561198396018338,[U:1:435752610],
