date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2021-09-02,00:00.19,nia,jump_sheer_v4,WR,IRCSet,,,,false,1692325,,,
2021-09-02,00:00.19,nia,jump_sheer_v4,WR,IRCSet,,,,false,1692367,,,
2021-09-03,07:42.16,grow up dude,jump_sheer_v4,WR,IRCSet,,,,false,1692527,,,
2021-09-03,07:42.16,grow up dude,jump_sheer_v4,WR,FirstRecord,,,,false,1692530,76561197998031854,[U:1:37766126],
2021-09-03,03:37.65,leffunny,jump_sheer_v4,WR,IRC,,-04:04.51,,false,1693466,76561198963005416,[U:1:1002739688],
2021-09-03,03:37.65,leffunny,jump_sheer_v4,WR,IRC,,-04:04.51,,false,1693469,,,
2021-09-03,03:37.65,leffunny,jump_sheer_v4,WR,IRC,,-04:04.51,,false,1693483,,,
2021-09-03,03:37.65,leffunny,jump_sheer_v4,WR,IRC,,-04:04.51,,false,1693500,76561198963005416,[U:1:1002739688],
2021-09-03,03:37.65,leffunny,jump_sheer_v4,WR,IRC,,-04:04.51,,false,1693538,,,
2021-09-03,02:56.46,leffunny,jump_sheer_v4,WR,IRC,,-00:10.17,,false,1693556,,,
2021-09-03,03:06.63,leffunny,jump_sheer_v4,WR,IRC,,-00:12.66,,false,1693556,,,
2021-09-03,03:19.29,leffunny,jump_sheer_v4,WR,IRC,,-00:18.36,,false,1693556,,,
2021-09-03,03:37.65,leffunny,jump_sheer_v4,WR,IRC,,-04:04.51,,false,1693556,,,
2021-09-03,03:37.65,leffunny,jump_sheer_v4,WR,IRC,,-04:04.51,,false,1693562,,,
2021-09-03,03:37.65,leffunny,jump_sheer_v4,WR,MapRecord,,-04:04.51,,false,1693579,76561198963005416,[U:1:1002739688],
2021-09-03,03:37.65,leffunny,jump_sheer_v4,WR,Ranked,,,,true,1693579,76561198963005416,[U:1:1002739688],
2021-09-03,03:37.65,leffunny,jump_sheer_v4,WR,Ranked,,,,true,1693579,76561198963005416,[U:1:1002739688],
2021-09-03,03:37.65,leffunny,jump_sheer_v4,WR,IRC,,-04:04.51,,false,1693582,,,
2021-09-03,02:56.46,leffunny,jump_sheer_v4,WR,MapRecord,,-00:10.17,00:10.17,false,1693595,76561198963005416,[U:1:1002739688],
2021-09-03,02:56.46,Houndoo,jump_sheer_v4,WR,MapRun,36:13.98,+33:17.52,,true,1693595,76561198079003902,[U:1:118738174],
2021-09-03,02:56.46,Voyager,jump_sheer_v4,WR,MapRun,13:31.17,+10:34.71,,true,1693595,76561198073172510,[U:1:112906782],
2021-09-03,02:56.46,jayytee,jump_sheer_v4,WR,MapRun,31:08.26,+28:11.80,,true,1693595,76561198059575962,[U:1:99310234],
2021-09-03,02:56.46,uufyfuu,jump_sheer_v4,WR,MapRun,16:18.81,+13:22.35,,true,1693595,76561198142787212,[U:1:182521484],
2021-09-03,03:06.63,leffunny,jump_sheer_v4,WR,MapRecord,,-00:12.66,00:12.66,false,1693595,76561198963005416,[U:1:1002739688],
2021-09-03,03:19.29,leffunny,jump_sheer_v4,WR,MapRecord,,-00:18.36,00:18.36,false,1693595,76561198963005416,[U:1:1002739688],
2021-09-03,03:37.65,math,jump_sheer_v4,WR,MapRun,16:48.48,+13:10.83,,true,1693595,76561198053967778,[U:1:93702050],
2021-09-03,02:56.46,leffunny,jump_sheer_v4,WR,IRC,,-00:10.17,,false,1693614,,,
2021-09-03,03:06.63,leffunny,jump_sheer_v4,WR,IRC,,-00:12.66,,false,1693614,,,
2021-09-03,03:19.29,leffunny,jump_sheer_v4,WR,IRC,,-00:18.36,,false,1693614,,,
2021-09-04,02:56.46,leffunny,jump_sheer_v4,WR,IRC,,-00:10.17,,false,1693619,,,
2021-09-04,03:06.63,leffunny,jump_sheer_v4,WR,IRC,,-00:12.66,,false,1693619,,,
2021-09-04,03:19.29,leffunny,jump_sheer_v4,WR,IRC,,-00:18.36,,false,1693619,,,
2021-09-04,03:06.63,leffunny,jump_sheer_v4,WR,IRC,,-00:12.66,,false,1693661,,,
2021-09-04,03:19.29,leffunny,jump_sheer_v4,WR,IRC,,-00:18.36,,false,1693661,,,
2021-09-04,03:06.63,leffunny,jump_sheer_v4,WR,IRC,,-00:12.66,,false,1693663,,,
2021-09-04,03:19.29,leffunny,jump_sheer_v4,WR,IRC,,-00:18.36,,false,1693663,,,
2021-09-04,02:56.46,leffunny,jump_sheer_v4,WR,IRC,,-00:10.17,,false,1693693,,,
2021-09-04,02:56.46,leffunny,jump_sheer_v4,WR,IRC,,-00:10.17,,false,1693696,,,
2021-09-04,02:17.70,leffunny,jump_sheer_v4,WR,IRC,,-00:07.59,,false,1694178,,,
2021-09-04,02:25.29,leffunny,jump_sheer_v4,WR,IRC,,-00:21.43,,false,1694178,,,
2021-09-04,02:46.72,leffunny,jump_sheer_v4,WR,IRC,,-00:07.69,,false,1694178,,,
2021-09-04,02:54.42,leffunny,jump_sheer_v4,WR,IRC,,-00:01.48,,false,1694178,,,
2021-09-04,02:55.90,leffunny,jump_sheer_v4,WR,IRC,,-00:00.55,,false,1694178,,,
2021-09-04,00:00.40,Kratos,jump_sheer_v4,WR,Bonus 1,,-00:00.03,00:00.03,false,1694254,76561198930334128,[U:1:970068400],
2021-09-04,00:00.43,Kratos,jump_sheer_v4,WR,Bonus 1,,-00:00.01,00:00.01,false,1694254,76561198930334128,[U:1:970068400],
2021-09-04,00:00.45,Kratos,jump_sheer_v4,WR,Bonus 1,,-00:00.01,00:00.01,false,1694254,76561198930334128,[U:1:970068400],
2021-09-04,00:00.46,Kratos,jump_sheer_v4,WR,Bonus 1,,-00:00.10,00:00.12,false,1694254,76561198930334128,[U:1:970068400],
2021-09-04,02:56.46,Kingstripes,jump_sheer_v4,WR,MapRun,19:48.16,+16:51.70,,true,1694254,76561198010999831,[U:1:50734103],
2021-09-04,02:17.70,leffunny,jump_sheer_v4,WR,IRC,,-00:07.59,,false,1694300,,,
2021-09-04,02:25.29,leffunny,jump_sheer_v4,WR,IRC,,-00:21.43,,false,1694300,,,
2021-09-04,02:46.72,leffunny,jump_sheer_v4,WR,IRC,,-00:07.69,,false,1694300,,,
2021-09-04,02:54.42,leffunny,jump_sheer_v4,WR,IRC,,-00:01.48,,false,1694300,,,
2021-09-04,02:55.90,leffunny,jump_sheer_v4,WR,IRC,,-00:00.55,,false,1694300,,,
2021-09-04,02:17.70,leffunny,jump_sheer_v4,WR,IRC,,-00:07.59,,false,1694456,,,
2021-09-04,02:25.29,leffunny,jump_sheer_v4,WR,IRC,,-00:21.43,,false,1694456,,,
2021-09-04,02:46.72,leffunny,jump_sheer_v4,WR,IRC,,-00:07.69,,false,1694456,,,
2021-09-04,02:54.42,leffunny,jump_sheer_v4,WR,IRC,,-00:01.48,,false,1694456,,,
2021-09-04,02:55.90,leffunny,jump_sheer_v4,WR,IRC,,-00:00.55,,false,1694456,,,
2021-09-04,02:17.70,leffunny,jump_sheer_v4,WR,IRC,,-00:07.59,,false,1694487,,,
2021-09-04,02:25.29,leffunny,jump_sheer_v4,WR,IRC,,-00:21.43,,false,1694487,,,
2021-09-04,02:46.72,leffunny,jump_sheer_v4,WR,IRC,,-00:07.69,,false,1694487,,,
2021-09-04,02:54.42,leffunny,jump_sheer_v4,WR,IRC,,-00:01.48,,false,1694487,,,
2021-09-04,02:55.90,leffunny,jump_sheer_v4,WR,IRC,,-00:00.55,,false,1694487,,,
2021-09-04,02:17.70,leffunny,jump_sheer_v4,WR,MapRecord,,-00:07.59,00:07.59,false,1694525,76561198963005416,[U:1:1002739688],
2021-09-04,02:25.29,leffunny,jump_sheer_v4,WR,MapRecord,,-00:21.43,00:21.43,false,1694525,76561198963005416,[U:1:1002739688],
2021-09-04,02:25.29,leffunny,jump_sheer_v4,WR,MapRun,02:32.02,+00:06.73,,true,1694525,76561198963005416,[U:1:1002739688],
2021-09-04,02:25.29,salsa,jump_sheer_v4,WR,MapRun,03:51.60,+01:26.31,03:31.90,true,1694525,76561198149627108,[U:1:189361380],
2021-09-04,02:25.29,salsa,jump_sheer_v4,WR,MapRun,07:23.50,+04:58.21,,true,1694525,76561198149627108,[U:1:189361380],
2021-09-04,02:46.72,leffunny,jump_sheer_v4,WR,MapRecord,,-00:07.69,00:07.69,false,1694525,76561198963005416,[U:1:1002739688],
2021-09-04,02:54.42,leffunny,jump_sheer_v4,WR,MapRecord,,-00:01.48,00:01.48,false,1694525,76561198963005416,[U:1:1002739688],
2021-09-04,02:55.90,leffunny,jump_sheer_v4,WR,MapRecord,,-00:00.55,00:00.55,false,1694525,76561198963005416,[U:1:1002739688],
2021-09-04,02:17.70,leffunny,jump_sheer_v4,WR,IRC,,-00:07.59,,false,1694562,,,
2021-09-04,02:25.29,leffunny,jump_sheer_v4,WR,IRC,,-00:21.43,,false,1694562,,,
2021-09-04,02:17.70,leffunny,jump_sheer_v4,WR,IRC,,-00:07.59,,false,1694571,,,
2021-09-04,02:25.29,leffunny,jump_sheer_v4,WR,IRC,,-00:21.43,,false,1694571,,,
2021-09-04,02:17.70,leffunny,jump_sheer_v4,WR,IRC,,-00:07.59,,false,1694583,,,
2021-09-04,02:25.29,leffunny,jump_sheer_v4,WR,IRC,,-00:21.43,,false,1694583,,,
2021-09-04,02:17.70,leffunny,jump_sheer_v4,WR,IRC,,-00:07.59,,false,1694622,,,
2021-09-04,02:17.70,leffunny,jump_sheer_v4,WR,IRC,,-00:07.59,,false,1694629,,,
2021-09-05,02:17.70,Aventador,jump_sheer_v4,WR,MapRun,21:34.09,+19:16.39,,true,1695215,76561198254280928,[U:1:294015200],
2021-09-05,02:17.70,Saitama,jump_sheer_v4,WR,MapRun,04:57.61,+02:39.91,,true,1695215,76561199059914886,[U:1:1099649158],
2021-09-05,02:17.70,juho,jump_sheer_v4,WR,MapRun,26:01.78,+23:44.08,,true,1695215,76561197961589452,[U:1:1323724],
2021-09-05,02:14.31,leffunny,jump_sheer_v4,WR,IRC,,-00:03.39,,false,1695354,,,
2021-09-05,02:14.31,leffunny,jump_sheer_v4,WR,MapRecord,,-00:03.39,00:03.39,false,1695512,76561198963005416,[U:1:1002739688],
2021-09-05,02:14.31,leffunny,jump_sheer_v4,WR,IRC,,-00:03.39,,false,1695515,,,
2021-09-07,02:14.31,leffunny,jump_sheer_v4,WR,Ranked,,,,true,1698070,,,
2021-09-11,01:47.68,leffunny,jump_sheer_v4,WR,MapRecord,,-00:15.07,00:15.07,false,1702376,76561198963005416,[U:1:1002739688],
2021-09-11,01:47.68,Jaffxsman,jump_sheer_v4,WR,MapRun,04:13.45,+02:25.77,05:52.72,true,1702376,76561198091905306,[U:1:131639578],
2021-09-11,01:47.69,Jaffxsman,jump_sheer_v4,WR,MapRun,10:06.18,+08:18.49,03:28.12,true,1702376,76561198091905306,[U:1:131639578],
2021-09-11,02:02.76,leffunny,jump_sheer_v4,WR,MapRecord,,-00:11.55,00:11.55,false,1702376,76561198963005416,[U:1:1002739688],
2021-09-11,02:02.76,Jaffxsman,jump_sheer_v4,WR,MapRun,13:34.30,+11:31.54,,true,1702376,76561198091905306,[U:1:131639578],
2021-09-11,02:02.76,leffunny,jump_sheer_v4,WR,MapRun,03:43.62,+01:40.86,,true,1702376,76561198963005416,[U:1:1002739688],
2021-09-11,02:02.76,leffunny,jump_sheer_v4,WR,MapRun,04:12.51,+02:09.75,,true,1702376,76561198963005416,[U:1:1002739688],
2021-09-11,02:02.76,leffunny,jump_sheer_v4,WR,MapRun,06:49.71,+04:46.95,,true,1702376,76561198963005416,[U:1:1002739688],
2021-09-11,01:47.68,leffunny,jump_sheer_v4,WR,IRC,,-00:15.07,,false,1702513,,,
2021-10-22,01:45.31,leffunny,jump_sheer_v4,WR,MapRecord,,-00:02.37,00:02.37,false,1740961,76561198963005416,[U:1:1002739688],
2021-10-22,01:47.69,leffunny,jump_sheer_v4,WR,MapRun,02:07.44,+00:19.75,,true,1740961,76561198963005416,[U:1:1002739688],
2021-10-22,01:47.69,leffunny,jump_sheer_v4,WR,MapRun,02:11.22,+00:23.53,,true,1740961,76561198963005416,[U:1:1002739688],
2021-10-22,01:47.69,leffunny,jump_sheer_v4,WR,MapRun,03:15.81,+01:28.12,,true,1740961,76561198963005416,[U:1:1002739688],
2021-11-05,01:41.19,Jaffxsman,jump_sheer_v4,WR,MapRecord,,-00:04.12,00:11.86,false,1755846,76561198091905306,[U:1:131639578],
2021-11-05,01:41.19,Jaffxsman,jump_sheer_v4,WR,MapRun,01:46.24,+00:05.05,,true,1755846,76561198091905306,[U:1:131639578],
2021-11-05,01:45.31,Jaffxsman,jump_sheer_v4,WR,MapRun,01:53.05,+00:07.74,00:02.83,true,1755846,76561198091905306,[U:1:131639578],
2021-11-05,01:45.31,Jaffxsman,jump_sheer_v4,WR,MapRun,02:03.16,+00:17.85,,true,1755846,76561198091905306,[U:1:131639578],
2021-11-05,01:45.31,Jaffxsman,jump_sheer_v4,WR,MapRun,02:08.26,+00:22.95,,true,1755846,76561198091905306,[U:1:131639578],
2021-11-05,01:45.32,Jaffxsman,jump_sheer_v4,WR,MapRun,02:29.73,+00:44.41,,true,1755846,76561198091905306,[U:1:131639578],
2021-11-05,01:41.19,Jaffxsman,jump_sheer_v4,WR,IRC,,-00:04.12,,false,1755884,,,
2021-11-05,01:39.03,Jaffxsman,jump_sheer_v4,WR,IRC,,-00:02.16,,false,1756609,,,
2021-11-05,01:39.03,Jaffxsman,jump_sheer_v4,WR,MapRecord,,-00:02.16,00:02.16,false,1756798,76561198091905306,[U:1:131639578],
2022-05-22,01:36.09,Jaffxsman,jump_sheer_v4,WR,MapRecord,,-00:02.94,00:02.94,false,1954266,76561198091905306,[U:1:131639578],
2022-05-22,01:36.09,salsaa,jump_sheer_v4,WR,MapRun,02:53.11,+01:17.02,00:20.28,true,1954266,76561198149627108,[U:1:189361380],
2022-05-22,01:39.03,Jaffxsman,jump_sheer_v4,WR,MapRun,01:40.69,+00:01.66,,true,1954266,76561198091905306,[U:1:131639578],
2022-05-22,01:39.03,Jaffxsman,jump_sheer_v4,WR,MapRun,01:43.35,+00:04.32,,true,1954266,76561198091905306,[U:1:131639578],
2022-05-22,01:39.03,Jaffxsman,jump_sheer_v4,WR,MapRun,01:44.97,+00:05.94,,true,1954266,76561198091905306,[U:1:131639578],
2022-05-22,01:39.03,Jaffxsman,jump_sheer_v4,WR,MapRun,01:51.52,+00:12.49,,true,1954266,76561198091905306,[U:1:131639578],
2022-05-22,01:39.03,Jaffxsman,jump_sheer_v4,WR,MapRun,02:09.85,+00:30.82,,true,1954266,76561198091905306,[U:1:131639578],
2022-05-22,01:39.03,Jaffxsman,jump_sheer_v4,WR,MapRun,02:19.03,+00:40.00,,true,1954266,76561198091905306,[U:1:131639578],
2022-05-22,01:39.03,Jaffxsman,jump_sheer_v4,WR,MapRun,02:19.77,+00:40.74,,true,1954266,76561198091905306,[U:1:131639578],
2022-05-22,01:39.03,Jaffxsman,jump_sheer_v4,WR,MapRun,02:32.50,+00:53.47,,true,1954266,76561198091905306,[U:1:131639578],
2022-05-22,01:39.03,Jaffxsman,jump_sheer_v4,WR,MapRun,02:47.13,+01:08.10,,true,1954266,76561198091905306,[U:1:131639578],
2022-05-22,01:39.03,Jaffxsman,jump_sheer_v4,WR,MapRun,02:50.79,+01:11.76,,true,1954266,76561198091905306,[U:1:131639578],
2022-05-22,01:39.03,salsaa,jump_sheer_v4,WR,MapRun,03:13.39,+01:34.36,00:07.98,true,1954266,76561198149627108,[U:1:189361380],
2022-05-22,01:39.03,salsaa,jump_sheer_v4,WR,MapRun,03:21.37,+01:42.34,00:30.22,true,1954266,76561198149627108,[U:1:189361380],
2022-05-22,01:39.03,salsaa,jump_sheer_v4,WR,MapRun,06:55.06,+05:16.03,,true,1954266,76561198149627108,[U:1:189361380],
2022-05-22,01:32.25,Jaffxsman,jump_sheer_v4,WR,MapRecord,,-00:01.74,00:01.74,false,1954306,76561198091905306,[U:1:131639578],
2022-05-22,01:33.99,Jaffxsman,jump_sheer_v4,WR,MapRecord,,-00:02.10,00:02.10,false,1954306,76561198091905306,[U:1:131639578],
2022-05-22,01:32.25,Jaffxsman,jump_sheer_v4,WR,IRC,,-00:01.74,,false,1954322,,,
2023-01-17,00:00.25,super radical,jump_sheer_v4,WR,Bonus 1,,-00:00.01,00:00.01,false,2183698,76561198930334128,[U:1:970068400],
2024-02-08,01:32.25,AKI-47,jump_sheer_v4,WR,MapRun,22:32.95,+21:00.70,,true,2722621,76561198086069864,[U:1:125804136],
2024-04-16,01:32.25,needles that you,jump_sheer_v4,WR,MapRun,16:11.26,+14:39.01,,true,2819874,,,
2024-04-18,01:32.25,clock,jump_sheer_v4,WR,MapRun,18:34.00,+17:01.75,,true,2822087,76561198073365809,[U:1:113100081],
2024-04-18,01:32.25,turtle,jump_sheer_v4,WR,MapRun,24:01.32,+22:29.07,,true,2822087,76561198105984518,[U:1:145718790],
2024-04-23,01:32.25,Detective Fapp,jump_sheer_v4,WR,MapRun,14:48.37,+13:16.12,,true,2827912,76561198072139602,[U:1:111873874],
2024-05-08,01:32.25,Virtu,jump_sheer_v4,WR,MapRun,21:29.71,+19:57.46,,true,2849833,76561198343298434,[U:1:383032706],
2024-05-11,01:32.25,Farmacist,jump_sheer_v4,WR,MapRun,11:21.01,+09:48.76,,true,2854305,76561198124842300,[U:1:164576572],
2024-05-21,01:32.25,Jaff,jump_sheer_v4,WR,Compact,,,,false,2868245,,,
2024-05-21,01:32.25,Jaff,jump_sheer_v4,WR,Compact,,,,false,2868245,,,
2024-05-21,01:32.25,Helmi. -CC,jump_sheer_v4,WR,MapRun,14:47.17,+13:14.92,,true,2868245,76561198201985399,[U:1:241719671],
2024-05-21,01:32.25,Luffin,jump_sheer_v4,WR,MapRun,03:01.78,+01:29.53,00:57.61,true,2868245,76561198094197569,[U:1:133931841],
2024-05-21,01:32.25,Luffin,jump_sheer_v4,WR,MapRun,03:59.40,+02:27.15,01:37.35,true,2868245,76561198094197569,[U:1:133931841],
2024-05-21,01:32.25,Luffin,jump_sheer_v4,WR,MapRun,05:36.75,+04:04.50,,true,2868245,76561198094197569,[U:1:133931841],
2024-05-21,01:32.25,sammy,jump_sheer_v4,WR,MapRun,19:46.03,+18:13.78,,true,2868434,76561199001307670,[U:1:1041041942],
2024-06-30,01:32.25,punchy,jump_sheer_v4,WR,MapRun,15:05.95,+13:33.70,,true,2926972,76561198282811567,[U:1:322545839],
2024-06-30,01:32.25,rascal,jump_sheer_v4,WR,MapRun,31:03.61,+29:31.36,,true,2926972,76561198053912950,[U:1:93647222],
2024-07-30,01:32.25,ICY part,jump_sheer_v4,WR,MapRun,18:02.17,+16:29.92,,true,2971309,76561198109992472,[U:1:149726744],
2024-07-30,01:32.25,MXXGORCH - PHONK,jump_sheer_v4,WR,MapRun,19:40.41,+18:08.16,,true,2971669,,,
2024-08-04,01:32.25,th14 marisaB lif,jump_sheer_v4,WR,MapRun,25:15.97,+23:43.72,,true,2979145,,,
2024-08-14,01:32.25,hm,jump_sheer_v4,WR,MapRun,24:10.78,+22:38.53,,true,2993503,76561198275742101,[U:1:315476373],
2024-08-14,01:32.25,porkie,jump_sheer_v4,WR,MapRun,18:01.68,+16:29.43,,true,2993503,76561198054239403,[U:1:93973675],
2024-08-22,01:32.25,RDK,jump_sheer_v4,WR,MapRun,33:17.37,+31:45.12,,true,3005733,76561198162146944,[U:1:201881216],
