date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2015-03-27,00:14.96,Rob123,jump_shimano_a3,WR,Map,record,first_record,,,,75511,76561198044015351,[U:1:83749623],
2015-03-27,38:22.25,Joji,jump_shimano_a3,WR,Map,record,first_record,,,,75511,76561198060172237,[U:1:99906509],
2015-03-27,31:07.95,Joji,jump_shimano_a3,WR,Map,record,map_record,,-07:14.30,07:14.30,75511,76561198060172237,[U:1:99906509],
2015-03-27,16:45.08,j jiggy,jump_shimano_a3,WR,Map,record,map_record,,-14:22.87,,75537,76561198055778722,[U:1:95512994],
2015-04-05,13:35.11,LTT,jump_shimano_a3,WR,Map,record,map_record,,-03:09.96,07:35.88,79501,76561198066563951,[U:1:106298223],
2015-04-05,13:32.36,j jiggy,jump_shimano_a3,WR,Map,record,map_record,,-00:02.74,03:12.71,79570,76561198055778722,[U:1:95512994],
2015-09-06,12:22.58,LessThanThree ti,jump_shimano_a3,WR,Map,record,map_record,,-01:09.78,01:12.52,137263,,,
2015-09-06,09:12.45,jondeezy -tt,jump_shimano_a3,WR,Map,record,map_record,,-03:10.13,03:17.52,137375,76561198055778722,[U:1:95512994],
2018-01-09,04:59.82,iTac,jump_shimano_a3,WR,Map,record,map_record,,-01:27.48,01:27.48,547294,76561198108602947,[U:1:148337219],
2018-09-30,04:51.24,iTac,jump_shimano_a3,WR,Map,record,map_record,,-00:08.58,00:08.58,776674,76561198108602947,[U:1:148337219],
2018-09-30,04:33.49,iTac,jump_shimano_a3,WR,Map,record,map_record,,-00:17.74,00:17.74,776674,76561198108602947,[U:1:148337219],
2020-09-14,04:13.97,hool,jump_shimano_a3,WR,Map,record,map_record,,-00:19.51,00:24.10,1357602,76561198090809881,[U:1:130544153],
2023-09-15,03:53.91,Warped,jump_shimano_a3,WR,Map,record,map_record,,-00:22.26,00:22.26,2502730,76561197989916494,[U:1:29650766],
2024-03-02,03:52.59,not dolphin,jump_shimano_a3,WR,Map,record,map_record,,-00:01.32,00:10.23,2755283,76561198046601398,[U:1:86335670],
2024-03-04,03:42.75,not dolphin,jump_shimano_a3,WR,Map,announcement,irc,,-00:09.84,,,,,
2024-03-06,03:38.22,not dolphin,jump_shimano_a3,WR,Map,record,map_record,,-00:04.53,00:04.53,2761145,76561198046601398,[U:1:86335670],
2024-03-11,03:36.51,not dolphin,jump_shimano_a3,WR,Map,announcement,irc,,-00:01.71,,,,,
2024-03-11,03:30.73,not dolphin,jump_shimano_a3,WR,Map,announcement,irc,,-00:05.77,,,,,
2024-03-15,03:28.89,not dolphin,jump_shimano_a3,WR,Map,record,map_record,,-00:01.84,00:01.84,2774024,76561198046601398,[U:1:86335670],
2024-03-27,03:28.00,/7uBHa9l 6o4ka,jump_shimano_a3,WR,Map,record,map_record,,-00:00.88,00:00.88,2790771,76561198046601398,[U:1:86335670],
