date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2014-09-05,00:05.72,Pluto,jump_silly_a8,WR,Bonus 4,record,zone_record,,-00:00.02,00:00.07,20457,76561198044511072,[U:1:84245344],
2014-09-05,00:03.94,FootBaggerNick,jump_silly_a8,WR,Bonus 2,command,wr_command,,,,,,,
2014-09-06,00:05.75,guyyst,jump_silly_a8,WR,Bonus 1,record,zone_record,,-00:00.17,00:00.58,20628,76561198041343262,[U:1:81077534],
2014-09-06,01:58.72,guyyst,jump_silly_a8,WR,Map,command,wr_command,,,,,76561198041343262,[U:1:81077534],
2014-09-06,00:01.73,guyyst,jump_silly_a8,WR,Bonus 5,record,zone_record,,-00:00.03,00:00.14,20628,76561198041343262,[U:1:81077534],
2014-09-06,01:48.88,Afterglow -tt,jump_silly_a8,WR,Map,record,map_record,,-00:09.83,00:44.65,20628,76561198047849609,[U:1:87583881],
2014-09-06,01:32.35,Afterglow -tt,jump_silly_a8,WR,Map,record,map_record,,-00:16.53,00:16.53,20628,76561198047849609,[U:1:87583881],
2014-09-06,01:25.37,guyyst,jump_silly_a8,WR,Map,record,map_record,,-00:06.97,00:33.35,20628,76561198041343262,[U:1:81077534],
2018-02-02,01:16.47,kiddeezy,jump_silly_a8,WR,Map,command,wr_command,,,,,,,
2018-02-02,01:16.33,Steve,jump_silly_a8,WR,Map,record,map_record,,-00:00.13,00:02.16,566817,76561198063901478,[U:1:103635750],
2018-02-03,01:13.34,kidder,jump_silly_a8,WR,Map,record,map_record,,-00:02.98,00:03.12,567255,76561198000949987,[U:1:40684259],
2018-02-06,01:11.88,kidder (street v,jump_silly_a8,WR,Map,record,map_record,,-00:01.46,00:01.46,569801,,,
2019-03-19,01:08.99,garfield fanfict,jump_silly_a8,WR,Map,record,map_record,,-00:02.88,00:02.88,918533,,,
