date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2017-12-10,00:45.49,kidder,jump_simply_v2,WR,Course 3,,-00:02.05,00:04.94,false,521923,76561198000949987,[U:1:40684259],
2017-12-10,02:06.79,kidder,jump_simply_v2,WR,Compact,,,,false,522411,,,
2018-03-17,00:32.70,BeaGo,jump_simply_v2,WR,Course 2,,-00:01.21,00:01.21,false,601670,76561198084406120,[U:1:124140392],
2018-03-17,00:33.91,BeaGo,jump_simply_v2,WR,Course 2,,-00:00.03,00:00.29,false,601670,76561198084406120,[U:1:124140392],
2018-03-24,01:57.67,52 hours later a,jump_simply_v2,WR,IRC,,-00:09.11,,false,606797,,,
2018-03-24,00:17.98,52 hours later a,jump_simply_v2,WR,Course 1,,-00:00.08,00:00.08,false,606984,,,
2018-03-24,00:18.07,52 hours later a,jump_simply_v2,WR,Course 1,,,,false,606984,,,
2018-03-24,00:18.07,52 hours later a,jump_simply_v2,WR,Course 1,,-00:00.01,00:00.01,false,606984,,,
2018-03-24,00:18.08,52 hours later a,jump_simply_v2,WR,Course 1,,-00:00.08,00:00.08,false,606984,,,
2018-03-24,00:32.28,52 hours later a,jump_simply_v2,WR,Course 2,,,,false,606984,,,
2018-03-24,00:32.28,52 hours later a,jump_simply_v2,WR,Course 2,,-00:00.37,00:00.37,false,606984,,,
2018-03-24,00:45.49,52 hours later a,jump_simply_v2,WR,Course 3,,,,false,606984,,,
2018-03-24,01:57.67,52 hours later a,jump_simply_v2,WR,MapRecord,,-00:09.11,00:09.11,false,606984,,,
2018-03-24,01:57.67,52 hours later a,jump_simply_v2,WR,Compact,,,,false,606984,,,
2018-03-24,01:57.67,52 hours later a,jump_simply_v2,WR,Compact,,,,false,606984,,,
2018-03-24,01:57.67,52 hours later a,jump_simply_v2,WR,Compact,,,,false,606984,,,
2018-03-24,02:06.79,52 hours later a,jump_simply_v2,WR,Compact,,,,false,606984,,,
2019-01-11,01:57.68,Golden Aardvark,jump_simply_v2,WR,MapRun,1:16:41.47,+1:14:43.79,,true,863882,76561198082109328,[U:1:121843600],
2019-11-27,01:57.67,kidder,jump_simply_v2,WR,Ranked,,,,true,1111486,,,
2019-11-27,01:57.68,sqm,jump_simply_v2,WR,MapRun,1:01:39.46,+59:41.78,,true,1111486,76561198294411690,[U:1:334145962],
2020-03-18,01:57.68,덜덜,jump_simply_v2,WR,MapRun,15:46.42,+13:48.74,,true,1199858,76561198204104197,[U:1:243838469],
2020-03-30,00:07.87,Karmac,jump_simply_v2,WR,Bonus 1,,-00:00.18,,false,1209856,76561197998047965,[U:1:37782237],
2020-03-30,01:57.67,Erik,jump_simply_v2,WR,MapRun,57:02.77,+55:05.10,,true,1209856,76561198048698026,[U:1:88432298],
2020-03-30,01:57.68,mc,jump_simply_v2,WR,MapRun,43:28.11,+41:30.43,,true,1209856,76561198044338392,[U:1:84072664],
2020-03-30,00:07.76,Boshy,jump_simply_v2,WR,Bonus 1,,-00:00.10,00:00.28,false,1209995,76561198046601398,[U:1:86335670],
2020-06-07,01:57.67,vice,jump_simply_v2,WR,MapRun,10:00.17,+08:02.50,25:01.04,true,1269751,76561198366368448,[U:1:406102720],
2020-09-23,00:17.94,mr gato,jump_simply_v2,WR,Course 1,,-00:00.04,00:00.43,false,1366038,76561198126091800,[U:1:165826072],
2020-09-23,01:57.67,Athanasia,jump_simply_v2,WR,MapRun,22:13.04,+20:15.37,,true,1366038,76561198113927027,[U:1:153661299],
2020-09-23,00:31.40,mr gato,jump_simply_v2,WR,Course 2,,-00:00.87,00:00.91,false,1366220,76561198126091800,[U:1:165826072],
2021-01-19,00:07.60,Skye,jump_simply_v2,WR,Bonus 1,,-00:00.16,00:00.18,false,1482774,76561197988619397,[U:1:28353669],
2021-01-19,01:57.67,kidder,jump_simply_v2,WR,Compact,,,,false,1482774,,,
2021-03-03,00:17.64,rintincan,jump_simply_v2,WR,Course 1,,-00:00.01,00:00.01,false,1525422,76561198124772544,[U:1:164506816],
2021-03-03,00:17.65,rintincan,jump_simply_v2,WR,Course 1,,-00:00.22,00:00.22,false,1525422,76561198124772544,[U:1:164506816],
2021-03-03,00:17.88,rintincan,jump_simply_v2,WR,Course 1,,-00:00.06,00:00.48,false,1525422,76561198124772544,[U:1:164506816],
2021-03-03,01:57.67,kdider,jump_simply_v2,WR,Compact,,,,false,1525422,,,
2021-03-03,01:57.67,kdider,jump_simply_v2,WR,Compact,,,,false,1525422,,,
2021-03-03,01:57.67,kdider,jump_simply_v2,WR,Compact,,,,false,1525422,,,
2021-03-03,01:57.67,kdider,jump_simply_v2,WR,Ranked,,,,true,1525422,,,
