date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2017-12-30,07:04.82,YmirIV,jump_sinister_final_ver2,WR,MapRun,4:24:46.03,+4:17:41.21,,true,538831,76561198036170813,[U:1:75905085]
2018-03-28,04:21.46,kaptain,jump_sinister_final_ver2,WR,IRC,,-02:43.34,,false,610900,76561198033727092,[U:1:73461364]
2021-04-18,02:45.85,Katto -rng,jump_sinister_final_ver2,WR,MapRecord,,-01:35.61,01:53.22,false,1567218,76561198346669763,[U:1:386404035]
2023-06-10,02:29.08,a a aaa a a aa,jump_sinister_final_ver2,WR,MapRun,1:09:13.42,+1:06:44.34,,true,2358503,76561198136642828,[U:1:176377100]
2023-08-15,02:13.42,루,jump_sinister_final_ver2,WR,MapRecord,,-00:15.66,00:15.66,false,2454558,76561198816817995,[U:1:856552267]
2024-05-11,02:00.24,rubi,jump_sinister_final_ver2,WR,IRC,,-00:13.18,,false,2854301,,
2024-05-17,01:57.28,punchy the cat,jump_sinister_final_ver2,WR,IRC,,-00:02.95,,false,2862841,,
2025-10-21,01:56.22,Lawrence,jump_sinister_final_ver2,WR,MapRun,47:07.14,+45:10.92,,true,3543463,76561198317890235,[U:1:357624507]
2025-10-31,01:53.72,cacci,jump_sinister_final_ver2,WR,MapRun,1:03:15.98,+1:01:22.26,,true,3556232,,
2025-11-19,01:44.93,(h)i,jump_sinister_final_ver2,WR,MapRun,1:11:02.66,+1:09:17.73,,true,3590507,76561199481808720,[U:1:1521542992]
2025-11-27,01:44.92,rev!4,jump_sinister_final_ver2,WR,MapRun,33:18.70,+31:33.78,3:10:31.42,true,3601930,76561198101061668,[U:1:140795940]
