date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2014-07-27,04:51.64,twitch.tv/ljh_pi...,jump_sitood,WR,Map,record,first_record,,,,12472,76561198048236806,STEAM_0:0:43985539,
2014-07-27,03:50.89,twitch.tv/ljh_pi...,jump_sitood,WR,Map,record,map_record,,-01:00.74,01:00.74,12472,76561198048236806,STEAM_0:0:43985539,
2014-07-27,00:08.70,twitch.tv/ljh_pi...,jump_sitood,WR,Bonus 3,record,zone_first,,,,12472,76561198048236806,STEAM_0:0:43985539,
2014-07-27,00:23.59,twitch.tv/ljh_pi...,jump_sitood,WR,Bonus 4,record,zone_first,,,,12472,76561198048236806,STEAM_0:0:43985539,
2014-07-27,00:13.88,twitch.tv/ljh_pi...,jump_sitood,WR,Bonus 1,record,zone_first,,,,12472,76561198048236806,STEAM_0:0:43985539,
2014-07-27,00:10.61,Gargoylenbe ✌,jump_sitood,WR,Bonus 1,record,zone_record,,-00:03.26,,12472,76561198014065242,STEAM_0:0:26899757,
2014-07-27,00:44.47,Gargoylenbe ✌,jump_sitood,WR,Bonus 2,record,zone_first,,,,12472,76561198014065242,STEAM_0:0:26899757,
2014-07-27,00:41.94,Gargoylenbe ✌,jump_sitood,WR,Bonus 2,record,zone_record,,-00:02.53,00:02.53,12472,76561198014065242,STEAM_0:0:26899757,
2014-07-27,00:07.79,yeev,jump_sitood,WR,Bonus 3,record,zone_record,,-00:00.91,,12472,76561198061032178,STEAM_0:0:50383225,
2014-07-27,00:09.99,JorgeLayja ♌,jump_sitood,WR,Bonus 1,record,zone_record,,-00:00.62,00:02.84,12472,76561198101198779,STEAM_0:1:70466525,
2014-07-27,00:41.54,JorgeLayja ♌,jump_sitood,WR,Bonus 2,record,zone_record,,-00:00.39,,12472,76561198101198779,STEAM_0:1:70466525,
2014-07-27,00:34.64,JorgeLayja ♌,jump_sitood,WR,Bonus 2,record,zone_record,,-00:06.89,00:06.89,12472,76561198101198779,STEAM_0:1:70466525,
