date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2019-09-29,00:02.44,song,jump_sketchy2_rc1_zip,WR,Bonus 2,record,zone_record,,-00:00.04,00:00.04,1069038,76561198210286877,[U:1:250021149],
2020-02-17,00:03.38,song,jump_sketchy2_rc1_zip,WR,Bonus 1,record,zone_record,,-00:00.06,00:00.06,1175188,76561198210286877,[U:1:250021149],
2020-05-28,00:23.47,song,jump_sketchy2_rc1_zip,WR,Course 1,record,zone_record,,-00:00.02,00:00.04,1261154,76561198210286877,[U:1:250021149],
2020-05-30,01:43.40,song,jump_sketchy2_rc1_zip,WR,Map,record,map_record,,-00:00.01,00:01.02,1262686,76561198210286877,[U:1:250021149],
2020-10-20,00:02.43,Waldo,jump_sketchy2_rc1_zip,WR,Bonus 2,record,zone_record,,-00:00.04,00:00.04,1393234,76561198020256631,[U:1:59990903],
2020-10-26,00:02.41,song,jump_sketchy2_rc1_zip,WR,Bonus 2,record,zone_record,,-00:00.01,00:00.01,1398786,76561198210286877,[U:1:250021149],
2021-04-16,00:03.37,song,jump_sketchy2_rc1_zip,WR,Bonus 1,record,zone_record,,-00:00.08,00:00.10,1565255,76561198210286877,[U:1:250021149],
2021-05-31,00:22.77,song,jump_sketchy2_rc1_zip,WR,Course 1,record,zone_record,,-00:00.22,00:00.63,1602018,76561198210286877,[U:1:250021149],
2021-05-31,01:40.50,song,jump_sketchy2_rc1_zip,WR,Map,record,map_record,,-00:02.92,00:09.45,1602018,76561198210286877,[U:1:250021149],
2021-06-01,00:28.99,complex guy,jump_sketchy2_rc1_zip,WR,Course 2,record,zone_record,,-00:00.74,00:01.33,1602839,76561198210286877,[U:1:250021149],
2021-06-02,00:38.52,soup -tt,jump_sketchy2_rc1_zip,WR,Course 3,command,wr_command,,,,,,,
2021-06-02,00:37.96,song,jump_sketchy2_rc1_zip,WR,Course 3,record,zone_record,,-00:00.56,00:04.48,1603549,76561198210286877,[U:1:250021149],
2021-06-03,00:37.44,song,jump_sketchy2_rc1_zip,WR,Course 3,record,zone_record,,-00:00.52,00:00.52,1604228,76561198210286877,[U:1:250021149],
2021-06-03,01:34.78,song,jump_sketchy2_rc1_zip,WR,Map,record,map_record,,-00:05.71,00:05.71,1604228,76561198210286877,[U:1:250021149],
2021-11-14,00:22.57,soup -tt,jump_sketchy2_rc1_zip,WR,Course 1,record,zone_record,,-00:00.19,00:00.36,1765753,76561198029285343,[U:1:69019615],
2022-03-04,00:28.42,Soup -tt,jump_sketchy2_rc1_zip,WR,Course 2,record,zone_record,,-00:00.57,00:00.82,1877138,76561198029285343,[U:1:69019615],
2022-03-04,00:35.49,Soup -tt,jump_sketchy2_rc1_zip,WR,Course 3,record,zone_record,,-00:01.95,00:02.10,1877138,76561198029285343,[U:1:69019615],
2022-03-09,00:22.51,Soup -tt,jump_sketchy2_rc1_zip,WR,Course 1,record,zone_record,,-00:00.06,00:00.06,1881989,76561198029285343,[U:1:69019615],
2022-03-09,01:34.68,Soup -tt,jump_sketchy2_rc1_zip,WR,Map,record,map_record,,-00:00.10,00:02.02,1881989,76561198029285343,[U:1:69019615],
2024-01-29,00:03.72,trash <3,jump_sketchy2_rc1_zip,WR,Bonus 2,record,zone_first,,,,2706845,76561198110764631,[U:1:150498903],
2024-06-29,00:03.36,Waldo,jump_sketchy2_rc1_zip,WR,Bonus 1,record,zone_record,,-00:00.15,00:00.15,2926840,76561198020256631,[U:1:59990903],
