date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2014-07-12,02:18.85,Superchuck,jump_sketchy_final,WR,Course 1,record,zone_first,,,,10431,76561198064467753,STEAM_0:1:52101012,
2014-07-12,01:42.49,Superchuck,jump_sketchy_final,WR,Course 2,record,zone_first,,,,10431,76561198064467753,STEAM_0:1:52101012,
2014-07-12,04:03.92,Superchuck,jump_sketchy_final,WR,Map,record,first_record,,,,10431,76561198064467753,STEAM_0:1:52101012,
2014-07-12,01:39.52,Bane,jump_sketchy_final,WR,Course 2,record,zone_record,,-00:02.97,,10439,76561198040260189,STEAM_0:1:39997230,
2014-07-12,02:14.06,Bane,jump_sketchy_final,WR,Course 1,record,zone_record,,-00:04.78,00:57.92,10439,76561198040260189,STEAM_0:1:39997230,
2014-07-12,01:21.86,Bane,jump_sketchy_final,WR,Course 2,record,zone_record,,-00:17.65,00:17.65,10439,76561198040260189,STEAM_0:1:39997230,
2014-07-12,03:45.31,Bane,jump_sketchy_final,WR,Map,record,map_record,,-00:18.61,01:11.06,10439,76561198040260189,STEAM_0:1:39997230,
2014-07-12,00:43.51,Bane,jump_sketchy_final,WR,Bonus 1,record,zone_first,,,,10439,76561198040260189,STEAM_0:1:39997230,
2014-07-12,01:55.07,menty,jump_sketchy_final,WR,Course 1,record,zone_record,,-00:18.99,00:19.04,10439,76561198050815941,STEAM_0:1:45275106,
2014-07-12,01:21.45,menty,jump_sketchy_final,WR,Course 2,record,zone_record,,-00:00.41,00:37.91,10439,76561198050815941,STEAM_0:1:45275106,
2014-07-12,03:31.50,Superchuck,jump_sketchy_final,WR,Map,record,map_record,,-00:13.80,00:21.99,10441,76561198064467753,STEAM_0:1:52101012,
2014-07-12,01:51.94,Superchuck,jump_sketchy_final,WR,Course 1,record,zone_record,,-00:03.12,00:06.72,10441,76561198064467753,STEAM_0:1:52101012,
2014-07-12,01:09.83,Superchuck,jump_sketchy_final,WR,Course 2,record,zone_record,,-00:11.62,00:21.06,10441,76561198064467753,STEAM_0:1:52101012,
2014-07-12,00:12.46,"Raina ""Peon""",jump_sketchy_final,WR,Bonus 2,record,zone_first,,,,10445,76561198010989914,STEAM_0:0:25362093,
2014-07-12,00:35.41,Xtra,jump_sketchy_final,WR,Bonus 1,record,zone_record,,-00:08.09,00:08.71,10445,76561198041487315,STEAM_0:1:40610793,
2014-07-12,00:43.33,Superchuck,jump_sketchy_final,WR,Course 1,record,zone_record,,-00:17.62,01:08.60,10485,76561198064467753,STEAM_0:1:52101012,
2014-07-12,01:34.33,Superchuck,jump_sketchy_final,WR,Course 3,record,zone_record,,-00:36.64,,10485,76561198064467753,STEAM_0:1:52101012,
2014-07-12,01:03.84,Gebobus,jump_sketchy_final,WR,Course 2,record,zone_record,,-00:01.15,,10485,76561198044263100,STEAM_0:0:41998686,
2014-07-12,00:56.52,Gebobus,jump_sketchy_final,WR,Course 3,record,zone_record,,-00:18.26,,10485,76561198044263100,STEAM_0:0:41998686,
2014-07-12,02:54.52,Gebobus,jump_sketchy_final,WR,Map,record,map_record,,-00:25.93,,10485,76561198044263100,STEAM_0:0:41998686,
2014-07-12,00:40.47,Gebobus,jump_sketchy_final,WR,Course 1,record,zone_record,,-00:02.86,00:04.26,10485,76561198044263100,STEAM_0:0:41998686,
2014-07-12,01:28.21,Bane,jump_sketchy_final,WR,Course 3,record,zone_record,,-00:06.12,,10486,76561198040260189,STEAM_0:1:39997230,
2014-07-12,01:04.99,Bane,jump_sketchy_final,WR,Course 2,record,zone_record,,-00:04.83,00:16.87,10486,76561198040260189,STEAM_0:1:39997230,
2014-07-12,01:14.78,Bane,jump_sketchy_final,WR,Course 3,record,zone_record,,-00:13.42,00:13.42,10486,76561198040260189,STEAM_0:1:39997230,
2014-07-12,03:20.45,Bane,jump_sketchy_final,WR,Map,record,map_record,,-00:11.05,00:24.85,10486,76561198040260189,STEAM_0:1:39997230,
2014-07-12,00:58.49,Gebobus,jump_sketchy_final,WR,Course 2,record,zone_record,,-00:05.34,00:05.34,10494,76561198044263100,STEAM_0:0:41998686,
2014-07-12,00:54.17,Gebobus,jump_sketchy_final,WR,Course 3,record,zone_record,,-00:02.34,00:02.34,10494,76561198044263100,STEAM_0:0:41998686,
2014-07-12,02:40.46,Gebobus,jump_sketchy_final,WR,Map,record,map_record,,-00:14.05,00:14.05,10494,76561198044263100,STEAM_0:0:41998686,
2014-07-13,00:39.14,- LiuKz ๖ۣۜ,jump_sketchy_final,WR,Course 1,record,zone_record,,-00:01.32,00:01.68,10528,76561198048569134,STEAM_0:0:44151703,
2014-07-13,00:38.93,Gebobus,jump_sketchy_final,WR,Course 1,record,zone_record,,-00:00.20,00:01.53,10528,76561198044263100,STEAM_0:0:41998686,
2014-07-16,00:53.26,Gebobus,jump_sketchy_final,WR,Course 2,record,zone_record,,-00:05.23,00:05.23,10933,76561198044263100,STEAM_0:0:41998686,
2014-07-16,00:37.76,cody,jump_sketchy_final,WR,Course 1,record,zone_record,,-00:00.68,00:00.68,10933,76561198078488228,STEAM_0:0:59111250,
2014-07-16,02:35.39,cody,jump_sketchy_final,WR,Map,record,map_record,,-00:05.07,00:30.88,10933,76561198078488228,STEAM_0:0:59111250,
