date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2014-07-12,05:52.49,Superchuck,jump_sketchy_final,WR,FirstRecord,,,,false,10431,76561198064467753,STEAM_0:1:52101012
2014-07-12,05:51.97,Bane,jump_sketchy_final,WR,MapRecord,,-00:00.52,00:11.15,false,10439,76561198040260189,STEAM_0:1:39997230
2014-07-12,04:05.88,Superchuck,jump_sketchy_final,WR,MapRecord,,-01:46.08,01:46.61,false,10441,76561198064467753,STEAM_0:1:52101012
2014-07-12,03:50.87,Pikku,jump_sketchy_final,WR,MapRecord,,-00:15.01,02:34.11,false,10445,76561198052890010,STEAM_0:0:46312141
2014-07-12,03:40.33,Aurora -tt,jump_sketchy_final,WR,MapRecord,,-00:08.95,00:08.95,false,10485,76561198053067670,STEAM_0:0:46400971
2014-07-13,03:17.23,guyyst,jump_sketchy_final,WR,MapRecord,,-00:03.24,00:07.66,false,10528,76561198041343262,STEAM_0:0:40538767
2014-07-13,03:12.95,guyyst,jump_sketchy_final,WR,MapRecord,,-00:04.27,00:04.27,false,10618,,
2014-11-03,03:12.83,jondy #sp00ky,jump_sketchy_final,WR,MapRecord,,-00:00.12,00:04.81,false,28212,76561198055778722,[U:1:95512994]
2014-11-06,03:06.25,guyyst,jump_sketchy_final,WR,IRC,,-00:06.57,,false,28877,,
2015-03-26,02:57.95,func,jump_sketchy_final,WR,MapRecord,,-00:08.29,00:08.84,false,75250,,
2015-04-04,02:51.79,func,jump_sketchy_final,WR,MapRecord,,-00:06.16,00:06.16,false,79116,,
2015-04-06,02:46.76,func,jump_sketchy_final,WR,MapRecord,,-00:05.03,00:05.03,false,79840,76561198088581265,[U:1:128315537]
2015-05-29,02:41.80,func,jump_sketchy_final,WR,MapRecord,,-00:04.61,00:04.61,false,99864,76561198088581265,[U:1:128315537]
2015-06-25,02:40.85,guyyst,jump_sketchy_final,WR,MapRecord,,-00:00.94,00:25.39,false,110332,76561198041343262,[U:1:81077534]
2015-09-11,02:37.65,guyyst | tipofth,jump_sketchy_final,WR,MapRecord,,-00:00.17,00:03.20,false,139110,,
2015-09-13,02:31.20,func,jump_sketchy_final,WR,IRC,,-00:06.45,,false,139846,,
2018-02-07,02:17.35,newjuls -tt,jump_sketchy_final,WR,MapRecord,,-00:02.04,00:03.11,false,571383,,
2020-03-12,02:14.74,func,jump_sketchy_final,WR,IRC,,-00:01.66,,false,1194600,,
2020-03-12,02:11.60,func,jump_sketchy_final,WR,MapRecord,,-00:03.13,00:03.13,false,1194657,76561198046601398,[U:1:86335670]
2020-03-15,02:08.07,Boshy,jump_sketchy_final,WR,IRC,,-00:03.53,,false,1197204,,
2020-03-16,02:06.07,lupus,jump_sketchy_final,WR,MapRecord,,-00:01.99,00:01.99,false,1198392,76561198046601398,[U:1:86335670]
2023-07-03,02:05.35,Helmi.,jump_sketchy_final,WR,MapRecord,,-00:04.30,00:04.30,false,2390051,76561198201985399,[U:1:241719671]
