date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2021-06-12,07:25.75,Ww! Darkknio™,jump_skyscraper_v2,WR,Map,record,map_record,,-00:53.59,00:53.59,1611554,76561198063242136,[U:1:102976408],
2021-06-12,06:37.81,Ww! Darkknio™,jump_skyscraper_v2,WR,Map,record,map_record,,-00:47.94,00:47.94,1611554,76561198063242136,[U:1:102976408],
2021-06-12,06:03.19,Ww! Darkknio™,jump_skyscraper_v2,WR,Map,record,map_record,,-00:34.62,00:34.62,1611554,76561198063242136,[U:1:102976408],
2021-06-12,05:59.73,JPBGamer,jump_skyscraper_v2,WR,Map,record,map_record,,-00:53.34,00:53.34,1611554,76561198172573209,[U:1:212307481],
2021-06-12,05:39.87,JPBGamer,jump_skyscraper_v2,WR,Map,record,map_record,,-00:19.86,00:19.86,1611554,76561198172573209,[U:1:212307481],
2021-06-12,05:26.31,Grrrama,jump_skyscraper_v2,WR,Map,record,map_record,,-00:46.24,00:46.24,1611554,76561198155993760,[U:1:195728032],
2021-06-12,04:55.39,JPBGamer,jump_skyscraper_v2,WR,Map,record,map_record,,-00:37.35,00:37.35,1611616,76561198172573209,[U:1:212307481],
2021-06-12,04:54.54,JPBGamer,jump_skyscraper_v2,WR,Map,record,map_record,,-00:00.85,00:00.85,1611616,76561198172573209,[U:1:212307481],
2021-06-12,04:44.37,JPBGamer,jump_skyscraper_v2,WR,Map,record,map_record,,-00:10.17,00:10.17,1611616,76561198172573209,[U:1:212307481],
2021-06-17,04:38.76,Grrrama,jump_skyscraper_v2,WR,Map,record,map_record,,-00:11.02,00:11.02,1615819,76561198155993760,[U:1:195728032],
2021-06-19,04:37.60,JPBGamer,jump_skyscraper_v2,WR,Map,record,map_record,,-00:01.15,00:06.76,1617419,76561198172573209,[U:1:212307481],
2021-06-24,04:26.01,Y_@,jump_skyscraper_v2,WR,Map,record,map_record,,-00:12.46,00:12.46,1621160,76561198155993760,[U:1:195728032],
2021-07-01,04:25.84,Ninja Cookie ||,jump_skyscraper_v2,WR,Map,record,map_record,,-00:04.74,00:04.74,1626412,,,
2023-11-11,04:18.03,fred -CC,jump_skyscraper_v2,WR,Map,record,map_record,,-00:07.81,00:25.42,2586931,76561198016044075,[U:1:55778347],
