date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2014-08-01,05:09.17,bluebird,jump_soar_a4,WR,Map,record,map_record,,-01:02.25,01:02.25,13353,76561197971599263,STEAM_0:1:5666767,
2014-08-01,00:03.11,guyyst,jump_soar_a4,WR,Bonus 2,record,zone_record,,-00:02.34,,13353,76561198041343262,STEAM_0:0:40538767,
2015-01-31,04:59.18,Aurora♪,jump_soar_a4,WR,Map,record,map_record,,-00:09.98,00:20.76,56553,76561198053067670,[U:1:92801942],
2015-02-22,00:06.31,LTT,jump_soar_a4,WR,Bonus 4,record,zone_record,,-00:01.33,00:01.36,64102,76561198066563951,[U:1:106298223],
2015-05-03,00:01.80,LTT,jump_soar_a4,WR,Bonus 1,record,zone_record,,-00:00.02,00:00.14,89028,76561198066563951,[U:1:106298223],
2015-05-03,00:06.17,guyyst,jump_soar_a4,WR,Bonus 3,record,zone_record,,-00:00.16,00:00.16,89028,76561198041343262,[U:1:81077534],
2018-02-09,00:07.52,Boshy,jump_soar_a4,WR,Bonus 5,record,zone_record,,-00:00.23,00:00.56,572926,76561198046601398,[U:1:86335670],
2018-02-09,04:58.87,mr steak,jump_soar_a4,WR,Map,record,map_record,,-00:02.77,00:02.77,572926,76561198033727092,[U:1:73461364],
2018-02-09,00:05.84,photon,jump_soar_a4,WR,Bonus 4,command,wr_command,,,,,,,
2018-02-09,00:05.68,mr steak,jump_soar_a4,WR,Bonus 4,record,zone_record,,-00:00.16,00:00.19,572926,76561198033727092,[U:1:73461364],
2018-03-03,04:50.99,kaptain,jump_soar_a4,WR,Map,record,map_record,,-00:07.87,00:07.87,590073,76561198033727092,[U:1:73461364],
2018-03-03,04:50.29,kaptain,jump_soar_a4,WR,Map,record,map_record,,-00:00.70,00:00.70,590153,76561198033727092,[U:1:73461364],
2018-03-03,04:40.46,kaptain,jump_soar_a4,WR,Map,record,map_record,,-00:09.82,00:09.82,590153,76561198033727092,[U:1:73461364],
2018-03-03,04:35.30,kaptain,jump_soar_a4,WR,Map,record,map_record,,-00:05.16,00:05.16,590153,76561198033727092,[U:1:73461364],
2018-03-05,04:24.22,kaptain,jump_soar_a4,WR,Map,record,map_record,,-00:11.08,00:11.08,592050,76561198033727092,[U:1:73461364],
2018-03-05,00:06.10,twitch.tv/gancho,jump_soar_a4,WR,Bonus 3,command,wr_command,,,,,,,
2018-08-04,00:07.04,kaptain,jump_soar_a4,WR,Bonus 5,record,zone_record,,-00:00.48,00:02.01,726031,76561198033727092,[U:1:73461364],
2018-12-28,00:05.52,hooligan,jump_soar_a4,WR,Bonus 4,record,zone_record,,-00:00.16,,852150,76561198090809881,[U:1:130544153],
2019-04-25,00:01.06,Boshy,jump_soar_a4,WR,Bonus 1,record,zone_record,,-00:00.12,00:00.13,948501,76561198046601398,[U:1:86335670],
2019-06-17,00:06.94,Boshy,jump_soar_a4,WR,Bonus 5,record,zone_record,,-00:00.10,00:00.21,988468,76561198046601398,[U:1:86335670],
2019-06-17,00:04.88,Boshy,jump_soar_a4,WR,Bonus 4,record,zone_record,,-00:00.63,00:02.59,988488,76561198046601398,[U:1:86335670],
2020-08-05,04:22.99,Shunix ˄˅,jump_soar_a4,WR,Map,record,map_record,,-00:01.22,00:08.74,1318397,76561198047121805,[U:1:86856077],
2021-01-20,00:01.77,Skye,jump_soar_a4,WR,Bonus 2,record,zone_record,,-00:00.31,00:00.36,1483013,76561197988619397,[U:1:28353669],
2021-03-28,00:06.06,song,jump_soar_a4,WR,Bonus 3,record,zone_record,,-00:00.01,00:00.16,1548550,76561198210286877,[U:1:250021149],
2021-03-28,00:05.98,song,jump_soar_a4,WR,Bonus 3,record,zone_record,,-00:00.07,00:00.07,1548550,76561198210286877,[U:1:250021149],
2021-03-28,00:05.92,mr gato,jump_soar_a4,WR,Bonus 3,record,zone_record,,-00:00.06,00:00.07,1548550,76561198126091800,[U:1:165826072],
2021-04-21,00:05.82,song,jump_soar_a4,WR,Bonus 3,record,zone_record,,-00:00.10,00:00.16,1569491,76561198210286877,[U:1:250021149],
2021-11-15,04:20.37,IzzyHoP,jump_soar_a4,WR,Map,record,map_record,,-00:02.63,00:04.39,1767468,76561197995927883,[U:1:35662155],
2021-11-17,04:13.33,IzzyHoP,jump_soar_a4,WR,Map,record,map_record,,-00:07.03,00:07.03,1769607,76561197995927883,[U:1:35662155],
2022-03-12,00:01.75,nibs,jump_soar_a4,WR,Bonus 2,record,zone_record,,-00:00.10,00:00.10,1884996,76561198035282173,[U:1:75016445],
2022-03-12,00:04.87,nibs,jump_soar_a4,WR,Bonus 4,command,wr_command,,,,,76561198035282173,[U:1:75016445],
2022-04-28,00:04.71,D U M E,jump_soar_a4,WR,Bonus 4,record,zone_record,,-00:00.16,,1931288,76561198110641716,[U:1:150375988],
2022-04-29,00:04.62,nibs,jump_soar_a4,WR,Bonus 4,record,zone_record,,-00:00.25,00:00.25,1932177,76561198035282173,[U:1:75016445],
2022-05-31,00:01.74,Skye,jump_soar_a4,WR,Bonus 2,record,zone_record,,-00:00.01,00:00.03,1962455,76561197988619397,[U:1:28353669],
2022-06-02,00:01.72,nibs,jump_soar_a4,WR,Bonus 2,record,zone_record,,-00:00.03,00:00.03,1963798,76561198035282173,[U:1:75016445],
2022-06-02,00:04.42,nibs,jump_soar_a4,WR,Bonus 4,record,zone_record,,-00:00.19,00:00.19,1963798,76561198035282173,[U:1:75016445],
2022-10-20,04:06.21,IzzyHoP -tt,jump_soar_a4,WR,Map,record,map_record,,-00:07.12,00:07.12,2092298,76561197995927883,[U:1:35662155],
2023-01-17,04:04.00,IzzyHoP,jump_soar_a4,WR,Map,record,map_record,,-00:02.20,00:02.20,2184203,76561197995927883,[U:1:35662155],
2023-01-18,03:58.81,IzzyHoP,jump_soar_a4,WR,Map,record,map_record,,-00:05.19,00:05.19,2185368,76561197995927883,[U:1:35662155],
2023-07-13,00:04.05,yep yep close th,jump_soar_a4,WR,Bonus 4,record,zone_record,,-00:00.94,00:00.94,2403336,,,
2023-07-14,00:03.87,nibs,jump_soar_a4,WR,Bonus 4,record,zone_record,,-00:00.18,00:00.55,2405048,76561198035282173,[U:1:75016445],
2024-06-20,00:05.76,garf,jump_soar_a4,WR,Bonus 3,record,zone_record,,-00:00.06,00:00.07,2912947,76561199243400809,[U:1:1283135081],
2024-07-25,00:05.73,vice,jump_soar_a4,WR,Bonus 3,record,zone_record,,-00:00.01,00:00.07,2964125,76561198366368448,[U:1:406102720],
2024-07-25,00:06.69,vice,jump_soar_a4,WR,Bonus 5,record,zone_record,,-00:00.12,00:01.38,2964125,76561198366368448,[U:1:406102720],
2024-07-29,00:05.71,₍ᐢᐢ₎. us,jump_soar_a4,WR,Bonus 3,record,zone_record,,-00:00.01,00:00.01,2970264,,,
2024-09-13,03:52.96,Boshy,jump_soar_a4,WR,Map,announcement,irc,,-00:09.58,,,,,
2024-09-16,03:48.93,Boshy,jump_soar_a4,WR,Map,record,map_record,,-00:04.03,00:04.03,3043671,76561198046601398,[U:1:86335670],
2024-12-04,00:05.70,vice,jump_soar_a4,WR,Bonus 3,record,zone_record,,-00:00.01,00:00.01,3158696,76561198366368448,[U:1:406102720],
2025-04-25,00:05.66,nikita@gosuslugi,jump_soar_a4,WR,Bonus 3,record,zone_record,,-00:00.04,00:00.06,3292197,,,
2025-10-19,00:03.50,nikita@gosuslugi,jump_soar_a4,WR,Bonus 4,record,zone_record,,-00:00.72,00:00.72,3541191,,,
2025-11-02,00:01.70,WantAttack > lol,jump_soar_a4,WR,Bonus 2,record,zone_record,,-00:00.08,00:00.08,3559204,,,
