date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2018-07-09,11:36.96,resistance is fu,jump_sobel,WR,Map,record,first_record,,,,700903,,,
2018-07-09,08:30.79,aki,jump_sobel,WR,Map,record,map_record,,-03:06.16,,700911,76561198048851475,[U:1:88585747],
2018-07-09,05:47.98,aki,jump_sobel,WR,Map,record,map_record,,-02:42.81,02:42.81,700911,76561198048851475,[U:1:88585747],
2018-07-09,03:53.78,aki,jump_sobel,WR,Map,record,map_record,,-01:54.19,01:54.19,700911,76561198048851475,[U:1:88585747],
2018-07-09,03:44.85,aki,jump_sobel,WR,Map,record,map_record,,-00:08.93,00:08.93,700911,76561198048851475,[U:1:88585747],
2018-07-09,03:38.74,Diller,jump_sobel,WR,Map,record,map_record,,-00:06.10,02:58.08,700956,76561198040963460,[U:1:80697732],
2018-07-09,02:35.88,Diller,jump_sobel,WR,Map,record,map_record,,-01:02.86,01:02.86,700956,76561198040963460,[U:1:80697732],
2018-07-09,02:33.79,(Expiring Jul 11,jump_sobel,WR,Map,record,map_record,,-00:00.12,00:09.55,701153,,,
2018-07-09,02:33.91,kaptain,jump_sobel,WR,Map,record,map_record,,-00:01.96,02:16.49,701317,76561198033727092,[U:1:73461364],
2018-07-10,02:29.53,aki,jump_sobel,WR,Map,record,map_record,,-00:06.49,00:06.49,702680,76561198048851475,[U:1:88585747],
2018-07-10,02:25.08,aki,jump_sobel,WR,Map,record,map_record,,-00:04.45,00:04.45,702680,76561198048851475,[U:1:88585747],
2018-07-10,02:17.48,aki,jump_sobel,WR,Map,record,map_record,,-00:07.59,00:07.59,702680,76561198048851475,[U:1:88585747],
2018-07-11,02:10.66,aki,jump_sobel,WR,Map,record,map_record,,-00:06.82,00:06.82,703205,76561198048851475,[U:1:88585747],
2018-07-11,02:08.61,str,jump_sobel,WR,Map,record,map_record,,-00:02.05,00:15.30,703305,,,
2018-07-15,01:58.40,aki,jump_sobel,WR,Map,record,map_record,,-00:12.25,00:12.25,707383,76561198048851475,[U:1:88585747],
2022-03-02,01:58.27,VAVLIE,jump_sobel,WR,Map,record,map_record,,-00:03.60,00:03.60,1875274,76561198014713685,[U:1:54447957],
2022-04-23,01:51.01,aki,jump_sobel,WR,Map,record,map_record,,-00:18.03,00:18.03,1926000,76561198048851475,[U:1:88585747],
2024-12-21,01:49.30,D U M E,jump_sobel,WR,Map,record,map_record,,-00:04.68,00:04.68,3183456,76561198110641716,[U:1:150375988],
2025-02-02,01:45.46,aki,jump_sobel,WR,Map,record,map_record,,-00:05.55,00:05.55,3248611,76561198048851475,[U:1:88585747],
