date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2018-09-14,02:14.89,vice,jump_sohr_a5,WR,IRC,,-00:04.71,,false,761643,76561198366368448,[U:1:406102720],
2018-09-14,02:19.60,newjuls,jump_sohr_a5,WR,IRCSet,,,,false,761643,,,
2018-09-14,02:19.60,newjuls,jump_sohr_a5,WR,FirstRecord,,,,false,761679,76561198396018338,[U:1:435752610],
2018-09-14,01:26.66,vice,jump_sohr_a5,WR,IRC,,-00:48.22,,false,761682,,,
2018-09-14,02:14.89,vice,jump_sohr_a5,WR,IRC,,-00:04.71,,false,761682,,,
2018-09-14,02:19.60,newjuls,jump_sohr_a5,WR,IRCSet,,,,false,761682,,,
2018-09-14,02:14.89,vice,jump_sohr_a5,WR,IRC,,-00:04.71,,false,761684,,,
2018-09-14,02:19.60,newjuls,jump_sohr_a5,WR,IRCSet,,,,false,761684,,,
2018-09-14,02:14.89,vice,jump_sohr_a5,WR,IRC,,-00:04.71,,false,761687,,,
2018-09-14,02:19.60,newjuls,jump_sohr_a5,WR,IRCSet,,,,false,761687,,,
2018-09-14,02:14.89,vice,jump_sohr_a5,WR,IRC,,-00:04.71,,false,761694,,,
2018-09-14,01:26.66,vice,jump_sohr_a5,WR,MapRecord,,-00:48.22,00:48.22,false,761701,76561198366368448,[U:1:406102720],
2018-09-14,02:14.89,vice,jump_sohr_a5,WR,MapRecord,,-00:04.71,,false,761701,76561198366368448,[U:1:406102720],
2018-09-14,01:26.66,vice,jump_sohr_a5,WR,IRC,,-00:48.22,,false,761709,,,
2018-09-14,02:14.89,vice,jump_sohr_a5,WR,IRC,,-00:04.71,,false,761709,,,
2018-09-14,01:26.66,vice,jump_sohr_a5,WR,IRC,,-00:48.22,,false,761712,,,
2018-09-14,01:26.66,vice,jump_sohr_a5,WR,IRC,,-00:48.22,,false,761713,,,
2018-09-14,01:26.66,vice,jump_sohr_a5,WR,IRC,,-00:48.22,,false,761725,,,
2018-10-06,01:23.63,Starkie,jump_sohr_a5,WR,MapRecord,,-00:03.03,00:13.92,false,781845,76561198008003429,[U:1:47737701],
2018-12-29,01:17.39,aaaaaaah,jump_sohr_a5,WR,MapRecord,,-00:06.24,00:14.64,false,853019,,,
2018-12-29,01:17.39,aaaaaaah,jump_sohr_a5,WR,IRC,,-00:06.24,,false,853090,,,
2019-10-28,01:16.87,Arthur Fleck,jump_sohr_a5,WR,MapRecord,,-00:00.52,00:09.79,false,1090878,76561198366368448,[U:1:406102720],
2019-10-28,01:16.87,Arthur Fleck,jump_sohr_a5,WR,IRC,,-00:00.52,,false,1090880,76561198366368448,[U:1:406102720],
2020-09-11,01:11.74,pî,jump_sohr_a5,WR,MapRecord,,-00:02.77,00:02.77,false,1354247,76561198222006144,[U:1:261740416],
2020-09-11,01:14.52,pî,jump_sohr_a5,WR,MapRecord,,-00:02.35,00:02.87,false,1354247,76561198222006144,[U:1:261740416],
2020-09-11,01:16.87,Moonchild (Best,jump_sohr_a5,WR,Compact,,,,false,1354247,,,
2020-09-11,01:14.52,pî,jump_sohr_a5,WR,IRC,,-00:02.35,,false,1354273,,,
2023-11-11,01:11.08,Matty,jump_sohr_a5,WR,MapRecord,,-00:00.66,00:01.80,false,2586159,76561198035204545,[U:1:74938817],
2024-11-14,01:08.13,cander,jump_sohr_a5,WR,IRC,,-00:02.95,,false,3129481,,,
2024-11-14,01:08.13,cander,jump_sohr_a5,WR,IRC,,-00:02.95,,false,3129453,,,
2024-11-14,01:08.13,cander,jump_sohr_a5,WR,MapRecord,,-00:02.95,00:04.08,false,3129478,76561198318722879,[U:1:358457151],
2024-11-14,01:08.13,cander,jump_sohr_a5,WR,IRC,,-00:02.95,,false,3129512,,,
2024-11-14,01:08.13,cander,jump_sohr_a5,WR,IRC,,-00:02.95,,false,3129484,,,
2024-11-14,01:08.13,cander,jump_sohr_a5,WR,IRC,,-00:02.95,,false,3129426,,,
2024-11-14,01:08.13,cander,jump_sohr_a5,WR,IRC,,-00:02.95,,false,3129486,,,
2024-11-14,01:08.13,cander,jump_sohr_a5,WR,IRC,,-00:02.95,,false,3129507,,,
2024-11-14,01:08.13,cander,jump_sohr_a5,WR,IRC,,-00:02.95,,false,3129509,,,
2024-11-14,01:08.13,cander,jump_sohr_a5,WR,IRC,,-00:02.95,,false,3129503,,,
2024-11-14,01:08.13,cander,jump_sohr_a5,WR,IRC,,-00:02.95,,false,3129493,,,
2024-11-14,01:08.13,cander,jump_sohr_a5,WR,IRC,,-00:02.95,,false,3129451,,,
2024-11-14,01:08.13,cander,jump_sohr_a5,WR,IRC,,-00:02.95,,false,3129399,76561198318722879,[U:1:358457151],
2024-11-14,01:08.13,cander,jump_sohr_a5,WR,IRC,,-00:02.95,,false,3129515,,,
