date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2021-09-04,44:44.20,LEDO br4nny_slo,jump_sonni_a6,WR,IRCSet,,,,false,1693711,,
2021-09-04,33:33.82,Iswanathan Vanan,jump_sonni_a6,WR,IRC,,-11:10.38,,false,1694116,,
2021-09-04,31:47.11,la musica de hai,jump_sonni_a6,WR,IRC,,-12:57.09,,false,1694721,,
2021-09-05,25:56.79,riot,jump_sonni_a6,WR,IRC,,-05:50.32,,false,1695354,,
2021-09-06,15:39.67,Yhorm,jump_sonni_a6,WR,MapRecord,,-10:17.11,,false,1696576,76561199205018590,[U:1:1244752862]
2021-09-25,13:50.85,sgt Bytheway,jump_sonni_a6,WR,MapRun,1:35:06.72,+1:21:15.87,,true,1712715,76561198094169965,[U:1:133904237]
2022-08-18,10:27.87,xXx_B4LD_SP0T_xX,jump_sonni_a6,WR,MapRecord,,-00:58.41,03:22.98,false,2029397,,
2022-08-19,10:27.84,Mr. Wallpogo IV,jump_sonni_a6,WR,MapRecord,,-00:00.03,00:40.78,false,2030997,76561198178042934,[U:1:217777206]
2022-08-20,06:39.21,xXx_B4LD_SP0T_xX,jump_sonni_a6,WR,MapRecord,,-03:48.63,03:48.66,false,2031528,,
2023-02-16,05:52.98,Cygnus -rng,jump_sonni_a6,WR,MapRecord,,-00:46.23,01:22.89,false,2215672,76561198178042934,[U:1:217777206]
2023-02-20,04:56.73,Cygnus -rng,jump_sonni_a6,WR,MapRecord,,-00:38.52,00:38.52,false,2219868,,
