date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2022-05-22,01:57.94,Jaffxsman,jump_soquete,WR,IRC,,-00:11.46,,false,1954340,,,
2022-05-22,02:09.40,Jaffxsman,jump_soquete,WR,IRC,,-00:07.27,,false,1954340,,,
2022-05-22,02:16.68,u_u,jump_soquete,WR,IRC,,-00:17.37,,false,1954340,,,
2022-05-22,02:34.05,Jaffxsman,jump_soquete,WR,IRCSet,,,,false,1954340,,,
2022-05-22,01:55.35,Jaffxsman,jump_soquete,WR,IRC,,-00:02.59,,false,1954343,,,
2022-05-22,01:57.94,Jaffxsman,jump_soquete,WR,IRC,,-00:11.46,,false,1954343,,,
2022-05-22,02:09.40,Jaffxsman,jump_soquete,WR,IRC,,-00:07.27,,false,1954343,,,
2022-05-22,02:16.68,u_u,jump_soquete,WR,IRC,,-00:17.37,,false,1954343,,,
2022-05-22,02:34.05,Jaffxsman,jump_soquete,WR,IRCSet,,,,false,1954343,,,
2022-05-22,01:55.35,Jaffxsman,jump_soquete,WR,IRC,,-00:02.59,,false,1954347,,,
2022-05-22,01:57.94,Jaffxsman,jump_soquete,WR,IRC,,-00:11.46,,false,1954347,,,
2022-05-22,02:09.40,Jaffxsman,jump_soquete,WR,IRC,,-00:07.27,,false,1954347,,,
2022-05-22,02:16.68,u_u,jump_soquete,WR,IRC,,-00:17.37,,false,1954347,,,
2022-05-22,02:34.05,Jaffxsman,jump_soquete,WR,IRCSet,,,,false,1954347,,,
2022-05-22,01:55.35,Jaffxsman,jump_soquete,WR,MapRecord,,-00:02.59,00:02.59,false,1954354,76561198091905306,[U:1:131639578],
2022-05-22,01:55.35,SourceTV,jump_soquete,WR,MapRun,03:55.36,+02:00.01,,true,1954354,76561198053967778,[U:1:93702050],
2022-05-22,01:55.35,kappelinluhdanka,jump_soquete,WR,MapRun,05:25.72,+03:30.37,,true,1954354,,,
2022-05-22,01:55.35,oofygoo,jump_soquete,WR,MapRun,03:09.51,+01:14.16,,true,1954354,76561198410291183,[U:1:450025455],
2022-05-22,01:55.35,salsaa,jump_soquete,WR,MapRun,03:40.96,+01:45.61,01:48.99,true,1954354,76561198149627108,[U:1:189361380],
2022-05-22,01:55.35,salsaa,jump_soquete,WR,MapRun,05:29.95,+03:34.60,,true,1954354,76561198149627108,[U:1:189361380],
2022-05-22,01:57.94,Jaffxsman,jump_soquete,WR,MapRecord,,-00:11.46,00:11.46,false,1954354,76561198091905306,[U:1:131639578],
2022-05-22,01:57.94,Slippin' Jimmy,jump_soquete,WR,MapRun,09:45.58,+07:47.64,,true,1954354,76561198143214992,[U:1:182949264],
2022-05-22,01:57.95,Waldo,jump_soquete,WR,MapRun,02:59.67,+01:01.72,,true,1954354,76561198020256631,[U:1:59990903],
2022-05-22,02:09.40,Jaffxsman,jump_soquete,WR,MapRecord,,-00:07.27,00:24.64,false,1954354,76561198091905306,[U:1:131639578],
2022-05-22,02:16.68,u_u,jump_soquete,WR,MapRecord,,-00:17.37,,false,1954354,76561198103598619,[U:1:143332891],
2022-05-22,02:34.05,Jaffxsman,jump_soquete,WR,FirstRecord,,,,false,1954354,76561198091905306,[U:1:131639578],
2022-05-22,02:16.68,u_u,jump_soquete,WR,IRC,,-00:17.37,,false,1954357,,,
2022-05-22,02:34.05,Jaffxsman,jump_soquete,WR,IRCSet,,,,false,1954357,,,
2022-05-22,01:55.35,Jaffxsman,jump_soquete,WR,IRC,,-00:02.59,,false,1954359,,,
2022-05-22,01:57.94,Jaffxsman,jump_soquete,WR,IRC,,-00:11.46,,false,1954359,,,
2022-05-22,02:09.40,Jaffxsman,jump_soquete,WR,IRC,,-00:07.27,,false,1954359,,,
2022-05-22,02:16.68,u_u,jump_soquete,WR,IRC,,-00:17.37,,false,1954359,,,
2022-05-22,02:34.05,Jaffxsman,jump_soquete,WR,IRCSet,,,,false,1954359,,,
2022-05-22,01:55.35,Jaffxsman,jump_soquete,WR,IRC,,-00:02.59,,false,1954364,,,
2022-05-22,01:57.94,Jaffxsman,jump_soquete,WR,IRC,,-00:11.46,,false,1954364,,,
2022-05-22,02:09.40,Jaffxsman,jump_soquete,WR,IRC,,-00:07.27,,false,1954364,,,
2022-05-22,01:57.94,Jaffxsman,jump_soquete,WR,IRC,,-00:11.46,,false,1954367,,,
2022-05-22,01:55.35,Jaffxsman,jump_soquete,WR,IRC,,-00:02.59,,false,1954377,,,
2022-05-22,01:51.70,Kratos,jump_soquete,WR,IRC,,-00:03.64,,false,1954470,76561198930334128,[U:1:970068400],
2022-05-22,01:51.70,Kratos,jump_soquete,WR,IRC,,-00:03.64,,false,1954484,,,
2022-05-22,01:51.70,Dr.Spamoman,jump_soquete,WR,MapRun,06:25.39,+04:33.69,,true,1954484,76561198053824265,[U:1:93558537],
2022-05-22,01:51.70,MarisoN,jump_soquete,WR,MapRun,06:03.49,+04:11.79,,true,1954484,76561198140110515,[U:1:179844787],
2022-05-22,01:51.70,Spooky,jump_soquete,WR,MapRun,05:40.96,+03:49.26,,true,1954484,76561198066171590,[U:1:105905862],
2022-05-22,01:51.70,SweZombie,jump_soquete,WR,MapRun,06:27.70,+04:36.00,,true,1954484,76561198849893773,[U:1:889628045],
2022-05-22,01:51.70,aksia,jump_soquete,WR,MapRun,06:37.96,+04:46.26,,true,1954484,76561198067104574,[U:1:106838846],
2022-05-22,01:51.70,daelin,jump_soquete,WR,MapRun,04:09.97,+02:18.27,,true,1954484,76561198083131259,[U:1:122865531],
2022-05-22,01:51.70,fred,jump_soquete,WR,MapRun,06:25.81,+04:34.11,,true,1954484,76561198016044075,[U:1:55778347],
2022-05-22,01:51.70,˄˅Gebobus -tt,jump_soquete,WR,MapRun,05:09.13,+03:17.43,,true,1954484,76561198044263100,[U:1:83997372],
2022-05-22,01:51.71,-reii,jump_soquete,WR,MapRun,15:05.22,+13:13.51,,true,1954484,76561198404172173,[U:1:443906445],
2022-05-22,01:51.71,Aeriow,jump_soquete,WR,MapRun,03:56.22,+02:04.51,,true,1954484,76561198091487760,[U:1:131222032],
2022-05-22,01:51.71,JPBGamer,jump_soquete,WR,MapRun,04:52.11,+03:00.40,,true,1954484,76561198172573209,[U:1:212307481],
2022-05-22,01:51.71,Leader,jump_soquete,WR,MapRun,03:47.58,+01:55.87,,true,1954484,76561198239665216,[U:1:279399488],
2022-05-22,01:51.71,Yes,jump_soquete,WR,MapRun,06:01.38,+04:09.67,,true,1954484,76561198002184136,[U:1:41918408],
2022-05-22,01:51.71,rev!4,jump_soquete,WR,MapRun,02:53.58,+01:01.87,,true,1954484,76561198101061668,[U:1:140795940],
2022-05-22,01:55.35,Jaffxsman,jump_soquete,WR,Compact,,,,false,1954484,,,
2022-05-22,01:55.35,Fluffie,jump_soquete,WR,MapRun,05:30.31,+03:34.96,,true,1954484,76561198028114870,[U:1:67849142],
2022-05-22,01:55.35,Jaffxsman,jump_soquete,WR,Ranked,,,,true,1954484,,,
2022-05-22,01:55.35,Torriss,jump_soquete,WR,MapRun,09:59.14,+08:03.79,,true,1954484,76561198213431056,[U:1:253165328],
2022-05-22,01:55.35,speedyll,jump_soquete,WR,MapRun,07:27.51,+05:32.16,,true,1954484,76561198207307879,[U:1:247042151],
2022-05-22,01:51.70,Kratos,jump_soquete,WR,IRC,,-00:03.64,,false,1954485,,,
2022-05-22,01:51.70,Kratos,jump_soquete,WR,MapRecord,,-00:03.64,00:25.23,false,1954486,,,
2022-05-22,01:51.71,riot,jump_soquete,WR,MapRun,04:15.81,+02:24.10,,true,1954486,76561198065169685,[U:1:104903957],
2022-05-22,01:55.35,!(!)!(!)!(!)!,jump_soquete,WR,MapRun,03:47.01,+01:51.66,,true,1954486,76561198831069486,[U:1:870803758],
2022-05-22,01:55.35,Kingstripes,jump_soquete,WR,MapRun,04:51.04,+02:55.69,,true,1954486,76561198010999831,[U:1:50734103],
2022-05-22,01:55.35,Moonstruck,jump_soquete,WR,MapRun,03:35.64,+01:40.29,,true,1954486,76561198027443134,[U:1:67177406],
2022-05-22,01:55.35,k,jump_soquete,WR,MapRun,02:16.93,+00:21.58,01:26.65,true,1954486,76561198930334128,[U:1:970068400],
2022-05-22,01:55.35,k,jump_soquete,WR,MapRun,02:50.16,+00:54.81,,true,1954486,76561198930334128,[U:1:970068400],
2022-05-22,01:55.35,k,jump_soquete,WR,MapRun,03:43.59,+01:48.24,,true,1954486,76561198930334128,[U:1:970068400],
2022-05-22,01:55.35,twitch.tv/ixam3,jump_soquete,WR,MapRun,06:34.98,+04:39.63,,true,1954486,76561198082109328,[U:1:121843600],
2022-05-22,01:55.35,vice (from 2016),jump_soquete,WR,MapRun,02:40.60,+00:45.25,,true,1954486,76561198366368448,[U:1:406102720],
2022-05-22,01:55.35,♥Hazel,jump_soquete,WR,MapRun,05:19.02,+03:23.67,,true,1954486,76561198085486146,[U:1:125220418],
2022-05-22,01:51.70,Kratos,jump_soquete,WR,IRC,,-00:03.64,,false,1954499,,,
2022-05-22,01:51.70,Kratos,jump_soquete,WR,IRC,,-00:03.64,,false,1954543,,,
2022-05-22,01:51.70,Kratos,jump_soquete,WR,IRC,,-00:03.64,,false,1954545,,,
2022-05-22,01:51.71,DRIFTA,jump_soquete,WR,MapRun,04:34.56,+02:42.85,,true,1954739,76561198077555267,[U:1:117289539],
2022-05-22,01:51.71,Judy Hopps ๑,jump_soquete,WR,MapRun,02:41.55,+00:49.84,01:23.85,true,1954739,,,
2022-05-22,01:51.71,Judy Hopps ๑,jump_soquete,WR,MapRun,04:05.40,+02:13.69,,true,1954739,,,
2022-05-22,01:51.71,SAi,jump_soquete,WR,MapRun,06:27.09,+04:35.38,,true,1954739,76561199059914886,[U:1:1099649158],
2022-05-22,01:51.71,Un Jardin Sur Le,jump_soquete,WR,MapRun,18:17.10,+16:25.39,,true,1954739,,,
2022-05-22,01:51.71,soup can,jump_soquete,WR,MapRun,07:38.19,+05:46.48,,true,1954739,76561198162394521,[U:1:202128793],
2022-05-23,01:50.77,cander,jump_soquete,WR,IRC,,-00:00.93,,false,1955296,,,
2022-05-23,01:50.77,cander,jump_soquete,WR,IRC,,-00:00.93,,false,1955305,,,
2022-05-23,01:50.77,cander,jump_soquete,WR,MapRecord,,-00:00.93,00:07.72,false,1955416,76561198318722879,[U:1:358457151],
2022-05-23,01:51.70,cander,jump_soquete,WR,MapRun,02:18.79,+00:27.09,,true,1955416,76561198318722879,[U:1:358457151],
2022-05-23,01:51.71,cander,jump_soquete,WR,MapRun,01:58.50,+00:06.79,00:12.96,true,1955416,76561198318722879,[U:1:358457151],
2022-05-23,01:51.71,cander,jump_soquete,WR,MapRun,02:11.46,+00:19.75,,true,1955416,76561198318722879,[U:1:358457151],
2022-05-26,01:49.15,Kratos,jump_soquete,WR,MapRecord,,-00:01.62,00:02.55,false,1957718,76561198930334128,[U:1:970068400],
2022-05-26,01:46.36,vice (from 2016),jump_soquete,WR,IRC,,-00:02.79,,false,1957830,,,
2022-05-26,01:46.36,vice (from 2016),jump_soquete,WR,MapRecord,,-00:02.79,00:19.36,false,1957935,76561198366368448,[U:1:406102720],
2022-05-26,01:49.15,cander,jump_soquete,WR,MapRun,02:34.84,+00:45.69,,true,1957935,76561198318722879,[U:1:358457151],
2022-05-26,01:49.16,vice (from 2016),jump_soquete,WR,MapRun,02:05.73,+00:16.57,00:16.35,true,1957935,76561198366368448,[U:1:406102720],
2022-05-26,01:49.16,vice (from 2016),jump_soquete,WR,MapRun,02:22.08,+00:32.92,00:18.52,true,1957935,76561198366368448,[U:1:406102720],
2022-05-26,01:46.36,vice (from 2016),jump_soquete,WR,IRC,,-00:02.79,,false,1957946,,,
2022-05-26,01:46.36,vice (from 2016),jump_soquete,WR,IRC,,-00:02.79,,false,1957977,,,
2022-06-06,01:40.65,cander,jump_soquete,WR,MapRecord,,-00:05.71,00:10.12,false,1967627,76561198318722879,[U:1:358457151],
2022-06-06,01:46.36,Benvolio,jump_soquete,WR,MapRun,03:39.16,+01:52.80,,true,1967627,76561198066589108,[U:1:106323380],
2023-03-19,01:40.65,(MOB) f0ling,jump_soquete,WR,MapRun,18:21.39,+16:40.74,,true,2245706,76561198257261048,[U:1:296995320],
2024-01-30,01:40.65,Hona,jump_soquete,WR,MapRun,02:31.33,+00:50.68,00:43.05,true,2708481,76561198221809496,[U:1:261543768],
2024-01-30,01:40.65,Hona,jump_soquete,WR,MapRun,03:14.38,+01:33.73,00:21.67,true,2708481,76561198221809496,[U:1:261543768],
2024-01-30,01:40.65,stigma,jump_soquete,WR,MapRun,03:48.69,+02:08.04,,true,2708481,76561198092993736,[U:1:132728008],
2024-02-02,01:40.65,particy,jump_soquete,WR,MapRun,08:46.89,+07:06.24,,true,2713861,76561198109992472,[U:1:149726744],
2024-02-03,01:40.65,Aphelis,jump_soquete,WR,MapRun,17:00.60,+15:19.95,,true,2715049,76561198100566797,[U:1:140301069],
2024-02-05,01:40.65,Müsli,jump_soquete,WR,MapRun,04:57.67,+03:17.02,,true,2717881,76561198027016961,[U:1:66751233],
2024-02-10,01:40.65,iimail,jump_soquete,WR,MapRun,08:38.71,+06:58.06,,true,2725377,76561198120674183,[U:1:160408455],
2024-02-12,01:40.65,Woods,jump_soquete,WR,MapRun,13:12.58,+11:31.93,,true,2727729,76561198070779765,[U:1:110514037],
2024-03-04,01:40.65,ben,jump_soquete,WR,MapRun,07:12.79,+05:32.14,,true,2758424,76561198046698032,[U:1:86432304],
2024-03-12,01:40.65,somnium,jump_soquete,WR,MapRun,07:14.91,+05:34.26,,true,2770337,76561198141438049,[U:1:181172321],
2024-03-13,01:40.65,jida,jump_soquete,WR,MapRun,13:12.24,+11:31.59,,true,2771530,76561198072593457,[U:1:112327729],
2024-03-17,01:40.65,rike,jump_soquete,WR,MapRun,04:25.30,+02:44.65,,true,2778526,76561198114909914,[U:1:154644186],
2024-03-21,01:40.65,psycho   lucyboy,jump_soquete,WR,MapRun,13:09.10,+11:28.45,,true,2783632,76561199215821942,[U:1:1255556214],
