date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2015-01-08,09:14.90,- Topcake :(,jump_sor_a4,WR,Map,record,first_record,,,,46868,76561198070783552,[U:1:110517824],
2015-01-08,03:59.74,- Topcake :(,jump_sor_a4,WR,Map,record,map_record,,-05:15.16,05:15.16,46868,76561198070783552,[U:1:110517824],
2015-01-08,02:00.45,- Topcake :(,jump_sor_a4,WR,Map,record,map_record,,-01:59.29,01:59.29,46868,76561198070783552,[U:1:110517824],
2015-01-08,01:48.18,sunrise,jump_sor_a4,WR,Map,record,map_record,,-00:12.26,00:28.08,47045,76561198042495717,[U:1:82229989],
2015-01-09,01:42.32,- Topcake :(,jump_sor_a4,WR,Map,record,map_record,,-00:05.86,00:18.12,47653,76561198070783552,[U:1:110517824],
2015-01-10,01:38.77,- Topcake :(,jump_sor_a4,WR,Map,record,map_record,,-00:03.55,00:03.55,47802,76561198070783552,[U:1:110517824],
2015-01-10,01:36.01,☺seal☺,jump_sor_a4,WR,Map,record,map_record,,-00:02.76,00:04.36,47802,76561197993416444,[U:1:33150716],
2015-01-10,01:34.54,- Topcake :(,jump_sor_a4,WR,Map,record,map_record,,-00:01.46,00:02.54,47802,76561198070783552,[U:1:110517824],
2018-08-03,01:22.94,mesatech,jump_sor_a4,WR,Map,record,map_record,,-00:00.09,00:03.44,725161,76561198111845972,[U:1:151580244],
2018-12-19,01:20.03,vice,jump_sor_a4,WR,Map,record,map_record,,-00:02.91,00:03.18,844959,76561198366368448,[U:1:406102720],
2021-03-27,01:19.95,bop,jump_sor_a4,WR,Map,record,map_record,,-00:00.09,00:01.35,1547553,76561198222006144,[U:1:261740416],
2021-03-27,01:18.99,bop,jump_sor_a4,WR,Map,record,map_record,,-00:00.96,00:00.96,1547553,76561198222006144,[U:1:261740416],
2021-03-27,01:17.50,bop,jump_sor_a4,WR,Map,record,map_record,,-00:01.48,00:01.48,1547553,76561198222006144,[U:1:261740416],
2022-06-28,01:16.12,cander,jump_sor_a4,WR,Map,record,map_record,,-00:01.38,00:05.08,1989104,76561198318722879,[U:1:358457151],
2024-08-04,01:15.60,vice,jump_sor_a4,WR,Map,record,map_record,,-00:00.52,00:03.84,2978823,76561198366368448,[U:1:406102720],
