date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2019-02-22,02:31.88,porkie,jump_sorh_a1,WR,IRC,,-00:52.98,,false,899275,,,
2019-02-22,03:24.87,porkie,jump_sorh_a1,WR,IRC,,-00:49.03,,false,899275,,,
2019-02-22,04:13.90,porkie,jump_sorh_a1,WR,IRC,,-29:05.36,,false,899275,,,
2019-02-22,33:19.27,Red.,jump_sorh_a1,WR,IRCSet,,,,false,899275,76561198045832226,[U:1:85566498],
2019-02-22,03:24.87,porkie,jump_sorh_a1,WR,IRC,,-00:49.03,,false,899304,,,
2019-02-22,04:13.90,porkie,jump_sorh_a1,WR,IRC,,-29:05.36,,false,899304,,,
2019-02-22,33:19.27,Red.,jump_sorh_a1,WR,IRCSet,,,,false,899304,,,
2019-02-22,33:19.27,Red.,jump_sorh_a1,WR,FirstRecord,,,,false,899308,76561198045832226,[U:1:85566498],
2019-02-22,03:24.87,porkie,jump_sorh_a1,WR,MapRecord,,-00:49.03,00:49.03,false,899314,76561198054239403,[U:1:93973675],
2019-02-22,04:13.90,porkie,jump_sorh_a1,WR,MapRecord,,-29:05.36,,false,899314,76561198054239403,[U:1:93973675],
2019-02-22,33:19.27,Red.,jump_sorh_a1,WR,IRCSet,,,,false,899314,,,
2019-02-22,02:31.88,porkie,jump_sorh_a1,WR,IRC,,-00:52.98,,false,899333,76561198054239403,[U:1:93973675],
2019-02-22,03:24.87,porkie,jump_sorh_a1,WR,IRC,,-00:49.03,,false,899333,76561198054239403,[U:1:93973675],
2019-02-22,04:13.90,porkie,jump_sorh_a1,WR,IRC,,-29:05.36,,false,899333,76561198054239403,[U:1:93973675],
2019-02-22,33:19.27,Red.,jump_sorh_a1,WR,IRCSet,,,,false,899333,,,
2019-02-22,02:04.43,porkie,jump_sorh_a1,WR,IRC,,-00:27.45,,false,899341,,,
2019-02-22,02:31.88,porkie,jump_sorh_a1,WR,IRC,,-00:52.98,,false,899341,,,
2019-02-22,03:24.87,porkie,jump_sorh_a1,WR,IRC,,-00:49.03,,false,899341,,,
2019-02-22,04:13.90,porkie,jump_sorh_a1,WR,IRC,,-29:05.36,,false,899341,,,
2019-02-22,01:58.66,porkie,jump_sorh_a1,WR,IRC,,-00:05.77,,false,899365,,,
2019-02-22,02:04.43,porkie,jump_sorh_a1,WR,IRC,,-00:27.45,,false,899365,,,
2019-02-22,02:31.88,porkie,jump_sorh_a1,WR,IRC,,-00:52.98,,false,899365,,,
2019-02-22,01:58.66,porkie,jump_sorh_a1,WR,MapRecord,,-00:05.77,00:05.77,false,899372,76561198054239403,[U:1:93973675],
2019-02-22,02:04.43,porkie,jump_sorh_a1,WR,MapRecord,,-00:27.45,00:27.45,false,899372,76561198054239403,[U:1:93973675],
2019-02-22,02:31.88,porkie,jump_sorh_a1,WR,MapRecord,,-00:52.98,00:52.98,false,899372,76561198054239403,[U:1:93973675],
2019-02-22,01:58.66,porkie,jump_sorh_a1,WR,IRC,,-00:05.77,,false,899396,,,
2019-02-22,02:04.43,porkie,jump_sorh_a1,WR,IRC,,-00:27.45,,false,899396,,,
2019-02-22,01:58.66,porkie,jump_sorh_a1,WR,IRC,,-00:05.77,,false,899434,,,
2019-02-22,01:58.66,porkie,jump_sorh_a1,WR,IRC,,-00:05.77,,false,899442,,,
2019-02-26,01:53.09,tearboop,jump_sorh_a1,WR,MapRecord,,-00:05.56,00:09.87,false,902884,76561198066947056,[U:1:106681328],
2019-03-10,01:39.88,El Rato,jump_sorh_a1,WR,MapRecord,,-00:03.87,00:10.19,false,912094,76561198064467753,[U:1:104202025],
2019-03-10,01:43.75,------------,jump_sorh_a1,WR,MapRecord,,-00:09.34,00:09.34,false,912094,76561198066947056,[U:1:106681328],
2019-03-10,01:43.75,------------,jump_sorh_a1,WR,Compact,,,,false,912094,76561198066947056,[U:1:106681328],
2019-03-11,01:38.22,e__e,jump_sorh_a1,WR,MapRecord,,-00:01.66,00:05.53,false,912916,76561198066947056,[U:1:106681328],
2021-03-07,01:37.05,Warped,jump_sorh_a1,WR,Ranked,,,,true,1529082,76561197989916494,[U:1:29650766],
2022-04-13,01:32.02,vice,jump_sorh_a1,WR,IRC,,-00:05.02,,false,1915532,,,
2022-04-13,01:32.02,vice,jump_sorh_a1,WR,MapRecord,,-00:05.02,00:05.70,false,1915543,76561198366368448,[U:1:406102720],
2023-11-03,01:31.78,riotbz,jump_sorh_a1,WR,MapRecord,,-00:00.24,00:14.14,false,2574315,76561198065169685,[U:1:104903957],
2023-11-03,01:32.02,arkadia,jump_sorh_a1,WR,Compact,,,,false,2574315,76561198366368448,[U:1:406102720],
2024-12-08,01:31.78,riotbz,jump_sorh_a1,WR,Compact,,,,false,3163715,,,
2024-12-18,01:31.78,riotbz,jump_sorh_a1,WR,Compact,,,,false,3179407,,,
2025-01-22,01:31.78,riotbz,jump_sorh_a1,WR,Compact,,,,false,3231530,,,
2025-08-04,01:29.72,Dinky.Hotchkiss,jump_sorh_a1,WR,IRC,,-00:02.07,,false,3436032,,,
2025-08-04,01:29.72,Dinky.Hotchkiss,jump_sorh_a1,WR,IRC,,-00:02.07,,false,3436173,,,
2025-08-04,01:29.72,Dinky.Hotchkiss,jump_sorh_a1,WR,IRC,,-00:02.07,,false,3436185,,,
2025-08-04,01:29.72,Dinky.Hotchkiss,jump_sorh_a1,WR,IRC,,-00:02.07,,false,3436241,,,
2025-08-04,01:29.72,Dinky.Hotchkiss,jump_sorh_a1,WR,IRC,,-00:02.07,,false,3436290,,,
2025-08-04,01:29.72,Dinky.Hotchkiss,jump_sorh_a1,WR,IRC,,-00:02.07,,false,3436264,,,
2025-08-04,01:29.72,Dinky.Hotchkiss,jump_sorh_a1,WR,IRC,,-00:02.07,,false,3436302,,,
2025-08-04,01:29.72,Dinky.Hotchkiss,jump_sorh_a1,WR,IRC,,-00:02.07,,false,3436297,,,
2025-08-04,01:29.72,Dinky.Hotchkiss,jump_sorh_a1,WR,MapRecord,,-00:02.07,00:05.08,false,3436204,76561198041796560,[U:1:81530832],
2025-08-04,01:29.72,Dinky.Hotchkiss,jump_sorh_a1,WR,IRC,,-00:02.07,,false,3436281,,,
2025-08-04,01:29.72,Dinky.Hotchkiss,jump_sorh_a1,WR,IRC,,-00:02.07,,false,3436286,,,
2025-08-04,01:29.72,Dinky.Hotchkiss,jump_sorh_a1,WR,IRC,,-00:02.07,,false,3436244,,,
2025-08-04,01:29.72,Dinky.Hotchkiss,jump_sorh_a1,WR,IRC,,-00:02.07,,false,3436296,,,
2025-08-04,01:29.72,Dinky.Hotchkiss,jump_sorh_a1,WR,IRC,,-00:02.07,,false,3436303,,,
2025-08-04,01:29.72,Dinky.Hotchkiss,jump_sorh_a1,WR,IRC,,-00:02.07,,false,3436301,,,
2025-08-05,01:29.72,Dinky.Hotchkiss,jump_sorh_a1,WR,IRC,,-00:02.07,,false,3436229,76561198041796560,[U:1:81530832],
2025-08-05,01:29.72,Dinky.Hotchkiss,jump_sorh_a1,WR,IRC,,-00:02.07,,false,3436210,,,
2025-08-05,01:29.72,Dinky.Hotchkiss,jump_sorh_a1,WR,IRC,,-00:02.07,,false,3436224,,,
2025-08-05,01:29.72,Dinky.Hotchkiss,jump_sorh_a1,WR,IRC,,-00:02.07,,false,3436291,,,
2025-08-05,01:29.72,Dinky.Hotchkiss,jump_sorh_a1,WR,IRC,,-00:02.07,,false,3436165,,,
2025-08-05,01:29.72,Dinky.Hotchkiss,jump_sorh_a1,WR,IRC,,-00:02.07,,false,3436306,,,
2025-08-05,01:29.72,Dinky.Hotchkiss,jump_sorh_a1,WR,IRC,,-00:02.07,,false,3436250,,,
2025-10-09,01:29.72,Jail.Cell,jump_sorh_a1,WR,Compact,,,,false,3526523,,,
2025-10-09,01:29.72,Jail.Cell,jump_sorh_a1,WR,Compact,,,,false,3526523,,,
2025-10-11,01:29.72,Jail.Cell,jump_sorh_a1,WR,Compact,,,,false,3530454,,,
