date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2025-06-21,00:08.67,Waldo,jump_sorr_a7,WR,Bonus 3,record,zone_first,,,,3371056,76561198020256631,[U:1:59990903],
2025-06-21,00:08.16,Waldo,jump_sorr_a7,WR,Bonus 3,record,zone_record,,-00:00.51,00:00.51,3371056,76561198020256631,[U:1:59990903],
2025-06-21,00:07.34,Waldo,jump_sorr_a7,WR,Bonus 3,record,zone_record,,-00:00.82,00:00.82,3371056,76561198020256631,[U:1:59990903],
2025-06-21,00:07.08,Exile,jump_sorr_a7,WR,Bonus 2,record,zone_first,,,,3371056,76561198046776282,[U:1:86510554],
2025-06-21,00:09.51,Waldo,jump_sorr_a7,WR,Bonus 4,record,zone_first,,,,3371056,76561198020256631,[U:1:59990903],
2025-06-21,00:06.93,Waldo,jump_sorr_a7,WR,Bonus 2,record,zone_record,,-00:00.74,00:00.74,3371056,76561198020256631,[U:1:59990903],
2025-06-21,00:34.42,Waldo,jump_sorr_a7,WR,Bonus 1,record,zone_first,,,,3371056,76561198020256631,[U:1:59990903],
2025-06-21,05:14.62,Waldo,jump_sorr_a7,WR,Map,record,first_record,,,,3371056,76561198020256631,[U:1:59990903],
2025-06-21,05:13.59,Goth,jump_sorr_a7,WR,Map,record,map_record,,-00:01.04,,3371093,76561198143568244,[U:1:183302516],
2025-06-21,00:07.11,Goth,jump_sorr_a7,WR,Bonus 3,record,zone_record,,-00:00.44,00:00.44,3371093,76561198143568244,[U:1:183302516],
2025-06-21,00:06.98,Goth,jump_sorr_a7,WR,Bonus 3,record,zone_record,,-00:00.14,00:00.14,3371093,76561198143568244,[U:1:183302516],
2025-06-21,00:06.96,Goth,jump_sorr_a7,WR,Bonus 3,record,zone_record,,-00:00.02,00:00.02,3371093,76561198143568244,[U:1:183302516],
2025-06-21,00:06.40,Goth,jump_sorr_a7,WR,Bonus 3,record,zone_record,,-00:00.56,00:00.56,3371093,76561198143568244,[U:1:183302516],
2025-06-21,00:06.87,Goth,jump_sorr_a7,WR,Bonus 2,record,zone_record,,-00:00.87,00:00.87,3371093,76561198143568244,[U:1:183302516],
2025-06-21,00:06.82,Goth,jump_sorr_a7,WR,Bonus 2,record,zone_record,,-00:00.04,00:00.04,3371093,76561198143568244,[U:1:183302516],
2025-06-21,00:06.78,Goth,jump_sorr_a7,WR,Bonus 2,record,zone_record,,-00:00.04,00:00.04,3371093,76561198143568244,[U:1:183302516],
2025-06-21,00:06.63,Goth,jump_sorr_a7,WR,Bonus 2,record,zone_record,,-00:00.15,00:00.15,3371093,76561198143568244,[U:1:183302516],
2025-06-21,00:10.95,Goth,jump_sorr_a7,WR,Bonus 1,record,zone_record,,-00:23.48,,3371093,76561198143568244,[U:1:183302516],
2025-06-21,00:06.50,Goth,jump_sorr_a7,WR,Bonus 2,record,zone_record,,-00:00.14,00:00.14,3371093,76561198143568244,[U:1:183302516],
2025-06-21,04:37.05,yep yep close th,jump_sorr_a7,WR,Map,record,map_record,,-00:36.54,,3371144,,,
2025-06-21,03:22.95,wow,jump_sorr_a7,WR,Map,record,map_record,,-03:00.86,03:00.86,3371145,76561198307184206,[U:1:346918478],
2025-06-21,00:06.21,wow,jump_sorr_a7,WR,Bonus 2,record,zone_record,,-00:00.28,,3371145,76561198307184206,[U:1:346918478],
2025-06-21,02:06.04,wow,jump_sorr_a7,WR,Map,record,map_record,,-01:16.90,01:16.90,3371145,76561198307184206,[U:1:346918478],
2025-06-21,00:06.44,celeztial,jump_sorr_a7,WR,Bonus 1,record,zone_record,,-00:04.52,,3371197,76561198996378868,[U:1:1036113140],
2025-06-21,01:44.04,wow,jump_sorr_a7,WR,Map,record,map_record,,-00:22.00,00:22.00,3371180,76561198307184206,[U:1:346918478],
2025-06-21,00:05.78,52-,jump_sorr_a7,WR,Bonus 1,record,zone_record,,-00:00.66,,3371232,76561198231320900,[U:1:271055172],
2025-06-21,00:05.96,52-,jump_sorr_a7,WR,Bonus 2,record,zone_record,,-00:00.26,00:00.32,3371232,76561198231320900,[U:1:271055172],
2025-06-21,00:06.21,52-,jump_sorr_a7,WR,Bonus 3,record,zone_record,,-00:00.20,00:00.32,3371232,76561198231320900,[U:1:271055172],
2025-06-21,00:09.48,52-,jump_sorr_a7,WR,Bonus 4,record,zone_record,,-00:00.03,00:00.82,3371232,76561198231320900,[U:1:271055172],
2025-06-21,00:08.90,52-,jump_sorr_a7,WR,Bonus 4,record,zone_record,,-00:00.58,00:00.58,3371232,76561198231320900,[U:1:271055172],
2025-06-21,00:08.84,52-,jump_sorr_a7,WR,Bonus 4,record,zone_record,,-00:00.06,00:00.06,3371232,76561198231320900,[U:1:271055172],
2025-06-21,00:08.58,52-,jump_sorr_a7,WR,Bonus 4,record,zone_record,,-00:00.26,00:00.26,3371232,76561198231320900,[U:1:271055172],
2025-06-21,01:25.29,Dennis -rng,jump_sorr_a7,WR,Map,record,map_record,,-00:42.14,00:42.14,3371284,76561199001307670,[U:1:1041041942],
2025-06-21,00:05.66,osplo,jump_sorr_a7,WR,Bonus 1,record,zone_record,,-00:00.18,00:00.18,3371284,76561198047229461,[U:1:86963733],
2025-06-21,00:06.12,"Saccccccc:!:!""!>",jump_sorr_a7,WR,Bonus 3,record,zone_record,,-00:00.06,00:00.15,3371337,,,
2025-06-21,00:06.00,૮꒰ ˶• ༝,jump_sorr_a7,WR,Bonus 3,record,zone_record,,-00:00.12,00:00.18,3371352,,,
2025-06-21,00:05.91,stinkydog.jpg,jump_sorr_a7,WR,Bonus 2,record,zone_record,,-00:00.08,00:00.08,3371314,76561198066589108,[U:1:106323380],
2025-06-21,00:05.68,stinkydog.jpg,jump_sorr_a7,WR,Bonus 2,record,zone_record,,-00:00.22,00:00.22,3371314,76561198066589108,[U:1:106323380],
2025-06-21,00:05.61,stinkydog.jpg,jump_sorr_a7,WR,Bonus 2,record,zone_record,,-00:00.08,00:00.08,3371314,76561198066589108,[U:1:106323380],
2025-06-21,00:05.54,stinkydog.jpg,jump_sorr_a7,WR,Bonus 2,record,zone_record,,-00:00.08,00:00.08,3371314,76561198066589108,[U:1:106323380],
2025-06-21,00:05.98,müsli,jump_sorr_a7,WR,Bonus 3,record,zone_record,,-00:00.02,00:00.04,3371487,76561198379555950,[U:1:419290222],
2025-06-21,00:05.90,müsli,jump_sorr_a7,WR,Bonus 3,record,zone_record,,-00:00.09,00:00.09,3371487,76561198379555950,[U:1:419290222],
2025-06-21,00:05.76,müsli,jump_sorr_a7,WR,Bonus 3,record,zone_record,,-00:00.14,00:00.14,3371487,76561198379555950,[U:1:419290222],
2025-06-21,00:05.42,૮꒰ ˶• ༝,jump_sorr_a7,WR,Bonus 2,record,zone_record,,-00:00.12,00:00.14,3371446,,,
2025-06-21,00:05.37,weewo,jump_sorr_a7,WR,Bonus 1,record,zone_record,,-00:00.28,,3371670,76561198184162625,[U:1:223896897],
2025-06-21,00:04.98,weewo,jump_sorr_a7,WR,Bonus 1,record,zone_record,,-00:00.39,00:00.39,3371670,76561198184162625,[U:1:223896897],
2025-06-21,00:04.94,weewo,jump_sorr_a7,WR,Bonus 1,record,zone_record,,-00:00.04,00:00.04,3371670,76561198184162625,[U:1:223896897],
2025-06-21,00:07.56,Zagrfige,jump_sorr_a7,WR,Bonus 4,record,zone_record,,-00:00.30,00:00.42,3372124,76561198392773187,[U:1:432507459],
2025-06-21,01:23.28,Dennis -rng,jump_sorr_a7,WR,Map,record,map_record,,-00:02.01,00:02.01,3372128,76561199001307670,[U:1:1041041942],
2025-06-21,01:18.76,Dennis -rng,jump_sorr_a7,WR,Map,record,map_record,,-00:04.52,00:04.52,3372128,76561199001307670,[U:1:1041041942],
2025-06-21,01:18.40,Dennis -rng,jump_sorr_a7,WR,Map,record,map_record,,-00:00.36,00:00.36,3372128,76561199001307670,[U:1:1041041942],
2025-06-21,01:15.27,Dennis -rng,jump_sorr_a7,WR,Map,record,map_record,,-00:03.14,00:03.14,3372128,76561199001307670,[U:1:1041041942],
2025-06-21,01:15.02,Dennis -rng,jump_sorr_a7,WR,Map,record,map_record,,-00:00.26,00:00.26,3372128,76561199001307670,[U:1:1041041942],
2025-06-21,01:13.95,Dennis -rng,jump_sorr_a7,WR,Map,record,map_record,,-00:01.06,00:01.06,3372128,76561199001307670,[U:1:1041041942],
