date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2015-01-03,09:21.77,seras,jump_speed,WR,Course 2,record,zone_first,,,,44736,76561198070882254,[U:1:110616526],
2015-01-03,43:39.36,seras,jump_speed,WR,Map,record,first_record,,,,44736,76561198070882254,[U:1:110616526],
2015-03-28,18:34.43,yimh,jump_speed,WR,Map,record,map_record,,-25:04.92,,76190,76561198060172237,[U:1:99906509],
2015-03-28,06:50.67,yimh,jump_speed,WR,Map,record,map_record,,-11:43.76,11:43.76,76190,76561198060172237,[U:1:99906509],
2015-03-28,02:06.77,yimh,jump_speed,WR,Course 2,record,zone_record,,-02:49.67,05:02.85,76190,76561198060172237,[U:1:99906509],
2019-11-14,00:01.51,inarizushi,jump_speed,WR,Bonus 1,command,wr_command,,,,,,,
2020-05-24,02:57.01,Boshy,jump_speed,WR,Map,observed,wr_split,,,,,,,
2020-05-29,00:01.46,Boshy,jump_speed,WR,Bonus 1,record,zone_record,,-00:00.01,00:00.04,1262287,76561198046601398,[U:1:86335670],
2020-12-27,01:04.96,Boshy,jump_speed,WR,Course 2,record,zone_record,,-00:00.70,00:01.17,1459591,76561198046601398,[U:1:86335670],
2022-03-16,02:34.35,juup -rng,jump_speed,WR,Map,command,wr_command,,,,,,,
2024-02-17,00:59.19,speedyll,jump_speed,WR,Course 2,command,wr_command,,,,,,,
2024-04-03,02:28.45,フワちゃん,jump_speed,WR,Map,announcement,irc,,-00:05.89,,,,,
2024-04-03,01:14.70,フワちゃん,jump_speed,WR,Course 1,record,zone_record,,-00:00.10,00:05.02,2801507,,,
2024-04-21,00:55.95,₍ᐢᐢ₎. us,jump_speed,WR,Course 2,command,rank_command,,,,,,,
2024-06-16,00:01.33,₍ᐢᐢ₎. us,jump_speed,WR,Bonus 1,record,zone_record,,-00:00.06,00:00.06,2907074,,,
2024-06-16,00:01.24,₍ᐢᐢ₎. us,jump_speed,WR,Bonus 1,record,zone_record,,-00:00.09,00:00.09,2907074,,,
2024-08-30,00:54.07,papaya,jump_speed,WR,Course 2,record,zone_record,,-00:01.87,00:07.54,3017055,76561198366368448,[U:1:406102720],
2024-08-30,00:53.62,₍ᐢᐢ₎. us,jump_speed,WR,Course 2,record,zone_record,,-00:00.45,00:02.32,3017442,,,
