date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2021-06-19,1:47:47.37,math,jump_spy101_rc11,WR,IRCSet,,,,false,1617359,,,
2021-06-19,37:51.96,Waldo,jump_spy101_rc11,WR,IRC,,-1:09:55.41,,false,1617359,76561198020256631,[U:1:59990903],
2021-06-19,1:47:47.37,math,jump_spy101_rc11,WR,IRCSet,,,,false,1617508,,,
2021-06-19,00:08.14,Waldo,jump_spy101_rc11,WR,Bonus 1,,-00:01.47,,false,1617562,76561198020256631,[U:1:59990903],
2021-06-19,00:11.32,Waldo,jump_spy101_rc11,WR,Bonus 2,,-00:01.80,,false,1617562,76561198020256631,[U:1:59990903],
2021-06-19,00:20.61,Waldo,jump_spy101_rc11,WR,Bonus 7,,-00:03.18,,false,1617562,76561198020256631,[U:1:59990903],
2021-06-19,00:20.64,Waldo,jump_spy101_rc11,WR,Bonus 5,,-00:06.87,,false,1617562,76561198020256631,[U:1:59990903],
2021-06-19,00:23.79,math,jump_spy101_rc11,WR,Bonus 7,,-00:03.82,,false,1617562,76561198053967778,[U:1:93702050],
2021-06-19,00:24.37,Waldo,jump_spy101_rc11,WR,Bonus 6,,-00:02.26,,false,1617562,76561198020256631,[U:1:59990903],
2021-06-19,00:26.64,math,jump_spy101_rc11,WR,Bonus 6,,-00:04.17,,false,1617562,76561198053967778,[U:1:93702050],
2021-06-19,00:27.51,math,jump_spy101_rc11,WR,Bonus 5,,-01:00.25,,false,1617562,76561198053967778,[U:1:93702050],
2021-06-19,00:56.26,Waldo,jump_spy101_rc11,WR,Bonus 4 First,,,,false,1617562,76561198020256631,[U:1:59990903],
2021-06-19,01:36.88,Waldo,jump_spy101_rc11,WR,Bonus 3,,-01:57.57,,false,1617562,76561198020256631,[U:1:59990903],
2021-06-19,01:47.46,Waldo,jump_spy101_rc11,WR,Bonus 8,,-01:34.92,,false,1617562,76561198020256631,[U:1:59990903],
2021-06-19,1:47:47.37,math,jump_spy101_rc11,WR,FirstRecord,,,,false,1617562,76561198053967778,[U:1:93702050],
2021-06-19,42:20.20,math,jump_spy101_rc11,WR,Course 4 First,,,,false,1617562,76561198053967778,[U:1:93702050],
2021-06-19,1:47:47.37,math,jump_spy101_rc11,WR,IRCSet,,,,false,1617567,,,
2021-06-19,37:51.96,Waldo,jump_spy101_rc11,WR,IRC,,-1:09:55.41,,false,1617567,,,
2021-06-19,01:21.27,O_o,jump_spy101_rc11,WR,Bonus 3,,-00:15.61,,false,1617602,76561198377607948,[U:1:417342220],
2021-06-19,1:47:47.37,math,jump_spy101_rc11,WR,IRCSet,,,,false,1617602,,,
2021-06-19,1:47:47.37,math,jump_spy101_rc11,WR,Ranked,,,,true,1617602,,,
2021-06-19,13:42.78,Waldo,jump_spy101_rc11,WR,Course 4,,-28:37.42,,false,1617602,76561198020256631,[U:1:59990903],
2021-06-19,37:51.96,Waldo,jump_spy101_rc11,WR,MapRecord,,-1:09:55.41,,false,1617602,76561198020256631,[U:1:59990903],
2021-06-19,37:51.96,Sparrow,jump_spy101_rc11,WR,MapRun,2:00:39.88,+1:22:47.92,,true,1617602,76561197980694523,[U:1:20428795],
2021-06-20,37:51.96,LUNA,jump_spy101_rc11,WR,MapRun,1:08:28.66,+30:36.70,,true,1617662,76561198070375398,[U:1:110109670],
2021-06-23,37:51.96,Jamie c:,jump_spy101_rc11,WR,MapRun,3:24:50.49,+2:46:58.53,,true,1620671,76561198120665449,[U:1:160399721],
2021-06-23,37:51.96,Waldo,jump_spy101_rc11,WR,Ranked,,,,true,1620671,,,
2021-06-23,37:51.96,Waldo,jump_spy101_rc11,WR,Ranked,,,,true,1620671,,,
