date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2018-03-20,00:13.42,deceptive,jump_starkie_final,WR,Bonus 2,record,zone_first,,,,603756,76561198281755237,[U:1:321489509],
2018-03-20,00:09.65,zoinex,jump_starkie_final,WR,Bonus 2,record,zone_record,,-00:03.76,,603756,76561198317441212,[U:1:357175484],
2018-03-20,00:07.96,zoinex,jump_starkie_final,WR,Bonus 2,record,zone_record,,-00:01.68,00:01.68,603756,76561198317441212,[U:1:357175484],
2018-03-20,00:07.18,imPikable,jump_starkie_final,WR,Bonus 2,record,zone_record,,-00:00.78,,603756,76561198066589108,[U:1:106323380],
2018-03-20,00:24.25,help!!!!!!!!,jump_starkie_final,WR,Bonus 1,record,zone_first,,,,603756,76561198053562434,[U:1:93296706],
2018-03-20,00:07.16,set rhymes to st,jump_starkie_final,WR,Bonus 2,record,zone_record,,-00:00.01,00:00.01,603756,,,
2018-03-20,00:06.98,set rhymes to st,jump_starkie_final,WR,Bonus 2,record,zone_record,,-00:00.17,00:00.17,603756,,,
2018-03-20,00:06.90,set rhymes to st,jump_starkie_final,WR,Bonus 2,record,zone_record,,-00:00.08,00:00.08,603756,,,
2018-03-20,00:06.82,set rhymes to st,jump_starkie_final,WR,Bonus 2,record,zone_record,,-00:00.07,00:00.07,603756,,,
2018-03-20,00:12.47,bog boy,jump_starkie_final,WR,Bonus 1,record,zone_record,,-00:11.77,,603808,76561198043793220,[U:1:83527492],
2018-03-20,27:21.34,baldrick,jump_starkie_final,WR,Map,record,first_record,,,,603808,76561198070882254,[U:1:110616526],
