date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2015-05-16,20:41.14,seras,jump_start_b4,WR,IRCSet,,,,false,94390,,
2015-05-16,10:14.80,func,jump_start_b4,WR,IRC,,-10:26.33,,false,94465,,
2015-05-18,07:25.73,func,jump_start_b4,WR,MapRecord,,-02:49.06,02:49.06,false,95341,76561198088581265,[U:1:128315537]
2015-06-30,06:33.73,func :>,jump_start_b4,WR,MapRecord,,-00:52.00,00:52.00,false,112434,76561198088581265,[U:1:128315537]
2015-09-11,05:13.57,Bøshy,jump_start_b4,WR,MapRecord,,-01:20.16,04:10.96,false,139000,76561198046601398,[U:1:86335670]
2018-03-15,02:51.01,B?shy,jump_start_b4,WR,MapRun,20:59.87,+18:08.86,,true,599372,76561198151092311,[U:1:190826583]
2019-09-08,02:30.55,Madeline,jump_start_b4,WR,IRC,,-00:20.45,,false,1053527,,
2022-06-09,02:22.53,ondkaja,jump_start_b4,WR,IRC,,-00:08.03,,false,1970769,,
2022-11-28,02:13.05,lava bucket,jump_start_b4,WR,IRC,,-00:05.71,,false,2131023,,
2023-07-07,02:07.23,ondkaja,jump_start_b4,WR,MapRecord,,-00:15.30,00:15.30,false,2395587,76561198010123351,[U:1:49857623]
2025-09-19,02:07.22,BINI,jump_start_b4,WR,MapRun,13:52.78,+11:45.56,,true,3499076,76561198311745679,[U:1:351479951]
