date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2018-07-18,02:37.92,newjuls,jump_starve,WR,IRCSet,,,,false,710047,,,
2018-07-18,00:55.41,devil's advocate,jump_starve,WR,IRC,,-00:03.72,,false,710161,76561198366368448,[U:1:406102720],
2018-07-18,00:59.13,devil's advocate,jump_starve,WR,IRC,,-00:02.35,,false,710161,76561198366368448,[U:1:406102720],
2018-07-18,01:01.48,devil's advocate,jump_starve,WR,IRC,,-00:10.23,,false,710161,76561198366368448,[U:1:406102720],
2018-07-18,01:11.71,devil's advocate,jump_starve,WR,IRC,,-00:00.47,,false,710161,76561198366368448,[U:1:406102720],
2018-07-18,01:12.19,deceptive,jump_starve,WR,IRC,,-00:01.68,,false,710161,76561198281755237,[U:1:321489509],
2018-07-18,01:13.87,deceptive,jump_starve,WR,IRC,,-00:00.95,,false,710161,76561198281755237,[U:1:321489509],
2018-07-18,01:14.83,devil's advocate,jump_starve,WR,IRC,,-00:06.43,,false,710161,76561198366368448,[U:1:406102720],
2018-07-18,01:21.26,devil's advocate,jump_starve,WR,IRC,,-00:14.34,,false,710161,76561198366368448,[U:1:406102720],
2018-07-18,01:35.60,Skinny.,jump_starve,WR,IRC,,-00:13.80,,false,710161,,,
2018-07-18,01:49.40,deceptive,jump_starve,WR,IRC,,-00:48.51,,false,710161,76561198281755237,[U:1:321489509],
2018-07-18,02:37.92,newjuls,jump_starve,WR,IRCSet,,,,false,710161,76561198396018338,[U:1:435752610],
2018-07-18,02:37.92,newjuls,jump_starve,WR,IRCSet,,,,false,710167,,,
2018-07-18,00:55.41,devil's advocate,jump_starve,WR,IRC,,-00:03.72,,false,710189,,,
2018-07-18,00:59.13,devil's advocate,jump_starve,WR,IRC,,-00:02.35,,false,710189,,,
2018-07-18,01:01.48,devil's advocate,jump_starve,WR,IRC,,-00:10.23,,false,710189,,,
2018-07-18,01:11.71,devil's advocate,jump_starve,WR,IRC,,-00:00.47,,false,710189,,,
2018-07-18,01:12.19,deceptive,jump_starve,WR,IRC,,-00:01.68,,false,710189,,,
2018-07-18,01:13.87,deceptive,jump_starve,WR,IRC,,-00:00.95,,false,710189,,,
2018-07-18,01:14.83,devil's advocate,jump_starve,WR,IRC,,-00:06.43,,false,710189,,,
2018-07-18,01:21.26,devil's advocate,jump_starve,WR,IRC,,-00:14.34,,false,710189,,,
2018-07-18,01:35.60,Skinny.,jump_starve,WR,IRC,,-00:13.80,,false,710189,,,
2018-07-18,01:49.40,deceptive,jump_starve,WR,IRC,,-00:48.51,,false,710189,,,
2018-07-18,02:37.92,newjuls,jump_starve,WR,IRCSet,,,,false,710189,,,
2018-07-18,00:55.41,devil's advocate,jump_starve,WR,MapRecord,,-00:03.72,00:03.72,false,710201,76561198366368448,[U:1:406102720],
2018-07-18,00:59.13,devil's advocate,jump_starve,WR,MapRecord,,-00:02.35,00:02.35,false,710201,76561198366368448,[U:1:406102720],
2018-07-18,01:01.48,devil's advocate,jump_starve,WR,MapRecord,,-00:10.23,00:10.23,false,710201,76561198366368448,[U:1:406102720],
2018-07-18,01:11.71,devil's advocate,jump_starve,WR,MapRecord,,-00:00.47,00:03.11,false,710201,76561198366368448,[U:1:406102720],
2018-07-18,01:12.19,deceptive,jump_starve,WR,MapRecord,,-00:01.68,00:01.68,false,710201,76561198281755237,[U:1:321489509],
2018-07-18,01:13.87,deceptive,jump_starve,WR,MapRecord,,-00:00.95,00:35.53,false,710201,76561198281755237,[U:1:321489509],
2018-07-18,01:14.83,devil's advocate,jump_starve,WR,MapRecord,,-00:06.43,00:06.43,false,710201,76561198366368448,[U:1:406102720],
2018-07-18,01:21.26,devil's advocate,jump_starve,WR,MapRecord,,-00:14.34,01:15.42,false,710201,76561198366368448,[U:1:406102720],
2018-07-18,01:35.60,Skinny.,jump_starve,WR,IRC,,-00:13.80,,false,710201,76561198180610262,[U:1:220344534],
2018-07-18,01:49.40,deceptive,jump_starve,WR,MapRecord,,-00:48.51,01:47.10,false,710201,76561198281755237,[U:1:321489509],
2018-07-18,02:37.92,newjuls,jump_starve,WR,IRCSet,,,,false,710201,,,
2018-07-18,00:55.41,devil's advocate,jump_starve,WR,IRC,,-00:03.72,,false,710207,,,
2018-07-18,00:59.13,devil's advocate,jump_starve,WR,IRC,,-00:02.35,,false,710207,,,
2018-07-18,01:01.48,devil's advocate,jump_starve,WR,IRC,,-00:10.23,,false,710207,,,
2018-07-18,01:11.71,devil's advocate,jump_starve,WR,IRC,,-00:00.47,,false,710207,,,
2018-07-18,01:12.19,deceptive,jump_starve,WR,IRC,,-00:01.68,,false,710207,,,
2018-07-18,01:13.87,deceptive,jump_starve,WR,IRC,,-00:00.95,,false,710207,,,
2018-07-18,01:14.83,devil's advocate,jump_starve,WR,IRC,,-00:06.43,,false,710207,,,
2018-07-18,01:21.26,devil's advocate,jump_starve,WR,IRC,,-00:14.34,,false,710207,,,
2018-07-18,01:35.60,Skinny.,jump_starve,WR,MapRecord,,-00:13.80,00:24.58,false,710207,76561198180610262,[U:1:220344534],
2018-07-18,01:49.40,deceptive,jump_starve,WR,IRC,,-00:48.51,,false,710207,,,
2018-07-18,02:37.92,newjuls,jump_starve,WR,FirstRecord,,,,false,710207,76561198396018338,[U:1:435752610],
2019-07-31,00:53.43,Boshy,jump_starve,WR,IRC,,-00:01.97,,false,1023018,,,
2019-07-31,00:53.43,Boshy,jump_starve,WR,MapRecord,,-00:01.97,00:02.38,false,1023084,76561198046601398,[U:1:86335670],
2019-07-31,00:52.86,Scoot,jump_starve,WR,IRC,,-00:00.57,,false,1023118,,,
2019-07-31,00:52.86,Scoot,jump_starve,WR,MapRecord,,-00:00.57,00:00.64,false,1023146,76561198366368448,[U:1:406102720],
2019-07-31,00:51.31,Scoot,jump_starve,WR,IRC,,-00:01.54,,false,1023161,76561198366368448,[U:1:406102720],
2019-07-31,00:51.31,Scoot,jump_starve,WR,MapRecord,,-00:01.54,00:01.54,false,1023167,76561198366368448,[U:1:406102720],
2019-07-31,00:51.31,Scoot,jump_starve,WR,Compact,,,,false,1023167,76561198366368448,[U:1:406102720],
2022-10-10,00:49.87,brand new eyes,jump_starve,WR,IRC,,-00:00.40,,false,2083142,,,
