date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2015-03-27,00:46.16,Shøck!,jump_steak_a2,WR,Course 1,record,zone_record,,-00:25.48,00:25.48,75615,76561198027443134,[U:1:67177406],
2015-03-27,00:39.11,Peace,jump_steak_a2,WR,Course 1,record,zone_record,,-00:07.05,,75615,76561198055540152,[U:1:95274424],
2015-03-27,00:34.32,Rawr,jump_steak_a2,WR,Course 1,record,zone_record,,-00:04.79,,75615,76561198132366864,[U:1:172101136],
2015-03-27,00:45.40,Peace,jump_steak_a2,WR,Course 2,record,zone_first,,,,75615,76561198055540152,[U:1:95274424],
2015-03-27,00:28.97,Newjuls,jump_steak_a2,WR,Course 1,record,zone_record,,-00:05.34,,75615,76561198065855696,[U:1:105589968],
2015-03-27,02:00.58,Peace,jump_steak_a2,WR,Course 3,record,zone_first,,,,75615,76561198055540152,[U:1:95274424],
2015-03-27,00:26.47,Newjuls,jump_steak_a2,WR,Course 1,record,zone_record,,-00:02.50,00:02.50,75615,76561198065855696,[U:1:105589968],
2015-03-27,00:42.71,Newjuls,jump_steak_a2,WR,Course 2,record,zone_record,,-00:02.68,,75615,76561198065855696,[U:1:105589968],
2015-03-27,01:35.29,Peace,jump_steak_a2,WR,Course 4,record,zone_first,,,,75615,76561198055540152,[U:1:95274424],
2015-03-27,05:22.42,Peace,jump_steak_a2,WR,Map,record,first_record,,,,75615,76561198055540152,[U:1:95274424],
2015-03-27,00:25.37,Peace,jump_steak_a2,WR,Course 1,record,zone_record,,-00:01.09,00:02.22,75615,76561198055540152,[U:1:95274424],
2015-03-27,00:25.27,Newjuls,jump_steak_a2,WR,Course 1,record,zone_record,,-00:00.10,00:01.20,75615,76561198065855696,[U:1:105589968],
2015-03-27,00:34.10,Newjuls,jump_steak_a2,WR,Course 2,record,zone_record,,-00:08.61,00:08.61,75615,76561198065855696,[U:1:105589968],
2015-03-27,00:22.98,Peace,jump_steak_a2,WR,Course 1,record,zone_record,,-00:02.29,00:02.39,75615,76561198055540152,[U:1:95274424],
2015-03-27,00:22.43,Newjuls,jump_steak_a2,WR,Course 2,record,zone_record,,-00:11.66,00:11.66,75615,76561198065855696,[U:1:105589968],
2015-03-27,00:22.48,Newjuls,jump_steak_a2,WR,Course 1,record,zone_record,,-00:00.50,00:02.79,75615,76561198065855696,[U:1:105589968],
