date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2015-03-27,00:24.72,Joji,jump_steak_a2,WR,Course 2,,-00:01.66,00:01.66,false,75615,76561198060172237,[U:1:99906509],
2015-03-27,00:25.48,Joji,jump_steak_a2,WR,Course 1,,-00:23.57,00:23.57,false,75615,76561198060172237,[U:1:99906509],
2015-03-27,00:26.38,Joji,jump_steak_a2,WR,Course 2,,-00:03.49,00:03.49,false,75615,76561198060172237,[U:1:99906509],
2015-03-27,00:29.88,Joji,jump_steak_a2,WR,Course 2,,-00:03.13,00:03.13,false,75615,76561198060172237,[U:1:99906509],
2015-03-27,00:33.02,Joji,jump_steak_a2,WR,Course 2,,-00:01.35,00:11.85,false,75615,76561198060172237,[U:1:99906509],
2015-03-27,00:49.06,Joji,jump_steak_a2,WR,Course 1,,-00:28.75,,false,75615,76561198060172237,[U:1:99906509],
2015-03-27,01:17.81,Newjuls,jump_steak_a2,WR,Course 1 First,,,,false,75615,76561198065855696,[U:1:105589968],
2015-03-27,02:09.35,Joji,jump_steak_a2,WR,Course 4,,-01:38.51,01:50.61,false,75615,76561198060172237,[U:1:99906509],
2015-03-27,02:33.28,Joji,jump_steak_a2,WR,Course 3 First,,,,false,75615,76561198060172237,[U:1:99906509],
2015-03-27,03:11.53,Joji,jump_steak_a2,WR,Course 2 First,,,,false,75615,76561198060172237,[U:1:99906509],
2015-03-27,03:59.96,Joji,jump_steak_a2,WR,Course 4 First,,,,false,75615,76561198060172237,[U:1:99906509],
2015-03-27,04:34.38,j jiggy,jump_steak_a2,WR,Compact,,,,false,75615,76561198055778722,[U:1:95512994],
2015-03-27,04:34.38,j jiggy,jump_steak_a2,WR,Compact,,,,false,75615,76561198055778722,[U:1:95512994],
2015-03-27,04:34.38,j jiggy,jump_steak_a2,WR,IRC,,-02:55.21,,false,75615,76561198055778722,[U:1:95512994],
2015-03-27,04:34.38,j jiggy,jump_steak_a2,WR,Ranked,,,,true,75615,76561198055778722,[U:1:95512994],
2015-03-27,04:34.39,eli,jump_steak_a2,WR,MapRun,11:10.66,+06:36.27,,true,75615,76561198178193207,[U:1:217927479],
2015-03-27,07:29.60,Joji,jump_steak_a2,WR,MapRecord,,-00:23.59,03:21.67,false,75615,76561198060172237,[U:1:99906509],
2015-03-27,07:53.19,j jiggy,jump_steak_a2,WR,IRC,,-02:58.07,,false,75615,76561198055778722,[U:1:95512994],
2015-03-27,10:51.27,Joji,jump_steak_a2,WR,FirstRecord,,,,false,75615,76561198060172237,[U:1:99906509],
2015-03-27,00:18.89,j jiggy,jump_steak_a2,WR,Bonus 1 First,,,,false,75625,76561198055778722,[U:1:95512994],
2015-03-27,00:34.38,j jiggy,jump_steak_a2,WR,Course 2,,-00:03.52,00:03.52,false,75625,76561198055778722,[U:1:95512994],
2015-03-27,00:37.90,j jiggy,jump_steak_a2,WR,Course 2,,-00:13.90,00:13.90,false,75625,76561198055778722,[U:1:95512994],
2015-03-27,00:51.81,j jiggy,jump_steak_a2,WR,Course 2,,-02:19.72,,false,75625,76561198055778722,[U:1:95512994],
2015-03-27,01:17.23,j jiggy,jump_steak_a2,WR,Course 3,,-00:21.45,00:21.45,false,75625,76561198055778722,[U:1:95512994],
2015-03-27,01:38.68,j jiggy,jump_steak_a2,WR,Course 3,,-00:41.48,00:41.48,false,75625,76561198055778722,[U:1:95512994],
2015-03-27,01:57.16,j jiggy,jump_steak_a2,WR,Course 4,,-00:12.18,01:50.70,false,75625,76561198055778722,[U:1:95512994],
2015-03-27,02:20.17,j jiggy,jump_steak_a2,WR,Course 3,,-00:13.10,,false,75625,76561198055778722,[U:1:95512994],
2015-03-27,03:47.87,j jiggy,jump_steak_a2,WR,Course 4,,-00:12.09,,false,75625,76561198055778722,[U:1:95512994],
2015-03-27,04:34.38,j jiggy,jump_steak_a2,WR,MapRecord,,-02:55.21,03:18.80,false,75625,76561198055778722,[U:1:95512994],
2015-03-27,07:29.60,Joji,jump_steak_a2,WR,IRC,,-00:23.59,,false,75625,76561198060172237,[U:1:99906509],
2015-03-27,07:53.19,j jiggy,jump_steak_a2,WR,MapRecord,,-02:58.07,,false,75625,76561198055778722,[U:1:95512994],
2015-03-27,10:51.27,Joji,jump_steak_a2,WR,IRCSet,,,,false,75625,76561198060172237,[U:1:99906509],
2015-03-27,00:02.15,func,jump_steak_a2,WR,Bonus 5,,-00:00.07,00:00.36,false,75632,76561198088581265,[U:1:128315537],
2015-03-27,00:02.23,tu tu ruu :3,jump_steak_a2,WR,Bonus 5,,-00:00.10,00:00.10,false,75632,76561198035188834,[U:1:74923106],
2015-03-27,00:02.33,tu tu ruu :3,jump_steak_a2,WR,Bonus 5,,-00:00.09,00:00.09,false,75632,76561198035188834,[U:1:74923106],
2015-03-27,00:02.42,tu tu ruu :3,jump_steak_a2,WR,Bonus 5,,-00:00.18,00:00.29,false,75632,76561198035188834,[U:1:74923106],
2015-03-27,00:02.60,func,jump_steak_a2,WR,Bonus 5,,-00:00.10,00:00.12,false,75632,76561198088581265,[U:1:128315537],
2015-03-27,00:02.71,Gebobus,jump_steak_a2,WR,Bonus 5,,-00:00.00,00:00.14,false,75632,76561198044263100,[U:1:83997372],
2015-03-27,00:02.72,tu tu ruu :3,jump_steak_a2,WR,Bonus 5,,-00:00.02,00:00.02,false,75632,76561198035188834,[U:1:74923106],
2015-03-27,00:02.74,tu tu ruu :3,jump_steak_a2,WR,Bonus 5,,-00:00.11,00:00.16,false,75632,76561198035188834,[U:1:74923106],
2015-03-27,00:02.86,Gebobus,jump_steak_a2,WR,Bonus 5,,-00:00.04,,false,75632,76561198044263100,[U:1:83997372],
2015-03-27,00:02.90,tu tu ruu :3,jump_steak_a2,WR,Bonus 5,,-00:00.40,00:00.40,false,75632,76561198035188834,[U:1:74923106],
2015-03-27,00:03.31,tu tu ruu :3,jump_steak_a2,WR,Bonus 5,,-00:00.34,00:00.34,false,75632,76561198035188834,[U:1:74923106],
2015-03-27,00:03.65,tu tu ruu :3,jump_steak_a2,WR,Bonus 5,,-00:00.79,,false,75632,76561198035188834,[U:1:74923106],
2015-03-27,00:04.45,QuBA,jump_steak_a2,WR,Bonus 5 First,,,,false,75632,76561198018328694,[U:1:58062966],
2015-03-27,00:05.01,Gebobus,jump_steak_a2,WR,Bonus 3,,-00:04.05,00:09.12,false,75632,76561198044263100,[U:1:83997372],
2015-03-27,00:05.96,Arc,jump_steak_a2,WR,Bonus 2,,-00:00.70,,false,75632,76561198000622975,[U:1:40357247],
2015-03-27,00:06.68,func,jump_steak_a2,WR,Bonus 1,,-00:01.22,00:01.22,false,75632,76561198088581265,[U:1:128315537],
2015-03-27,00:07.56,tu tu ruu :3,jump_steak_a2,WR,Bonus 2,,-00:04.19,,false,75632,76561198035188834,[U:1:74923106],
2015-03-27,00:07.91,func,jump_steak_a2,WR,Bonus 1,,-00:00.67,00:00.67,false,75632,76561198088581265,[U:1:128315537],
2015-03-27,00:08.59,func,jump_steak_a2,WR,Bonus 1,,-00:00.14,00:02.76,false,75632,76561198088581265,[U:1:128315537],
2015-03-27,00:08.89,Gebobus,jump_steak_a2,WR,Bonus 1,,-00:01.35,,false,75632,76561198044263100,[U:1:83997372],
2015-03-27,00:09.07,func,jump_steak_a2,WR,Bonus 3,,-00:01.02,00:04.82,false,75632,76561198088581265,[U:1:128315537],
2015-03-27,00:10.09,QuBA,jump_steak_a2,WR,Bonus 3 First,,,,false,75632,76561198018328694,[U:1:58062966],
2015-03-27,00:10.24,tu tu ruu :3,jump_steak_a2,WR,Bonus 1,,-00:00.61,00:00.61,false,75632,76561198035188834,[U:1:74923106],
2015-03-27,00:10.85,tu tu ruu :3,jump_steak_a2,WR,Bonus 1,,-00:03.50,,false,75632,76561198035188834,[U:1:74923106],
2015-03-27,00:11.75,QuBA,jump_steak_a2,WR,Bonus 2 First,,,,false,75632,76561198018328694,[U:1:58062966],
2015-03-27,00:14.36,func,jump_steak_a2,WR,Bonus 1,,-00:04.52,00:06.51,false,75632,76561198088581265,[U:1:128315537],
2015-03-27,00:16.85,j jiggy,jump_steak_a2,WR,Course 2,,,,false,75632,76561198055778722,[U:1:95512994],
2015-03-27,00:17.50,Gebobus,jump_steak_a2,WR,Course 2,,-00:00.07,00:00.96,false,75632,76561198044263100,[U:1:83997372],
2015-03-27,00:19.85,Gebobus,jump_steak_a2,WR,Course 2,,-00:01.32,00:15.04,false,75632,76561198044263100,[U:1:83997372],
2015-03-27,00:20.86,Gebobus,jump_steak_a2,WR,Course 1,,-00:03.51,00:03.51,false,75632,76561198044263100,[U:1:83997372],
2015-03-27,00:24.37,Gebobus,jump_steak_a2,WR,Course 1,,-00:01.11,00:07.63,false,75632,76561198044263100,[U:1:83997372],
2015-03-27,00:55.48,Gebobus,jump_steak_a2,WR,Course 4,,-00:29.15,01:06.83,false,75632,76561198044263100,[U:1:83997372],
2015-03-27,00:57.02,Gebobus,jump_steak_a2,WR,Course 3,,-00:02.04,00:02.62,false,75632,76561198044263100,[U:1:83997372],
2015-03-27,01:04.33,Gebobus,jump_steak_a2,WR,Bonus 4,,-00:06.07,,false,75632,76561198044263100,[U:1:83997372],
2015-03-27,01:10.41,func,jump_steak_a2,WR,Bonus 4,,-00:25.58,,false,75632,76561198088581265,[U:1:128315537],
2015-03-27,01:24.64,func,jump_steak_a2,WR,Course 4,,-00:26.04,00:26.04,false,75632,76561198088581265,[U:1:128315537],
2015-03-27,01:35.99,QuBA,jump_steak_a2,WR,Bonus 4 First,,,,false,75632,76561198018328694,[U:1:58062966],
2015-03-27,01:50.69,func,jump_steak_a2,WR,Course 4,,-00:06.47,01:14.88,false,75632,76561198088581265,[U:1:128315537],
2015-03-27,04:34.38,j jiggy,jump_steak_a2,WR,IRC,,-02:55.21,,false,75632,76561198055778722,[U:1:95512994],
2015-03-27,04:34.38,Gebobus,jump_steak_a2,WR,MapRun,04:58.07,+00:23.69,,true,75632,76561198044263100,[U:1:83997372],
2015-03-27,04:34.38,Sir Nukeman -hh,jump_steak_a2,WR,MapRun,26:52.25,+22:17.87,,true,75632,76561198140826293,[U:1:180560565],
2015-03-27,04:34.38,func,jump_steak_a2,WR,MapRun,05:12.08,+00:37.70,02:19.52,true,75632,76561198088581265,[U:1:128315537],
2015-03-27,04:34.38,func,jump_steak_a2,WR,MapRun,07:31.61,+02:57.23,00:04.20,true,75632,76561198088581265,[U:1:128315537],
2015-03-27,04:34.38,func,jump_steak_a2,WR,MapRun,08:58.01,+04:23.63,,true,75632,76561198088581265,[U:1:128315537],
2015-03-27,04:34.39,Arc,jump_steak_a2,WR,MapRun,20:58.18,+16:23.79,,true,75632,76561198000622975,[U:1:40357247],
2015-03-27,04:34.39,Cool Down,jump_steak_a2,WR,MapRun,15:48.94,+11:14.55,,true,75632,76561198059798346,[U:1:99532618],
2015-03-27,04:34.39,Maito-Pietu,jump_steak_a2,WR,MapRun,16:35.52,+12:01.13,,true,75632,76561198067831006,[U:1:107565278],
2015-03-27,04:34.39,QuBA,jump_steak_a2,WR,MapRun,11:45.49,+07:11.10,,true,75632,76561198018328694,[U:1:58062966],
2015-03-27,04:34.39,Shifty,jump_steak_a2,WR,MapRun,25:29.59,+20:55.20,,true,75632,76561198013476484,[U:1:53210756],
2015-03-27,04:34.39,ThriLLseeka`,jump_steak_a2,WR,MapRun,11:46.74,+07:12.35,,true,75632,76561197960298433,[U:1:32705],
2015-03-27,04:34.39,Tyrael,jump_steak_a2,WR,MapRun,27:29.80,+22:55.41,,true,75632,76561198033448408,[U:1:73182680],
2015-03-27,04:34.39,func,jump_steak_a2,WR,MapRun,05:44.33,+01:09.94,,true,75632,76561198088581265,[U:1:128315537],
2015-03-27,04:34.39,func,jump_steak_a2,WR,MapRun,07:35.82,+03:01.43,01:22.19,true,75632,76561198088581265,[U:1:128315537],
2015-03-27,07:29.60,Joji,jump_steak_a2,WR,IRC,,-00:23.59,,false,75632,76561198060172237,[U:1:99906509],
2015-03-28,04:25.00,func,jump_steak_a2,WR,MapRecord,,-00:09.38,00:13.28,false,76156,76561198088581265,[U:1:128315537],
2015-03-28,04:25.00,butch,jump_steak_a2,WR,MapRun,17:10.69,+12:45.69,,true,76156,76561197976728947,[U:1:16463219],
2015-03-29,03:11.30,j jiggy,jump_steak_a2,WR,IRC,,-01:13.69,,false,76382,,,
2015-03-29,03:11.30,j jiggy,jump_steak_a2,WR,MapRecord,,-01:13.69,01:23.08,false,76408,76561198055778722,[U:1:95512994],
2015-05-22,00:40.72,jondeasy,jump_steak_a2,WR,Bonus 4,,-00:05.97,00:13.22,false,96649,76561198055778722,[U:1:95512994],
2015-06-08,03:11.31,mannerism,jump_steak_a2,WR,MapRun,20:05.98,+16:54.67,,true,103902,76561197993416444,[U:1:33150716],
