date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2018-09-19,01:42.46,vice,jump_stleganickling_v1,WR,IRC,,-00:12.67,,false,766354,,,
2018-09-19,01:55.13,vice,jump_stleganickling_v1,WR,IRC,,-00:00.01,,false,766354,,,
2018-09-19,01:55.15,vice,jump_stleganickling_v1,WR,IRC,,-00:08.31,,false,766354,,,
2018-09-19,02:03.46,vice,jump_stleganickling_v1,WR,IRC,,-00:21.19,,false,766354,,,
2018-09-19,02:24.66,๖ۣۜSimonۣۜ,jump_stleganickling_v1,WR,IRC,,-00:02.42,,false,766354,,,
2018-09-19,02:27.08,vice,jump_stleganickling_v1,WR,IRC,,-00:27.37,,false,766354,,,
2018-09-19,02:54.46,deceptive117,jump_stleganickling_v1,WR,IRC,,-01:17.68,,false,766354,,,
2018-09-19,04:12.15,deceptive117,jump_stleganickling_v1,WR,IRC,,-01:49.88,,false,766354,,,
2018-09-19,06:02.03,vice,jump_stleganickling_v1,WR,IRCSet,,,,false,766354,,,
2018-09-19,01:42.46,vice,jump_stleganickling_v1,WR,MapRecord,,-00:12.67,00:12.67,false,766367,76561198366368448,[U:1:406102720],
2018-09-19,01:55.13,vice,jump_stleganickling_v1,WR,MapRecord,,-00:00.01,00:00.01,false,766367,76561198366368448,[U:1:406102720],
2018-09-19,01:55.15,vice,jump_stleganickling_v1,WR,MapRecord,,-00:08.31,00:08.31,false,766367,76561198366368448,[U:1:406102720],
2018-09-19,02:03.46,vice,jump_stleganickling_v1,WR,MapRecord,,-00:21.19,00:23.62,false,766367,76561198366368448,[U:1:406102720],
2018-09-19,02:24.66,๖ۣۜSimonۣۜ,jump_stleganickling_v1,WR,IRC,,-00:02.42,,false,766367,,,
2018-09-19,02:27.08,vice,jump_stleganickling_v1,WR,MapRecord,,-00:27.37,03:34.95,false,766367,76561198366368448,[U:1:406102720],
2018-09-19,02:54.46,deceptive117,jump_stleganickling_v1,WR,MapRecord,,-01:17.68,01:17.68,false,766367,76561198281755237,[U:1:321489509],
2018-09-19,04:12.15,deceptive117,jump_stleganickling_v1,WR,MapRecord,,-01:49.88,,false,766367,76561198281755237,[U:1:321489509],
2018-09-19,06:02.03,vice,jump_stleganickling_v1,WR,FirstRecord,,,,false,766367,76561198366368448,[U:1:406102720],
2018-09-19,01:42.46,vice,jump_stleganickling_v1,WR,IRC,,-00:12.67,,false,766373,76561198366368448,[U:1:406102720],
2018-09-19,01:55.13,vice,jump_stleganickling_v1,WR,IRC,,-00:00.01,,false,766373,76561198366368448,[U:1:406102720],
2018-09-19,01:55.15,vice,jump_stleganickling_v1,WR,IRC,,-00:08.31,,false,766373,76561198366368448,[U:1:406102720],
2018-09-19,02:03.46,vice,jump_stleganickling_v1,WR,IRC,,-00:21.19,,false,766373,76561198366368448,[U:1:406102720],
2018-09-19,02:24.66,๖ۣۜSimonۣۜ,jump_stleganickling_v1,WR,IRC,,-00:02.42,,false,766373,,,
2018-09-19,02:27.08,vice,jump_stleganickling_v1,WR,IRC,,-00:27.37,,false,766373,76561198366368448,[U:1:406102720],
2018-09-19,02:54.46,deceptive117,jump_stleganickling_v1,WR,IRC,,-01:17.68,,false,766373,,,
2018-09-19,04:12.15,deceptive117,jump_stleganickling_v1,WR,IRC,,-01:49.88,,false,766373,,,
2018-09-19,01:42.46,vice,jump_stleganickling_v1,WR,Compact,,,,false,766384,,,
2018-09-19,01:42.46,vice,jump_stleganickling_v1,WR,IRC,,-00:12.67,,false,766384,,,
2018-09-19,01:55.13,vice,jump_stleganickling_v1,WR,IRC,,-00:00.01,,false,766384,,,
