date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2018-02-08,04:32.54,Larry,jump_storm_final,WR,MapRecord,,-00:09.28,00:50.29,false,572118,76561198060570011,[U:1:100304283],
2018-02-08,04:16.54,Boshy,jump_storm_final,WR,MapRecord,,-00:16.00,00:25.28,false,572132,76561198046601398,[U:1:86335670],
2018-02-08,04:32.54,Larry,jump_storm_final,WR,Compact,,,,false,572132,,,
2018-11-27,03:43.49,Boshy,jump_storm_final,WR,MapRecord,,-00:25.19,00:25.19,false,826747,76561198046601398,[U:1:86335670],
2018-11-27,04:08.69,Boshy,jump_storm_final,WR,MapRecord,,-00:06.21,00:07.84,false,826747,76561198046601398,[U:1:86335670],
2021-03-12,03:38.94,Bangarang,jump_storm_final,WR,MapRecord,,-00:04.55,00:14.73,false,1533193,76561198152618680,[U:1:192352952],
2021-03-12,03:43.49,Boshy,jump_storm_final,WR,Compact,,,,false,1533193,,,
2021-03-12,03:38.94,Bangarang,jump_storm_final,WR,IRC,,-00:04.55,,false,1533229,,,
2021-03-12,03:38.94,Bangarang,jump_storm_final,WR,IRC,,-00:04.55,,false,1533230,76561198152618680,[U:1:192352952],
2022-06-23,03:32.94,intellegint genu,jump_storm_final,WR,IRC,,-00:05.34,,false,1984382,,,
2022-06-23,03:32.94,intellegint genu,jump_storm_final,WR,MapRecord,,-00:05.34,40:24.97,false,1984393,,,
2023-04-10,03:32.94,poco hayer,jump_storm_final,WR,Compact,,,,false,2268966,,,
2023-12-24,03:23.83,speedyll,jump_storm_final,WR,Compact,,,,false,2652806,76561198207307879,[U:1:247042151],
2024-02-06,03:22.44,devil my cry da,jump_storm_final,WR,MapRun,19:11.05,+15:48.61,,true,2720097,,,
2024-09-18,03:21.97,zyaquix,jump_storm_final,WR,Compact,,,,false,3046173,76561199068020903,[U:1:1107755175],
2024-09-18,03:21.98,Seb,jump_storm_final,WR,MapRun,13:11.13,+09:49.15,,true,3046173,76561198102565329,[U:1:142299601],
2024-09-19,03:18.74,rabbit,jump_storm_final,WR,MapRun,32:43.92,+29:25.18,,true,3047144,76561198120898870,[U:1:160633142],
2024-10-18,03:17.67,Ice Cold Killa,jump_storm_final,WR,MapRun,25:05.88,+21:48.21,,true,3089612,76561197992020319,[U:1:31754591],
2025-04-15,03:17.67,zyaquix,jump_storm_final,WR,Compact,,,,false,3277506,,,
2025-09-12,03:17.67,zyaquix,jump_storm_final,WR,Compact,,,,false,3489810,,,
2025-12-31,03:12.80,Tony,jump_storm_final,WR,MapRun,39:15.82,+36:03.02,,true,3697806,76561198435239208,[U:1:474973480],
