date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2018-01-06,00:49.57,jichu,jump_straight,WR,Map,record,map_record,,-00:08.12,00:08.12,545270,76561198152617188,[U:1:192351460],
2018-01-06,00:10.18,jichu,jump_straight,WR,Course 1,record,zone_record,,-00:00.21,00:00.21,545270,76561198152617188,[U:1:192351460],
2018-02-26,00:49.28,killmonger,jump_straight,WR,Map,record,map_record,,-00:00.28,00:00.32,586091,76561197960496196,[U:1:230468],
2018-09-03,00:48.82,kater ツ,jump_straight,WR,Map,record,map_record,,-00:00.46,00:01.00,751627,76561198222006144,[U:1:261740416],
2018-09-03,00:10.33,kater ツ,jump_straight,WR,Course 3,record,zone_record,,-00:00.05,00:00.19,751627,76561198222006144,[U:1:261740416],
2018-09-03,00:08.86,kater ツ,jump_straight,WR,Course 2,record,zone_record,,-00:00.01,00:00.06,751627,76561198222006144,[U:1:261740416],
2018-09-07,00:10.04,vice,jump_straight,WR,Course 1,record,zone_record,,-00:00.04,00:00.04,754734,76561198366368448,[U:1:406102720],
2018-09-07,00:48.74,vice,jump_straight,WR,Map,record,map_record,,-00:00.07,00:00.37,754734,76561198366368448,[U:1:406102720],
2018-11-27,00:10.04,vice,jump_straight,WR,Course 3,record,zone_record,,-00:00.18,00:00.24,826635,76561198366368448,[U:1:406102720],
2019-04-05,00:10.03,kater,jump_straight,WR,Course 3,record,zone_record,,-00:00.01,00:00.12,932196,76561198222006144,[U:1:261740416],
2019-04-05,00:48.46,kater,jump_straight,WR,Map,record,map_record,,-00:00.28,00:00.36,932196,76561198222006144,[U:1:261740416],
2019-04-05,00:10.02,kater,jump_straight,WR,Course 1,record,zone_record,,-00:00.02,00:00.04,932196,76561198222006144,[U:1:261740416],
2019-04-07,00:47.68,vice,jump_straight,WR,Map,record,map_record,,-00:00.78,00:01.06,933828,76561198366368448,[U:1:406102720],
2019-04-07,00:09.96,vice,jump_straight,WR,Course 3,record,zone_record,,-00:00.07,00:00.08,933828,76561198366368448,[U:1:406102720],
2019-05-02,00:47.31,cander,jump_straight,WR,Map,record,map_record,,-00:00.37,00:01.48,953434,76561198318722879,[U:1:358457151],
2019-05-03,00:45.72,vice,jump_straight,WR,Map,record,map_record,,-00:01.59,00:01.96,954227,76561198366368448,[U:1:406102720],
2019-05-03,00:08.82,vice,jump_straight,WR,Course 2,record,zone_record,,-00:00.04,00:00.17,954227,76561198366368448,[U:1:406102720],
2019-11-10,00:09.94,wifi net ุ ุ,jump_straight,WR,Course 3,record,zone_record,,-00:00.01,00:00.10,1099842,,,
2019-11-10,00:09.77,LETS GO CHAMP,jump_straight,WR,Course 3,record,zone_record,,-00:00.16,00:00.17,1100130,76561198366368448,[U:1:406102720],
2020-06-06,00:08.77,7^ุ,jump_straight,WR,Course 2,record,zone_record,,-00:00.04,00:00.07,1268746,76561198318722879,[U:1:358457151],
2020-06-06,00:09.80,song,jump_straight,WR,Course 1,record,zone_record,,-00:00.02,00:00.10,1268773,76561198210286877,[U:1:250021149],
2020-06-06,00:44.35,song,jump_straight,WR,Map,record,map_record,,-00:01.36,00:04.60,1268773,76561198210286877,[U:1:250021149],
2020-10-03,00:09.76,cander,jump_straight,WR,Course 1,record,zone_record,,-00:00.04,00:00.15,1376496,76561198318722879,[U:1:358457151],
2020-10-03,00:09.64,cander,jump_straight,WR,Course 1,record,zone_record,,-00:00.12,00:00.12,1376496,76561198318722879,[U:1:358457151],
2020-10-03,00:09.55,song,jump_straight,WR,Course 1,record,zone_record,,-00:00.09,00:00.10,1376735,76561198210286877,[U:1:250021149],
2020-11-18,00:09.75,cander,jump_straight,WR,Course 3,record,zone_record,,-00:00.03,00:00.03,1421497,76561198318722879,[U:1:358457151],
2021-06-11,00:09.54,song,jump_straight,WR,Course 1,record,zone_record,,-00:00.10,00:00.37,1610649,76561198210286877,[U:1:250021149],
2022-09-06,00:44.34,cander,jump_straight,WR,Map,record,map_record,,-00:01.38,00:02.97,2048677,76561198318722879,[U:1:358457151],
2022-09-06,00:09.51,cander,jump_straight,WR,Course 1,record,zone_record,,-00:00.03,00:00.10,2048677,76561198318722879,[U:1:358457151],
