date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2018-01-06,01:06.81,unknown,jump_straight,WR,Map,observed,wr_split,,,,,,,
2018-09-03,00:10.55,vete,jump_straight,WR,Course 2,record,zone_record,,-00:00.07,00:00.40,751627,76561198063901478,[U:1:103635750],
2018-09-03,00:10.43,vete,jump_straight,WR,Course 2,record,zone_record,,-00:00.12,00:00.12,751627,76561198063901478,[U:1:103635750],
2018-09-03,00:15.08,Boshy,jump_straight,WR,Course 1,command,wr_command,,,,,,,
2018-09-03,00:14.88,vete,jump_straight,WR,Course 1,record,zone_record,,-00:00.20,00:00.80,751627,76561198063901478,[U:1:103635750],
2018-09-03,00:14.49,vete,jump_straight,WR,Course 1,record,zone_record,,-00:00.38,00:00.38,751627,76561198063901478,[U:1:103635750],
2018-09-03,01:06.80,Boshy,jump_straight,WR,Map,command,wr_command,,,,,76561198046601398,[U:1:86335670],
2018-09-03,00:10.30,Boshy,jump_straight,WR,Course 2,record,zone_record,,-00:00.13,00:00.32,751791,76561198046601398,[U:1:86335670],
2018-09-03,00:13.92,Boshy,jump_straight,WR,Course 1,record,zone_record,,-00:00.57,00:00.81,751909,76561198046601398,[U:1:86335670],
2018-09-04,01:03.09,Boshy,jump_straight,WR,Map,record,map_record,,-00:03.71,00:03.71,752387,76561198046601398,[U:1:86335670],
2019-05-01,00:12.10,Madeline,jump_straight,WR,Course 3,record,zone_record,,-00:00.33,00:00.63,952893,76561198046601398,[U:1:86335670],
2020-11-17,01:01.83,Rellort,jump_straight,WR,Map,record,map_record,,-00:01.26,00:12.04,1420906,76561198090668406,[U:1:130402678],
2020-11-17,00:58.29,Boshy,jump_straight,WR,Map,record,map_record,,-00:03.54,00:04.80,1420916,76561198046601398,[U:1:86335670],
2020-11-17,00:55.17,Boshy,jump_straight,WR,Map,record,map_record,,-00:03.12,00:03.12,1420916,76561198046601398,[U:1:86335670],
