date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2014-07-13,03:10.91,kil boy 1,jump_style,WR,MapRecord,,-02:23.59,,false,10601,76561198040983512,STEAM_0:0:40358892,
2014-07-30,02:47.21,-cody_dolphin,jump_style,WR,MapRecord,,-00:23.69,01:01.86,false,12983,76561198078488228,STEAM_0:0:59111250,
2015-03-25,02:39.56,Soup Can,jump_style,WR,MapRecord,,-00:07.65,00:10.72,false,74927,76561198029285343,[U:1:69019615],
2018-01-23,01:58.58,nygaard,jump_style,WR,MapRecord,,-00:02.02,00:02.02,false,558706,76561198029285343,[U:1:69019615],
2018-01-23,01:58.58,nygaard,jump_style,WR,IRC,,-00:02.02,,false,558767,76561198029285343,[U:1:69019615],
2018-01-24,01:58.58,Soup,jump_style,WR,Compact,,,,false,559197,,,
2018-12-07,01:58.52,Boshy,jump_style,WR,MapRecord,,-00:00.05,00:16.13,false,834933,76561198046601398,[U:1:86335670],
2019-03-15,01:58.35,Soup -tt,jump_style,WR,MapRecord,,-00:00.17,00:00.23,false,915901,76561198029285343,[U:1:69019615],
2019-03-16,01:51.79,Soup -tt,jump_style,WR,MapRecord,,-00:01.06,00:01.06,false,915934,76561198029285343,[U:1:69019615],
2019-03-16,01:52.86,Soup -tt,jump_style,WR,MapRecord,,-00:05.49,00:05.49,false,915934,76561198029285343,[U:1:69019615],
2022-06-21,01:51.13,Matty,jump_style,WR,MapRecord,,-00:00.66,00:03.85,false,1982116,76561198035204545,[U:1:74938817],
2022-07-08,01:47.08,soup -tt,jump_style,WR,IRC,,-00:04.05,,false,1994643,,,
2022-07-08,01:47.08,soup -tt,jump_style,WR,IRC,,-00:04.05,,false,1994778,,,
2022-07-08,01:47.08,soup -tt,jump_style,WR,MapRecord,,-00:04.05,00:04.71,false,1994854,76561198029285343,[U:1:69019615],
2024-04-14,01:47.08,suh,jump_style,WR,Compact,,,,false,2817109,,,
2024-07-20,01:46.57,b4sedhk,jump_style,WR,IRC,,-00:00.51,,false,2956621,,,
2024-07-20,01:46.57,b4sedhk,jump_style,WR,MapRecord,,-00:00.51,00:01.02,false,2956529,76561198831069486,[U:1:870803758],
2024-07-20,01:46.57,b4sedhk,jump_style,WR,IRC,,-00:00.51,,false,2956606,,,
2024-07-20,01:46.57,b4sedhk,jump_style,WR,IRC,,-00:00.51,,false,2956602,,,
2024-07-20,01:46.57,b4sedhk,jump_style,WR,IRC,,-00:00.51,,false,2956511,,,
2024-07-20,01:46.57,b4sedhk,jump_style,WR,IRC,,-00:00.51,,false,2956581,76561198831069486,[U:1:870803758],
2024-07-20,01:46.57,b4sedhk,jump_style,WR,IRC,,-00:00.51,,false,2956614,76561198831069486,[U:1:870803758],
2024-12-23,01:46.57,free thinker,jump_style,WR,Compact,,,,false,3186937,,,
2025-12-31,01:46.58,pregnantnetanyah,jump_style,WR,Compact,,,,false,3698403,,,
2026-01-19,01:46.58,lowkirkentologic,jump_style,WR,Compact,,,,false,3721794,,,
