date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2021-05-28,09:42.40,phancy,jump_sucks,WR,Map,record,first_record,,,,1599997,76561198116189732,[U:1:155924004],
2021-05-28,00:05.89,phancy,jump_sucks,WR,Bonus 1,record,zone_first,,,,1599997,76561198116189732,[U:1:155924004],
2021-05-28,00:05.50,phancy,jump_sucks,WR,Bonus 2,record,zone_first,,,,1599997,76561198116189732,[U:1:155924004],
2021-05-28,00:04.54,phancy,jump_sucks,WR,Bonus 2,record,zone_record,,-00:00.96,00:00.96,1599997,76561198116189732,[U:1:155924004],
2021-05-28,00:21.07,phancy,jump_sucks,WR,Bonus 3,record,zone_first,,,,1599997,76561198116189732,[U:1:155924004],
2021-05-28,00:05.35,phancy,jump_sucks,WR,Bonus 4,record,zone_first,,,,1599997,76561198116189732,[U:1:155924004],
2021-05-28,00:07.96,phancy,jump_sucks,WR,Bonus 5,record,zone_first,,,,1599997,76561198116189732,[U:1:155924004],
2021-05-28,00:04.17,phancy,jump_sucks,WR,Bonus 2,record,zone_record,,-00:00.37,00:00.37,1599997,76561198116189732,[U:1:155924004],
2021-05-28,00:04.09,phancy,jump_sucks,WR,Bonus 2,record,zone_record,,-00:00.07,00:00.07,1599997,76561198116189732,[U:1:155924004],
2021-05-28,00:03.87,phancy,jump_sucks,WR,Bonus 2,record,zone_record,,-00:00.22,00:00.22,1599997,76561198116189732,[U:1:155924004],
2021-05-28,00:03.46,phancy,jump_sucks,WR,Bonus 4,record,zone_record,,-00:01.89,00:01.89,1599997,76561198116189732,[U:1:155924004],
2021-05-28,00:04.47,phancy,jump_sucks,WR,Bonus 1,record,zone_record,,-00:01.42,00:01.42,1599997,76561198116189732,[U:1:155924004],
2021-05-28,07:01.45,phancy,jump_sucks,WR,Map,record,map_record,,-02:40.95,02:40.95,1599997,76561198116189732,[U:1:155924004],
2021-05-28,00:03.57,Waldo,jump_sucks,WR,Bonus 1,record,zone_record,,-00:00.06,00:00.06,1600022,76561198020256631,[U:1:59990903],
2021-05-28,00:03.45,Waldo,jump_sucks,WR,Bonus 2,record,zone_record,,-00:00.19,00:00.19,1600022,76561198020256631,[U:1:59990903],
2021-05-28,00:12.34,Waldo,jump_sucks,WR,Bonus 3,record,zone_record,,-00:01.71,00:01.71,1600022,76561198020256631,[U:1:59990903],
2021-05-28,00:02.80,Waldo,jump_sucks,WR,Bonus 4,record,zone_record,,-00:01.39,00:01.39,1600022,76561198020256631,[U:1:59990903],
2021-05-28,00:02.71,Waldo,jump_sucks,WR,Bonus 4,record,zone_record,,-00:00.09,00:00.09,1600022,76561198020256631,[U:1:59990903],
2021-05-28,00:02.56,Waldo,jump_sucks,WR,Bonus 5,record,zone_record,,-00:00.52,00:00.52,1600022,76561198020256631,[U:1:59990903],
2021-05-28,00:03.21,Waldo,jump_sucks,WR,Bonus 1,record,zone_record,,-00:00.25,00:00.25,1600022,76561198020256631,[U:1:59990903],
2021-05-28,00:12.06,Waldo,jump_sucks,WR,Bonus 3,record,zone_record,,-00:00.13,00:00.13,1600022,76561198020256631,[U:1:59990903],
2021-05-28,00:11.91,Waldo,jump_sucks,WR,Bonus 3,record,zone_record,,-00:00.15,00:00.15,1600022,76561198020256631,[U:1:59990903],
2021-05-29,00:11.82,cander,jump_sucks,WR,Bonus 3,record,zone_record,,-00:00.09,00:00.13,1600236,76561198318722879,[U:1:358457151],
2021-05-29,00:11.79,cander,jump_sucks,WR,Bonus 3,record,zone_record,,-00:00.03,00:00.03,1600236,76561198318722879,[U:1:358457151],
2021-05-29,00:11.71,cander,jump_sucks,WR,Bonus 3,record,zone_record,,-00:00.07,00:00.07,1600236,76561198318722879,[U:1:358457151],
2021-05-29,00:02.62,cander,jump_sucks,WR,Bonus 4,record,zone_record,,-00:00.09,00:00.12,1600236,76561198318722879,[U:1:358457151],
