date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2021-05-28,41:51.30,Zyphon,jump_sucks,WR,Map,record,first_record,,,,1599997,76561198082664774,[U:1:122399046],
2021-05-28,39:04.41,cat,jump_sucks,WR,Map,record,map_record,,-02:46.89,,1600015,76561198104339190,[U:1:144073462],
2021-05-28,20:19.09,nevos,jump_sucks,WR,Map,announcement,irc,,-18:45.31,,,76561198133103832,[U:1:172838104],
2021-05-28,00:08.91,sgt Bytheway,jump_sucks,WR,Bonus 2,record,zone_first,,,,1599997,76561198094169965,[U:1:133904237],
2021-05-28,00:31.32,sgt Bytheway,jump_sucks,WR,Bonus 4,record,zone_first,,,,1599997,76561198094169965,[U:1:133904237],
2021-05-28,00:20.28,Warped,jump_sucks,WR,Bonus 1,record,zone_first,,,,1599997,76561197989916494,[U:1:29650766],
2021-05-28,00:25.18,Zyphon,jump_sucks,WR,Bonus 3,record,zone_first,,,,1599997,76561198082664774,[U:1:122399046],
2021-05-28,00:25.81,maxxy,jump_sucks,WR,Bonus 4,record,zone_record,,-00:05.50,,1599997,76561198083235528,[U:1:122969800],
2021-05-28,00:15.01,sgt Bytheway,jump_sucks,WR,Bonus 1,record,zone_record,,-00:05.26,,1599997,76561198094169965,[U:1:133904237],
2021-05-28,11:43.18,nevos,jump_sucks,WR,Map,record,map_record,,-05:55.63,08:35.91,1599997,76561198133103832,[U:1:172838104],
2021-05-28,00:07.95,im stuck in a dy,jump_sucks,WR,Bonus 2,record,zone_record,,-00:00.01,,1599997,,,
2021-05-28,00:07.12,im stuck in a dy,jump_sucks,WR,Bonus 2,record,zone_record,,-00:00.82,00:00.82,1599997,,,
2021-05-28,00:04.03,im stuck in a dy,jump_sucks,WR,Bonus 2,record,zone_record,,-00:03.09,00:03.09,1599997,,,
2021-05-28,00:10.84,im stuck in a dy,jump_sucks,WR,Bonus 1,record,zone_record,,-00:04.17,00:05.04,1599997,,,
2021-05-28,00:35.86,tripbwai,jump_sucks,WR,Bonus 5,record,zone_first,,,,1600022,76561198109904512,[U:1:149638784],
2021-05-29,00:16.81,maxxy,jump_sucks,WR,Bonus 4,record,zone_record,,-00:00.01,00:01.26,1600327,76561198083235528,[U:1:122969800],
2021-05-29,00:13.45,maxxy,jump_sucks,WR,Bonus 4,record,zone_record,,-00:03.36,00:03.36,1600327,76561198083235528,[U:1:122969800],
2021-05-29,00:13.30,maxxy,jump_sucks,WR,Bonus 4,record,zone_record,,-00:00.15,00:00.15,1600327,76561198083235528,[U:1:122969800],
2021-05-29,00:13.14,maxxy,jump_sucks,WR,Bonus 4,record,zone_record,,-00:00.16,00:00.16,1600427,76561198083235528,[U:1:122969800],
2021-05-29,00:12.93,maxxy,jump_sucks,WR,Bonus 4,record,zone_record,,-00:00.21,00:00.21,1600427,76561198083235528,[U:1:122969800],
2021-05-29,11:09.72,0,jump_sucks,WR,Map,record,map_record,,-00:33.46,20:16.81,1600584,76561198066947056,[U:1:106681328],
2021-05-29,00:12.78,maxxy,jump_sucks,WR,Bonus 4,record,zone_record,,-00:00.15,00:00.15,1600427,76561198083235528,[U:1:122969800],
2021-05-29,00:12.60,maxxy,jump_sucks,WR,Bonus 4,record,zone_record,,-00:00.18,00:00.18,1600427,76561198083235528,[U:1:122969800],
2021-05-29,10:13.77,Karmac,jump_sucks,WR,Map,observed,wr_split,,,,,76561197998047965,[U:1:37782237],
2021-05-29,00:32.49,juup -rng,jump_sucks,WR,Bonus 5,record,zone_record,,-00:01.90,,1600522,76561198243952326,[U:1:283686598],
2021-05-30,09:29.89,DillerMcFiller,jump_sucks,WR,Map,record,map_record,,-00:43.87,00:52.23,1600969,76561198040963460,[U:1:80697732],
2021-06-04,08:41.71,sx86 -gnr #bigsu,jump_sucks,WR,Map,command,wr_command,,,,,,,
2021-06-11,07:50.70,Betteroffx,jump_sucks,WR,Map,announcement,irc,,-00:51.01,,,76561198111359203,[U:1:151093475],
2021-07-31,00:10.53,Warped,jump_sucks,WR,Bonus 1,command,wr_command,,,,,,,
2021-07-31,00:12.58,💗 ⁧⁧ Meti,jump_sucks,WR,Bonus 4,record,zone_record,,-00:00.01,00:00.52,1653217,76561198096749316,[U:1:136483588],
2021-07-31,00:12.45,💗 ⁧⁧ Meti,jump_sucks,WR,Bonus 4,record,zone_record,,-00:00.13,00:00.13,1653217,76561198096749316,[U:1:136483588],
2021-07-31,00:12.25,💗 ⁧⁧ Meti,jump_sucks,WR,Bonus 4,record,zone_record,,-00:00.19,00:00.19,1653217,76561198096749316,[U:1:136483588],
2021-07-31,00:12.19,mr pingus,jump_sucks,WR,Bonus 4,record,zone_record,,-00:00.06,00:00.16,1653455,76561198083235528,[U:1:122969800],
2021-07-31,00:12.18,mr pingus,jump_sucks,WR,Bonus 4,record,zone_record,,-00:00.01,00:00.01,1653455,76561198083235528,[U:1:122969800],
2022-05-08,07:43.75,D o m e,jump_sucks,WR,Map,record,map_record,,-00:06.94,00:35.31,1941759,76561199278225627,[U:1:1317959899],
2022-06-14,00:18.51,Judy Hopps ๑,jump_sucks,WR,Bonus 3,record,zone_record,,-00:00.09,00:00.13,1975575,,,
2022-06-16,07:10.90,Judy Hopps ๑,jump_sucks,WR,Map,record,map_record,,-00:35.67,00:35.67,1977332,,,
2022-06-16,00:09.15,Rachello,jump_sucks,WR,Bonus 1,record,zone_record,,-00:01.38,00:03.07,1977728,76561198815853361,[U:1:855587633],
2022-06-16,00:17.74,Rachello,jump_sucks,WR,Bonus 3,record,zone_record,,-00:00.76,00:01.45,1977728,76561198815853361,[U:1:855587633],
2022-08-31,00:19.02,riot,jump_sucks,WR,Bonus 5,record,zone_record,,-00:01.29,00:15.37,2042525,76561198065169685,[U:1:104903957],
2022-09-03,00:10.81,maxxy,jump_sucks,WR,Bonus 4,record,zone_record,,-00:00.88,00:01.36,2045999,76561198083235528,[U:1:122969800],
2022-09-03,00:10.77,maxxy,jump_sucks,WR,Bonus 4,record,zone_record,,-00:00.04,00:00.04,2045999,76561198083235528,[U:1:122969800],
2022-09-03,00:10.60,maxxy,jump_sucks,WR,Bonus 4,record,zone_record,,-00:00.16,00:00.16,2045999,76561198083235528,[U:1:122969800],
