date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2018-04-12,00:21.67,Soup -tt,jump_surfzzz_v1,WR,MapRecord,,-00:00.30,00:00.30,false,622974,76561198029285343,[U:1:69019615],
2018-04-12,00:21.98,Soup -tt,jump_surfzzz_v1,WR,MapRecord,,-00:01.21,,false,622974,76561198029285343,[U:1:69019615],
2018-04-12,00:23.20,gancho,jump_surfzzz_v1,WR,Compact,,,,false,622974,,,
2018-08-05,00:21.67,Kyle,jump_surfzzz_v1,WR,Compact,,,,false,726647,,,
2019-01-01,00:21.49,Boshy,jump_surfzzz_v1,WR,MapRecord,,-00:00.18,00:00.74,false,856111,76561198046601398,[U:1:86335670],
2019-01-02,00:21.21,vice,jump_surfzzz_v1,WR,MapRecord,,-00:00.28,00:00.85,false,856570,76561198366368448,[U:1:406102720],
2019-05-04,00:21.21,vice,jump_surfzzz_v1,WR,Compact,,,,false,954999,,,
2019-05-04,00:21.21,vice,jump_surfzzz_v1,WR,Compact,,,,false,954999,,,
2020-11-24,00:20.46,nagare,jump_surfzzz_v1,WR,MapRecord,,-00:00.42,00:00.42,false,1427702,76561198366368448,[U:1:406102720],
2024-07-06,00:02.61,dnte,jump_surfzzz_v1,WR,Bonus 1,,,,true,2936027,,,
2024-07-10,00:20.46,vice,jump_surfzzz_v1,WR,Compact,,,,false,2941654,,,
2024-08-07,00:20.46,vice,jump_surfzzz_v1,WR,Compact,,,,false,2983260,,,
2024-12-14,00:20.46,ultramarine,jump_surfzzz_v1,WR,Compact,,,,false,3173731,,,
2024-12-14,00:20.46,ultramarine,jump_surfzzz_v1,WR,Compact,,,,false,3173731,,,
2025-05-08,00:20.46,Multiple Players,jump_surfzzz_v1,WR,Compact,,,,false,3310113,,,
