date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2017-11-23,15:11.97,Chief,jump_sven_b1,WR,IRCSet,,,,false,509440,,,
2017-11-23,00:07.58,Chief,jump_sven_b1,WR,Bonus 1,,-00:00.34,00:00.34,false,509524,76561198122579111,[U:1:162313383],
2017-11-23,00:07.93,Chief,jump_sven_b1,WR,Bonus 1,,-00:00.28,00:00.28,false,509524,76561198122579111,[U:1:162313383],
2017-11-23,00:08.22,Chief,jump_sven_b1,WR,Bonus 1,,-00:00.32,00:00.32,false,509524,76561198122579111,[U:1:162313383],
2017-11-23,00:08.54,Chief,jump_sven_b1,WR,Bonus 1,,-00:00.18,00:00.18,false,509524,76561198122579111,[U:1:162313383],
2017-11-23,00:08.73,Chief,jump_sven_b1,WR,Bonus 1,,-00:00.24,00:00.24,false,509524,76561198122579111,[U:1:162313383],
2017-11-23,00:08.98,Chief,jump_sven_b1,WR,Bonus 1,,-00:00.37,00:00.37,false,509524,76561198122579111,[U:1:162313383],
2017-11-23,00:09.35,Chief,jump_sven_b1,WR,Bonus 1,,-00:02.16,00:02.25,false,509524,76561198122579111,[U:1:162313383],
2017-11-23,00:11.51,deceptive,jump_sven_b1,WR,Bonus 1,,-00:01.07,,false,509524,76561198281755237,[U:1:321489509],
2017-11-23,00:12.59,Chief,jump_sven_b1,WR,Bonus 1 First,,,,false,509524,76561198122579111,[U:1:162313383],
2017-11-23,03:36.96,Chief,jump_sven_b1,WR,Bonus 2 First,,,,false,509524,76561198122579111,[U:1:162313383],
2017-11-23,11:07.66,Chief,jump_sven_b1,WR,MapRecord,,-04:04.31,04:04.31,false,509524,76561198122579111,[U:1:162313383],
2017-11-23,15:11.97,Chief,jump_sven_b1,WR,FirstRecord,,,,false,509524,76561198122579111,[U:1:162313383],
2017-11-23,15:11.97,Chief,jump_sven_b1,WR,Compact,,,,false,509524,76561198122579111,[U:1:162313383],
2017-11-23,11:07.66,Chief,jump_sven_b1,WR,Compact,,,,false,509532,,,
2017-11-23,11:07.66,Chief,jump_sven_b1,WR,IRC,,-04:04.31,,false,509532,,,
2017-11-23,15:11.97,Chief,jump_sven_b1,WR,IRCSet,,,,false,509532,,,
2017-11-23,11:07.66,Chief,jump_sven_b1,WR,IRC,,-04:04.31,,false,509581,,,
2017-11-24,09:06.97,Soup -tt,jump_sven_b1,WR,MapRun,11:28.79,+02:21.82,10:47.80,true,510323,76561198029285343,[U:1:69019615],
2017-11-24,08:12.08,kaptain,jump_sven_b1,WR,MapRecord,,-00:54.88,03:59.60,false,510449,76561198033727092,[U:1:73461364],
2017-11-24,06:35.03,kaptain,jump_sven_b1,WR,MapRecord,,-01:37.05,01:37.05,false,510516,76561198033727092,[U:1:73461364],
2017-11-26,06:35.03,kaptain,jump_sven_b1,WR,Compact,,,,false,512164,76561198033727092,[U:1:73461364],
2018-03-19,05:29.83,kaptain,jump_sven_b1,WR,MapRecord,,-00:26.89,00:26.89,false,603342,76561198033727092,[U:1:73461364],
2018-03-19,05:56.72,kaptain,jump_sven_b1,WR,MapRecord,,-00:38.30,00:38.30,false,603342,76561198033727092,[U:1:73461364],
2018-09-08,05:29.83,kaptain,jump_sven_b1,WR,Compact,,,,false,755562,,,
2018-11-17,00:07.24,Stev,jump_sven_b1,WR,Bonus 1,,-00:00.22,00:00.22,false,818299,76561198063901478,[U:1:103635750],
2019-04-11,05:22.44,fatalism,jump_sven_b1,WR,MapRun,32:08.96,+26:46.52,32:22.33,true,937197,76561198024042625,[U:1:63776897],
2019-04-13,05:10.75,kaptain,jump_sven_b1,WR,MapRecord,,-00:11.68,00:19.07,false,938592,76561198033727092,[U:1:73461364],
2019-04-14,05:01.31,kaptain,jump_sven_b1,WR,MapRecord,,-00:09.43,00:09.43,false,939377,76561198033727092,[U:1:73461364],
2019-05-17,04:47.93,ayaya,jump_sven_b1,WR,MapRecord,,-00:13.38,00:19.33,false,964479,76561198063901478,[U:1:103635750],
2019-05-17,05:01.31,fffffffuuuuuuuuu,jump_sven_b1,WR,Compact,,,,false,964479,,,
2019-05-24,04:42.11,kaptain,jump_sven_b1,WR,MapRecord,,-00:05.82,00:19.20,false,970256,76561198033727092,[U:1:73461364],
2019-12-02,00:56.43,foxgirl,jump_sven_b1,WR,Bonus 2,,,,false,1114968,,,
2019-12-17,00:07.21,foxgirl,jump_sven_b1,WR,Bonus 1,,-00:00.02,00:00.91,false,1126233,76561198046601398,[U:1:86335670],
2019-12-17,04:42.11,kaptain,jump_sven_b1,WR,Compact,,,,false,1126233,,,
