date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2025-12-13,01:08.90,Waldo,jump_sylvestres_rc2,WR,Map,record,first_record,,,,3674695,76561198020256631,[U:1:59990903],
2025-12-13,01:02.50,osplo,jump_sylvestres_rc2,WR,Map,record,map_record,,-00:07.46,00:07.46,3674731,76561198047229461,[U:1:86963733],
2025-12-13,01:01.10,sele,jump_sylvestres_rc2,WR,Map,record,map_record,,-00:02.58,00:02.58,3674804,76561198307184206,[U:1:346918478],
2025-12-13,01:00.82,sele,jump_sylvestres_rc2,WR,Map,record,map_record,,-00:00.27,00:00.27,3674804,76561198307184206,[U:1:346918478],
2025-12-13,00:59.02,sele,jump_sylvestres_rc2,WR,Map,record,map_record,,-00:01.80,00:01.80,3674804,76561198307184206,[U:1:346918478],
2025-12-13,00:55.84,sele,jump_sylvestres_rc2,WR,Map,record,map_record,,-00:03.18,00:03.18,3674804,76561198307184206,[U:1:346918478],
2025-12-13,00:52.62,sele,jump_sylvestres_rc2,WR,Map,record,map_record,,-00:03.22,00:03.22,3674804,76561198307184206,[U:1:346918478],
2025-12-13,00:51.21,the pongler,jump_sylvestres_rc2,WR,Map,record,map_record,,-00:01.41,00:01.68,3674930,76561198059437813,[U:1:99172085],
2025-12-13,00:50.61,BLANK -jcf,jump_sylvestres_rc2,WR,Map,record,map_record,,-00:00.60,00:00.70,3675057,76561198046871449,[U:1:86605721],
2025-12-13,00:49.64,BLANK -jcf,jump_sylvestres_rc2,WR,Map,record,map_record,,-00:00.98,00:00.98,3675057,76561198046871449,[U:1:86605721],
2025-12-14,00:47.68,sammy -jcf,jump_sylvestres_rc2,WR,Map,record,map_record,,-00:02.62,00:02.62,3676984,76561199001307670,[U:1:1041041942],
2025-12-15,00:46.42,vice,jump_sylvestres_rc2,WR,Map,record,map_record,,-00:01.26,00:03.56,3678118,76561198366368448,[U:1:406102720],
2025-12-15,00:46.20,vice,jump_sylvestres_rc2,WR,Map,record,map_record,,-00:00.22,00:00.22,3678118,76561198366368448,[U:1:406102720],
2025-12-15,00:44.19,vice,jump_sylvestres_rc2,WR,Map,record,map_record,,-00:02.01,00:02.01,3678118,76561198366368448,[U:1:406102720],
