date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2017-12-28,03:53.80,mesatech,jump_synapse_rc3,WR,MapRecord,,-00:10.81,00:12.47,false,537830,76561198111845972,[U:1:151580244],
2017-12-28,04:04.61,asdf,jump_synapse_rc3,WR,MapRun,20:12.66,+16:08.05,,true,537830,76561198171484527,[U:1:211218799],
2017-12-28,04:04.61,mesatech,jump_synapse_rc3,WR,MapRun,05:39.27,+01:34.66,,true,537830,76561198111845972,[U:1:151580244],
2017-12-28,04:04.62,mesatech,jump_synapse_rc3,WR,MapRun,04:06.28,+00:01.66,00:05.12,true,537830,76561198111845972,[U:1:151580244],
2017-12-28,04:04.62,mesatech,jump_synapse_rc3,WR,MapRun,04:11.41,+00:06.79,00:24.77,true,537830,76561198111845972,[U:1:151580244],
2017-12-28,04:04.62,mesatech,jump_synapse_rc3,WR,MapRun,04:36.19,+00:31.57,00:05.71,true,537830,76561198111845972,[U:1:151580244],
2017-12-28,04:04.62,mesatech,jump_synapse_rc3,WR,MapRun,04:41.90,+00:37.28,00:33.31,true,537830,76561198111845972,[U:1:151580244],
2017-12-29,03:53.80,mesatech,jump_synapse_rc3,WR,IRC,,-00:10.81,,false,538018,76561198111845972,[U:1:151580244],
2018-02-26,00:39.79,gonk,jump_synapse_rc3,WR,Bonus 3,,-00:01.96,00:01.96,false,586061,76561198396018338,[U:1:435752610],
2018-02-26,00:41.76,gonk,jump_synapse_rc3,WR,Bonus 3,,-00:01.91,00:02.94,false,586061,76561198396018338,[U:1:435752610],
2018-02-26,00:43.67,twitch.tv/gancho,jump_synapse_rc3,WR,Bonus 3,,-00:01.03,00:03.78,false,586061,76561198050815941,[U:1:90550213],
2018-02-26,00:44.71,gonk,jump_synapse_rc3,WR,Bonus 3,,-00:02.74,00:12.75,false,586061,76561198396018338,[U:1:435752610],
2018-02-26,00:47.46,twitch.tv/gancho,jump_synapse_rc3,WR,Bonus 3,,-00:01.80,00:06.26,false,586061,76561198050815941,[U:1:90550213],
2018-02-26,03:53.80,mesatech,jump_synapse_rc3,WR,Compact,,,,false,586061,,,
2018-02-26,03:53.80,Skinny.,jump_synapse_rc3,WR,MapRun,1:40:33.60,+1:36:39.80,,true,586061,76561198180610262,[U:1:220344534],
2018-02-26,03:53.80,gonk,jump_synapse_rc3,WR,MapRun,04:18.68,+00:24.88,00:04.40,true,586061,76561198396018338,[U:1:435752610],
2018-02-26,03:53.80,twitch.tv/gancho,jump_synapse_rc3,WR,MapRun,08:53.66,+04:59.86,,true,586061,76561198050815941,[U:1:90550213],
2018-02-26,03:53.81,gonk,jump_synapse_rc3,WR,MapRun,06:15.70,+02:21.89,,true,586061,76561198396018338,[U:1:435752610],
2018-06-17,03:35.94,and uhh  dog,jump_synapse_rc3,WR,IRC,,-00:17.85,,false,680882,76561198396018338,[U:1:435752610],
2018-06-17,03:35.94,and uhh  dog,jump_synapse_rc3,WR,IRC,,-00:17.85,,false,681033,,,
2018-06-17,03:35.94,and uhh  dog,jump_synapse_rc3,WR,MapRecord,,-00:17.85,00:38.38,false,681041,76561198396018338,[U:1:435752610],
2018-06-17,03:53.80,and uhh  dog,jump_synapse_rc3,WR,MapRun,04:14.33,+00:20.53,00:04.34,true,681041,76561198396018338,[U:1:435752610],
2018-06-17,03:35.94,and uhh  dog,jump_synapse_rc3,WR,IRC,,-00:17.85,,false,681050,76561198396018338,[U:1:435752610],
2018-06-17,03:35.94,and uhh  dog,jump_synapse_rc3,WR,IRC,,-00:17.85,,false,681066,,,
2018-06-17,03:35.94,and uhh  dog,jump_synapse_rc3,WR,IRC,,-00:17.85,,false,681070,,,
2018-06-17,03:35.94,and uhh  dog,jump_synapse_rc3,WR,IRC,,-00:17.85,,false,681071,,,
2018-09-10,00:06.58,vice,jump_synapse_rc3,WR,Bonus 4,,-00:00.07,00:00.08,false,757850,76561198366368448,[U:1:406102720],
2018-11-10,03:35.95,MarisoN,jump_synapse_rc3,WR,MapRun,15:50.06,+12:14.11,,true,812765,76561198140110515,[U:1:179844787],
2018-12-06,00:06.43,meggnog,jump_synapse_rc3,WR,Bonus 4,,-00:00.15,00:00.22,false,834506,76561198045778439,[U:1:85512711],
2018-12-07,00:05.59,vice,jump_synapse_rc3,WR,Bonus 2,,-00:00.79,00:00.79,false,834902,76561198366368448,[U:1:406102720],
2018-12-07,00:06.38,vice,jump_synapse_rc3,WR,Bonus 2,,-00:00.30,00:00.62,false,834902,76561198366368448,[U:1:406102720],
2018-12-07,00:06.38,vice,jump_synapse_rc3,WR,Bonus 4,,-00:00.04,00:00.09,false,834902,76561198366368448,[U:1:406102720],
2018-12-07,00:34.77,defestive,jump_synapse_rc3,WR,Bonus 3,,-00:05.02,,false,834902,76561198281755237,[U:1:321489509],
2018-12-07,03:35.95,defestive,jump_synapse_rc3,WR,MapRun,05:47.50,+02:11.55,04:35.86,true,834902,76561198281755237,[U:1:321489509],
2019-01-19,00:09.95,DropDead,jump_synapse_rc3,WR,Bonus 1,,-00:00.23,,false,870354,76561198888517307,[U:1:928251579],
2019-07-27,00:05.53,mesatech,jump_synapse_rc3,WR,Bonus 2,,-00:00.04,00:00.05,false,1020140,76561198366368448,[U:1:406102720],
