date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2025-07-22,03:15.76,Waldo,jump_taylor_swift_2_final,WR,Map,record,first_record,,,,3416290,76561198020256631,[U:1:59990903],
2025-07-22,01:50.46,Waldo,jump_taylor_swift_2_final,WR,Bonus 1,record,zone_first,,,,3416290,76561198020256631,[U:1:59990903],
2025-07-22,00:42.21,Waldo,jump_taylor_swift_2_final,WR,Bonus 2,record,zone_first,,,,3416290,76561198020256631,[U:1:59990903],
2025-07-22,04:03.80,Waldo,jump_taylor_swift_2_final,WR,Bonus 3,record,zone_first,,,,3416290,76561198020256631,[U:1:59990903],
2025-07-22,01:19.10,Waldo,jump_taylor_swift_2_final,WR,Bonus 4,record,zone_first,,,,3416290,76561198020256631,[U:1:59990903],
2025-07-22,02:49.83,"helmi, ,'/",jump_taylor_swift_2_final,WR,Map,record,map_record,,-00:25.94,00:41.70,3416288,76561198201985399,[U:1:241719671],
2025-07-22,02:43.10,"helmi, ,'/",jump_taylor_swift_2_final,WR,Map,record,map_record,,-00:06.74,00:06.74,3416288,76561198201985399,[U:1:241719671],
2025-07-22,00:01.47,tao,jump_taylor_swift_2_final,WR,Bonus 14,record,zone_first,,,,3416299,76561198930334128,[U:1:970068400],
2025-07-22,00:08.94,tao,jump_taylor_swift_2_final,WR,Bonus 18,record,zone_record,,-00:06.88,,3416299,76561198930334128,[U:1:970068400],
2025-07-22,00:06.88,tao,jump_taylor_swift_2_final,WR,Bonus 18,record,zone_record,,-00:02.06,00:02.06,3416299,76561198930334128,[U:1:970068400],
2025-07-22,00:04.17,tao,jump_taylor_swift_2_final,WR,Bonus 18,record,zone_record,,-00:02.72,00:02.72,3416299,76561198930334128,[U:1:970068400],
2025-07-22,00:05.34,tao,jump_taylor_swift_2_final,WR,Bonus 14,record,zone_first,,,,3416313,76561198930334128,[U:1:970068400],
2025-07-22,00:04.35,tao,jump_taylor_swift_2_final,WR,Bonus 14,record,zone_record,,-00:00.99,00:00.99,3416313,76561198930334128,[U:1:970068400],
2025-07-22,00:04.08,tao,jump_taylor_swift_2_final,WR,Bonus 14,record,zone_record,,-00:00.27,00:00.27,3416313,76561198930334128,[U:1:970068400],
2025-07-22,00:03.90,tao,jump_taylor_swift_2_final,WR,Bonus 14,record,zone_record,,-00:00.18,00:00.18,3416313,76561198930334128,[U:1:970068400],
2025-07-22,00:04.90,tao,jump_taylor_swift_2_final,WR,Bonus 15,record,zone_record,,-00:00.09,00:00.09,3416313,76561198930334128,[U:1:970068400],
2025-07-22,00:04.88,tao,jump_taylor_swift_2_final,WR,Bonus 15,record,zone_record,,-00:00.03,00:00.03,3416313,76561198930334128,[U:1:970068400],
2025-07-22,00:04.64,tao,jump_taylor_swift_2_final,WR,Bonus 15,record,zone_record,,-00:00.24,00:00.24,3416313,76561198930334128,[U:1:970068400],
2025-07-22,00:08.49,tao,jump_taylor_swift_2_final,WR,Bonus 17,record,zone_first,,,,3416313,76561198930334128,[U:1:970068400],
2025-07-22,00:08.38,tao,jump_taylor_swift_2_final,WR,Bonus 17,record,zone_record,,-00:00.10,00:00.10,3416313,76561198930334128,[U:1:970068400],
2025-07-22,00:08.10,tao,jump_taylor_swift_2_final,WR,Bonus 17,record,zone_record,,-00:00.28,00:00.28,3416313,76561198930334128,[U:1:970068400],
2025-07-22,00:06.20,tao,jump_taylor_swift_2_final,WR,Bonus 17,record,zone_record,,-00:01.90,00:01.90,3416313,76561198930334128,[U:1:970068400],
2025-07-22,00:05.30,tao,jump_taylor_swift_2_final,WR,Bonus 17,record,zone_record,,-00:00.90,00:00.90,3416313,76561198930334128,[U:1:970068400],
2025-07-22,02:02.10,"helmi, ,'/",jump_taylor_swift_2_final,WR,Map,record,map_record,,-00:41.00,00:41.00,3416316,76561198201985399,[U:1:241719671],
2025-07-22,02:01.34,"helmi, ,'/",jump_taylor_swift_2_final,WR,Map,record,map_record,,-00:00.76,00:00.76,3416316,76561198201985399,[U:1:241719671],
2025-07-22,01:42.87,"helmi, ,'/",jump_taylor_swift_2_final,WR,Map,record,map_record,,-00:18.46,00:18.46,3416316,76561198201985399,[U:1:241719671],
2025-07-22,00:04.10,"helmi, ,'/",jump_taylor_swift_2_final,WR,Bonus 15,record,zone_record,,-00:00.02,00:00.06,3416316,76561198201985399,[U:1:241719671],
2025-07-22,00:04.04,"helmi, ,'/",jump_taylor_swift_2_final,WR,Bonus 15,record,zone_record,,-00:00.06,00:00.06,3416316,76561198201985399,[U:1:241719671],
2025-07-22,01:17.97,pops8790,jump_taylor_swift_2_final,WR,Bonus 4,record,zone_record,,-00:01.18,00:01.18,3416317,76561198303081758,[U:1:342816030],
2025-07-22,00:29.44,pops8790,jump_taylor_swift_2_final,WR,Bonus 16,record,zone_record,,-00:16.89,00:16.89,3416317,76561198303081758,[U:1:342816030],
2025-07-22,00:25.66,pops8790,jump_taylor_swift_2_final,WR,Bonus 16,record,zone_record,,-00:03.78,00:03.78,3416317,76561198303081758,[U:1:342816030],
2025-07-22,00:23.90,pops8790,jump_taylor_swift_2_final,WR,Bonus 16,record,zone_record,,-00:01.77,00:01.77,3416317,76561198303081758,[U:1:342816030],
2025-07-22,00:20.50,pops8790,jump_taylor_swift_2_final,WR,Bonus 16,record,zone_record,,-00:03.39,00:03.39,3416317,76561198303081758,[U:1:342816030],
2025-07-22,45:35.12,gliptal,jump_taylor_swift_2_final,WR,Bonus 10,record,zone_record,,-11:08.31,,3416317,76561198130410070,[U:1:170144342],
2025-07-22,01:17.94,pops8790,jump_taylor_swift_2_final,WR,Bonus 4,record,zone_record,,-00:00.03,00:00.03,3416317,76561198303081758,[U:1:342816030],
2025-07-22,14:49.89,gliptal,jump_taylor_swift_2_final,WR,Bonus 10,record,zone_record,,-30:45.22,30:45.22,3416317,76561198130410070,[U:1:170144342],
2025-07-22,01:46.14,stinkydog.jpg,jump_taylor_swift_2_final,WR,Bonus 1,record,zone_record,,-00:00.28,,3416368,76561198066589108,[U:1:106323380],
2025-07-22,01:38.31,stinkydog.jpg,jump_taylor_swift_2_final,WR,Bonus 1,record,zone_record,,-00:07.83,00:07.83,3416368,76561198066589108,[U:1:106323380],
2025-07-22,01:12.09,stinkydog.jpg,jump_taylor_swift_2_final,WR,Bonus 1,record,zone_record,,-00:26.22,00:26.22,3416368,76561198066589108,[U:1:106323380],
2025-07-22,00:41.40,stinkydog.jpg,jump_taylor_swift_2_final,WR,Bonus 2,record,zone_record,,-00:06.44,00:06.44,3416368,76561198066589108,[U:1:106323380],
2025-07-22,00:33.92,stinkydog.jpg,jump_taylor_swift_2_final,WR,Bonus 2,record,zone_record,,-00:07.48,00:07.48,3416368,76561198066589108,[U:1:106323380],
2025-07-22,00:24.94,stinkydog.jpg,jump_taylor_swift_2_final,WR,Bonus 9,record,zone_record,,-00:18.26,00:18.26,3416368,76561198066589108,[U:1:106323380],
2025-07-22,00:05.64,Waldo,jump_taylor_swift_2_final,WR,Bonus 5,record,zone_first,,,,3416319,76561198020256631,[U:1:59990903],
2025-07-22,00:33.15,Waldo,jump_taylor_swift_2_final,WR,Bonus 6,record,zone_first,,,,3416319,76561198020256631,[U:1:59990903],
2025-07-22,01:46.42,kjr,jump_taylor_swift_2_final,WR,Bonus 1,record,zone_record,,-00:04.04,,3416319,76561198206903132,[U:1:246637404],
2025-07-22,01:18.51,Exile,jump_taylor_swift_2_final,WR,Bonus 4,record,zone_record,,-00:00.70,00:00.70,3416319,76561198046776282,[U:1:86510554],
2025-07-22,09:43.70,Waldo,jump_taylor_swift_2_final,WR,Bonus 7,record,zone_first,,,,3416319,76561198020256631,[U:1:59990903],
2025-07-22,00:41.06,Waldo,jump_taylor_swift_2_final,WR,Bonus 8,record,zone_first,,,,3416319,76561198020256631,[U:1:59990903],
2025-07-22,00:29.18,Waldo,jump_taylor_swift_2_final,WR,Bonus 9,record,zone_first,,,,3416319,76561198020256631,[U:1:59990903],
2025-07-22,03:56.18,kjr,jump_taylor_swift_2_final,WR,Bonus 3,record,zone_record,,-00:07.62,,3416319,76561198206903132,[U:1:246637404],
2025-07-22,01:18.36,kjr,jump_taylor_swift_2_final,WR,Bonus 4,record,zone_record,,-00:00.28,00:00.28,3416319,76561198206903132,[U:1:246637404],
2025-07-22,00:31.53,kjr,jump_taylor_swift_2_final,WR,Bonus 6,record,zone_record,,-00:01.62,,3416319,76561198206903132,[U:1:246637404],
2025-07-22,07:37.24,kjr,jump_taylor_swift_2_final,WR,Bonus 7,record,zone_record,,-02:06.45,,3416319,76561198206903132,[U:1:246637404],
2025-07-22,23:07.96,Waldo,jump_taylor_swift_2_final,WR,Bonus 11,record,zone_first,,,,3416319,76561198020256631,[U:1:59990903],
2025-07-22,00:10.65,Waldo,jump_taylor_swift_2_final,WR,Bonus 12,record,zone_first,,,,3416319,76561198020256631,[U:1:59990903],
2025-07-22,10:30.48,Waldo,jump_taylor_swift_2_final,WR,Bonus 13,record,zone_first,,,,3416319,76561198020256631,[U:1:59990903],
2025-07-22,00:04.17,Waldo,jump_taylor_swift_2_final,WR,Bonus 15,record,zone_record,,-00:01.29,00:01.29,3416319,76561198020256631,[U:1:59990903],
2025-07-22,00:44.58,Waldo,jump_taylor_swift_2_final,WR,Bonus 16,record,zone_first,,,,3416319,76561198020256631,[U:1:59990903],
2025-07-22,00:04.40,Waldo,jump_taylor_swift_2_final,WR,Bonus 17,record,zone_record,,-00:00.90,,3416319,76561198020256631,[U:1:59990903],
2025-07-22,00:04.12,Waldo,jump_taylor_swift_2_final,WR,Bonus 17,record,zone_record,,-00:00.27,00:00.27,3416319,76561198020256631,[U:1:59990903],
2025-07-22,00:03.94,Waldo,jump_taylor_swift_2_final,WR,Bonus 18,record,zone_record,,-00:00.48,00:00.48,3416319,76561198020256631,[U:1:59990903],
2025-07-22,00:03.64,Waldo,jump_taylor_swift_2_final,WR,Bonus 18,record,zone_record,,-00:00.30,00:00.30,3416319,76561198020256631,[U:1:59990903],
2025-07-22,1:08:01.17,kjr,jump_taylor_swift_2_final,WR,Bonus 10,record,zone_first,,,,3416319,76561198206903132,[U:1:246637404],
2025-07-22,07:48.24,kjr,jump_taylor_swift_2_final,WR,Bonus 11,record,zone_record,,-15:19.72,,3416319,76561198206903132,[U:1:246637404],
2025-07-22,56:43.42,Waldo,jump_taylor_swift_2_final,WR,Bonus 10,record,zone_record,,-11:17.74,,3416319,76561198020256631,[U:1:59990903],
2025-07-22,00:20.25,Waldo,jump_taylor_swift_2_final,WR,Bonus 16,record,zone_record,,-00:24.33,00:24.33,3416319,76561198020256631,[U:1:59990903],
2025-07-22,08:19.40,kjr,jump_taylor_swift_2_final,WR,Bonus 13,record,zone_record,,-02:11.08,,3416319,76561198206903132,[U:1:246637404],
2025-07-22,00:16.58,Waldo,jump_taylor_swift_2_final,WR,Bonus 16,record,zone_record,,-00:03.68,00:03.68,3416319,76561198020256631,[U:1:59990903],
2025-07-22,00:39.03,Waldo,jump_taylor_swift_2_final,WR,Bonus 8,record,zone_record,,-00:02.02,00:02.02,3416319,76561198020256631,[U:1:59990903],
2025-07-22,00:36.20,Waldo,jump_taylor_swift_2_final,WR,Bonus 8,record,zone_record,,-00:02.84,00:02.84,3416319,76561198020256631,[U:1:59990903],
2025-07-22,00:33.99,Waldo,jump_taylor_swift_2_final,WR,Bonus 8,record,zone_record,,-00:02.20,00:02.20,3416319,76561198020256631,[U:1:59990903],
2025-07-22,00:33.10,Waldo,jump_taylor_swift_2_final,WR,Bonus 8,record,zone_record,,-00:00.88,00:00.88,3416319,76561198020256631,[U:1:59990903],
