date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2025-07-22,02:15.58,52-,jump_taylor_swift_2_final,WR,IRCSet,,,,false,3416271,,
2025-07-22,01:46.00,= pb - BLANK = a,jump_taylor_swift_2_final,WR,MapRun,02:28.72,+00:42.72,,true,3416288,,
2025-07-22,01:20.84,helmi   '/,jump_taylor_swift_2_final,WR,IRC,,-00:02.80,,false,3416158,,
2025-07-22,01:20.83,osplo,jump_taylor_swift_2_final,WR,MapRun,02:07.17,+00:46.34,,true,3416344,76561198047229461,[U:1:86963733]
2025-07-22,01:14.08,müsli,jump_taylor_swift_2_final,WR,IRC,,-00:00.82,,false,3416766,,
2025-07-24,01:12.63,müsli,jump_taylor_swift_2_final,WR,IRC,,-00:01.46,,false,3419093,,
2025-07-24,01:12.62,Formal,jump_taylor_swift_2_final,WR,MapRun,02:39.28,+01:26.66,,true,3419175,76561198364309719,[U:1:404043991]
2025-07-25,01:11.08,müsli,jump_taylor_swift_2_final,WR,IRC,,-00:00.50,,false,3420760,,
2025-07-25,01:10.68,nyke,jump_taylor_swift_2_final,WR,MapRun,03:41.84,+02:31.16,,true,3420860,76561198103620249,[U:1:143354521]
2025-07-26,01:10.05,Salty,jump_taylor_swift_2_final,WR,IRC,,-00:00.02,,false,3421841,,
2025-07-26,01:08.76,Salty,jump_taylor_swift_2_final,WR,IRC,,-00:01.29,,false,3421983,,
2025-07-26,01:08.13,müsli,jump_taylor_swift_2_final,WR,IRC,,-00:00.63,,false,3422483,,
2025-07-26,01:08.12,Cambodia 2,jump_taylor_swift_2_final,WR,MapRun,02:43.30,+01:35.18,,true,3422656,76561198166584580,[U:1:206318852]
2025-07-27,01:07.92,uwererightsyaidi,jump_taylor_swift_2_final,WR,MapRun,10:55.47,+09:47.55,,true,3423524,76561198366971052,[U:1:406705324]
2025-07-27,01:07.79,gotaki,jump_taylor_swift_2_final,WR,MapRun,03:18.21,+02:10.42,,true,3423704,76561198039920735,[U:1:79655007]
2025-07-27,01:06.87,müsli,jump_taylor_swift_2_final,WR,IRC,,-00:00.92,,false,3423735,,
2025-07-27,01:06.86,*NgFor,jump_taylor_swift_2_final,WR,MapRun,02:59.56,+01:52.70,,true,3424106,76561198401416902,[U:1:441151174]
2025-08-01,01:06.58,₍ᐢᐢ₎. us,jump_taylor_swift_2_final,WR,MapRun,02:36.14,+01:29.56,,true,3430956,,
2025-08-01,01:06.57,rubi,jump_taylor_swift_2_final,WR,MapRun,03:02.04,+01:55.47,,true,3431122,76561198816817995,[U:1:856552267]
2025-08-02,01:06.56,boistopmotion,jump_taylor_swift_2_final,WR,MapRun,05:13.30,+04:06.74,,true,3431952,76561199122056821,[U:1:1161791093]
