date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2024-04-04,10:39.18,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-05:04.77,,false,2801955,,,
2024-04-04,15:43.95,Rellort -fwo -gu,jump_tempus_b5,WR,IRCSet,,,,false,2801955,,,
2024-04-04,15:43.95,Rellort -fwo -gu,jump_tempus_b5,WR,IRCSet,,,,false,2801938,,,
2024-04-04,09:04.59,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-00:56.01,,false,2802050,,,
2024-04-04,10:00.60,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-00:38.58,,false,2802050,,,
2024-04-04,10:39.18,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-05:04.77,,false,2802050,,,
2024-04-04,15:43.95,Rellort -fwo -gu,jump_tempus_b5,WR,IRCSet,,,,false,2802050,,,
2024-04-04,15:43.95,Rellort -fwo -gu,jump_tempus_b5,WR,IRCSet,,,,false,2802127,,,
2024-04-04,10:00.60,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-00:38.58,,false,2802053,,,
2024-04-04,10:39.18,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-05:04.77,,false,2802053,,,
2024-04-04,15:43.95,Rellort -fwo -gu,jump_tempus_b5,WR,IRCSet,,,,false,2802053,,,
2024-04-04,10:39.18,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-05:04.77,,false,2802134,,,
2024-04-04,10:00.60,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-00:38.58,,false,2802113,,,
2024-04-04,10:39.18,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-05:04.77,,false,2802113,,,
2024-04-04,10:39.18,M4tty,jump_tempus_b5,WR,MapRun,32:20.94,+21:41.76,,true,2802113,76561198035204545,[U:1:74938817],
2024-04-04,15:43.95,Rellort -fwo -gu,jump_tempus_b5,WR,IRCSet,,,,false,2802113,,,
2024-04-04,10:39.18,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-05:04.77,,false,2801992,,,
2024-04-04,15:43.95,Rellort -fwo -gu,jump_tempus_b5,WR,IRCSet,,,,false,2801992,,,
2024-04-04,10:00.60,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-00:38.58,,false,2802137,,,
2024-04-04,10:39.18,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-05:04.77,,false,2802137,,,
2024-04-04,09:04.59,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-00:56.01,,false,2802149,,,
2024-04-04,10:00.60,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-00:38.58,,false,2802149,,,
2024-04-04,10:39.18,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-05:04.77,,false,2802149,,,
2024-04-04,00:04.05,sammy,jump_tempus_b5,WR,Bonus 1 First,,,,false,2802107,76561199001307670,[U:1:1041041942],
2024-04-04,00:04.05,sammy,jump_tempus_b5,WR,Bonus 1,,,,true,2802107,76561199001307670,[U:1:1041041942],
2024-04-04,08:18.22,Rellort -fwo -gu,jump_tempus_b5,WR,MapRecord,,-00:46.36,00:46.36,false,2802107,,,
2024-04-04,09:04.59,Rellort -fwo -gu,jump_tempus_b5,WR,MapRecord,,-00:56.01,00:56.01,false,2802107,,,
2024-04-04,09:04.59,Rellort -fwo -gu,jump_tempus_b5,WR,MapRun,09:42.55,+00:37.96,,true,2802107,,,
2024-04-04,10:00.60,Rellort -fwo -gu,jump_tempus_b5,WR,MapRecord,,-00:38.58,00:38.58,false,2802107,,,
2024-04-04,10:00.60,Closed.,jump_tempus_b5,WR,MapRun,32:34.81,+22:34.21,,true,2802107,76561198212598967,[U:1:252333239],
2024-04-04,10:00.60,Rellort -fwo -gu,jump_tempus_b5,WR,MapRun,11:08.58,+01:07.98,,true,2802107,,,
2024-04-04,10:00.60,pvt. maggot,jump_tempus_b5,WR,MapRun,43:26.07,+33:25.47,,true,2802107,76561198059437813,[U:1:99172085],
2024-04-04,10:39.18,Rellort -fwo -gu,jump_tempus_b5,WR,MapRecord,,-05:04.77,05:04.77,false,2802107,,,
2024-04-04,15:43.95,Rellort -fwo -gu,jump_tempus_b5,WR,FirstRecord,,,,false,2802107,,,
2024-04-04,15:43.95,sammy,jump_tempus_b5,WR,MapRun,30:32.44,+14:48.49,,true,2802107,76561199001307670,[U:1:1041041942],
2024-04-04,00:02.98,Waldo,jump_tempus_b5,WR,Bonus 1,,-00:00.16,,false,2802085,76561198020256631,[U:1:59990903],
2024-04-04,08:18.22,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-00:46.36,,false,2802085,,,
2024-04-04,08:18.23,abelicio,jump_tempus_b5,WR,MapRun,47:16.71,+38:58.48,,true,2802085,76561198379602900,[U:1:419337172],
2024-04-04,09:04.59,Rellort -fwo -gu,jump_tempus_b5,WR,Compact,,,,false,2802085,,,
2024-04-04,09:04.59,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-00:56.01,,false,2802085,,,
2024-04-04,09:04.59,kayo,jump_tempus_b5,WR,MapRun,1:09:42.57,+1:00:37.98,,true,2802085,76561198368715869,[U:1:408450141],
2024-04-04,10:00.60,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-00:38.58,,false,2802085,,,
2024-04-04,10:00.60,Waldo,jump_tempus_b5,WR,MapRun,31:15.15,+21:14.55,,true,2802085,76561198020256631,[U:1:59990903],
2024-04-04,10:39.18,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-05:04.77,,false,2802085,,,
2024-04-04,10:39.18,kjr,jump_tempus_b5,WR,MapRun,29:05.88,+18:26.70,,true,2802085,76561198206903132,[U:1:246637404],
2024-04-04,15:43.95,Rellort -fwo -gu,jump_tempus_b5,WR,IRCSet,,,,false,2802085,,,
2024-04-04,10:00.60,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-00:38.58,,false,2802084,,,
2024-04-04,10:39.18,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-05:04.77,,false,2802084,,,
2024-04-04,15:43.95,Rellort -fwo -gu,jump_tempus_b5,WR,IRCSet,,,,false,2802084,,,
2024-04-04,08:18.22,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-00:46.36,,false,2802176,,,
2024-04-04,09:04.59,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-00:56.01,,false,2802176,,,
2024-04-04,09:04.59,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-00:56.01,,false,2802182,,,
2024-04-04,09:04.59,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-00:56.01,,false,2802172,,,
2024-04-04,08:18.22,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-00:46.36,,false,2802121,,,
2024-04-04,08:18.22,trash <3,jump_tempus_b5,WR,MapRun,1:15:30.07,+1:07:11.85,,true,2802121,76561198110764631,[U:1:150498903],
2024-04-04,09:04.59,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-00:56.01,,false,2802121,,,
2024-04-04,09:04.59,Thae,jump_tempus_b5,WR,MapRun,44:23.34,+35:18.75,,true,2802121,76561198068604453,[U:1:108338725],
2024-04-04,10:00.60,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-00:38.58,,false,2802121,,,
2024-04-04,10:39.18,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-05:04.77,,false,2802121,,,
2024-04-04,15:43.95,Rellort -fwo -gu,jump_tempus_b5,WR,IRCSet,,,,false,2802121,,,
2024-04-04,09:04.59,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-00:56.01,,false,2802115,,,
2024-04-04,09:04.59,madness,jump_tempus_b5,WR,MapRun,27:34.74,+18:30.15,,true,2802115,76561198035787281,[U:1:75521553],
2024-04-04,10:00.60,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-00:38.58,,false,2802115,,,
2024-04-04,10:39.18,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-05:04.77,,false,2802115,,,
2024-04-04,15:43.95,Rellort -fwo -gu,jump_tempus_b5,WR,IRCSet,,,,false,2802115,,,
2024-04-04,07:38.34,rizzlebizzle,jump_tempus_b5,WR,IRC,,-00:39.88,,false,2802155,,,
2024-04-04,07:38.34,altr,jump_tempus_b5,WR,MapRun,1:58:54.01,+1:51:15.67,,true,2802155,76561198108059110,[U:1:147793382],
2024-04-04,08:18.22,Rellort -fwo -gu,jump_tempus_b5,WR,Compact,,,,false,2802155,,,
2024-04-04,08:18.22,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-00:46.36,,false,2802155,,,
2024-04-04,08:18.22,Rellort -fwo -gu,jump_tempus_b5,WR,Ranked,,,,true,2802155,,,
2024-04-04,08:18.22,bernt,jump_tempus_b5,WR,MapRun,1:11:32.17,+1:03:13.95,,true,2802155,76561198017732809,[U:1:57467081],
2024-04-04,08:18.22,gourmet salad,jump_tempus_b5,WR,MapRun,34:49.30,+26:31.08,,true,2802155,76561198173128765,[U:1:212863037],
2024-04-04,08:18.22,tr -rng,jump_tempus_b5,WR,MapRun,1:44:05.29,+1:35:47.07,,true,2802155,76561198046911616,[U:1:86645888],
2024-04-04,08:18.23,amity✿,jump_tempus_b5,WR,MapRun,1:39:23.88,+1:31:05.65,,true,2802155,76561198039506482,[U:1:79240754],
2024-04-04,09:04.59,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-00:56.01,,false,2802155,,,
2024-04-04,09:04.59,spoops,jump_tempus_b5,WR,MapRun,49:01.27,+39:56.68,,true,2802155,76561198818533944,[U:1:858268216],
2024-04-04,10:00.60,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-00:38.58,,false,2802155,,,
2024-04-04,08:18.22,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-00:46.36,,false,2802187,,,
2024-04-04,08:18.22,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-00:46.36,,false,2802204,,,
2024-04-04,08:18.22,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-00:46.36,,false,2802199,,,
2024-04-04,08:18.22,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-00:46.36,,false,2802186,,,
2024-04-04,08:18.22,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-00:46.36,,false,2802152,,,
2024-04-04,08:18.23,Oujni,jump_tempus_b5,WR,MapRun,1:12:09.15,+1:03:50.92,,true,2802152,76561198124567224,[U:1:164301496],
2024-04-04,09:04.59,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-00:56.01,,false,2802152,,,
2024-04-04,10:00.60,Rellort -fwo -gu,jump_tempus_b5,WR,IRC,,-00:38.58,,false,2802152,,,
2024-04-04,10:00.60,Rellort -fwo -gu,jump_tempus_b5,WR,Ranked,,,,true,2802152,,,
2024-04-04,10:00.60,Rellort -fwo -gu,jump_tempus_b5,WR,Ranked,,,,true,2802152,,,
2024-04-04,10:00.60,Rellort -fwo -gu,jump_tempus_b5,WR,Ranked,,,,true,2802152,,,
2024-04-04,10:00.60,Rellort -fwo -gu,jump_tempus_b5,WR,Ranked,,,,true,2802152,,,
2024-04-04,10:00.60,Rellort -fwo -gu,jump_tempus_b5,WR,Ranked,,,,true,2802152,,,
2024-04-04,10:00.60,Rellort -fwo -gu,jump_tempus_b5,WR,Ranked,,,,true,2802152,,,
2024-04-04,10:00.60,Rellort -fwo -gu,jump_tempus_b5,WR,Ranked,,,,true,2802152,,,
2024-04-04,10:00.60,Rellort -fwo -gu,jump_tempus_b5,WR,Ranked,,,,true,2802152,,,
2024-04-04,10:00.60,Rellort -fwo -gu,jump_tempus_b5,WR,Ranked,,,,true,2802152,,,
2024-04-04,10:00.60,Rellort -fwo -gu,jump_tempus_b5,WR,Ranked,,,,true,2802152,,,
2024-04-04,10:00.60,Rellort -fwo -gu,jump_tempus_b5,WR,Ranked,,,,true,2802152,,,
